CellType,Background,geneID,expT,meanT,logR,pval,fdr,auc,covModelPval,covModelFDR
cE01 (Stem/TA-like),Top_Epi,RPL13,0.99840405,6.104534266,0.376543851,0,0,0.74602159,0,0
cE01 (Stem/TA-like),Top_Epi,RPS18,0.999451896,6.483058529,0.356218405,0,0,0.743827697,0,0
cE01 (Stem/TA-like),Top_Epi,RPL28,0.99659853,5.488568319,0.294047997,0,0,0.733601737,0,0
cE01 (Stem/TA-like),Top_Epi,RPS27,0.996243874,5.676110988,0.300431181,0,0,0.732145734,0,0
cE01 (Stem/TA-like),Top_Epi,RPL21,0.991955765,5.421252335,0.394791672,0,0,0.730986014,0,0
cE01 (Stem/TA-like),Top_Epi,RPL39,0.990295331,5.828994997,0.377877912,0,0,0.730959121,0,0
cE01 (Stem/TA-like),Top_Epi,RPL10,0.995083183,6.01815129,0.313639637,0,0,0.730793094,0,0
cE01 (Stem/TA-like),Top_Epi,RPL32,0.994470596,5.528691298,0.384353019,0,0,0.729333295,0,0
cE01 (Stem/TA-like),Top_Epi,RPS19,0.997775342,5.872787021,0.390619017,0,0,0.726886612,0,0
cE01 (Stem/TA-like),Top_Epi,RPL12,0.992584473,5.295024913,0.388546585,0,0,0.726519543,0,0
cE01 (Stem/TA-like),Top_Epi,RPL29,0.987232396,4.856499305,0.359095574,0,0,0.726190944,0,0
cE01 (Stem/TA-like),Top_Epi,RPL18A,0.995486201,5.369472627,0.385478913,0,0,0.723676282,0,0
cE01 (Stem/TA-like),Top_Epi,RPL13A,0.99751741,5.835734942,0.309995904,0,0,0.723415976,0,0
cE01 (Stem/TA-like),Top_Epi,RPS6,0.990472659,5.495931868,0.394851256,0,0,0.723402335,0,0
cE01 (Stem/TA-like),Top_Epi,RPS15A,0.989392572,5.213912857,0.388847968,0,0,0.721545806,0,0
cE01 (Stem/TA-like),Top_Epi,RPL37,0.989118519,5.005412621,0.398019204,0,0,0.720347214,0,0
cE01 (Stem/TA-like),Top_Epi,RPS24,0.990069641,5.076019263,0.368662654,0,0,0.717584275,0,0
cE01 (Stem/TA-like),Top_Epi,EEF1A1,0.991665592,5.831207078,0.301561229,0,0,0.716685426,0,0
cE01 (Stem/TA-like),Top_Epi,RPL35A,0.985023859,4.792132436,0.389490726,0,0,0.716468352,0,0
cE01 (Stem/TA-like),Top_Epi,RPS8,0.989956796,5.096034227,0.396160883,0,0,0.715802197,0,0
cE01 (Stem/TA-like),Top_Epi,RPL30,0.979929714,4.770090533,0.397723255,0,0,0.715554249,0,0
