TableS1.  Gene expression signatures of crypt cell populations.  ,,,,,,
,,,,,,
Proliferation Signature (EphB2high = EphB2medium > EphB2low),,,,,,
,,,,,,
ID,Gene,Description,EphB2high vs EphB2medium,EphB2medium vs EphB2low,,* denotes repeated genes
1423026_at,RAD51C*,RAD51 homolog C (S. cerevisiae),1.03,9.78,,
1436555_at,SLC7A2*,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 2",1.48,7.31,,
1453600_at,CCDC18,coiled-coil domain containing 18,1.12,7.06,,
1454659_at,DCTD,dCMP deaminase,1.40,6.81,,
1456674_at,RAD54B*,RAD54 homolog B (S. cerevisiae),1.09,5.81,,
1420594_at,BARD1,BRCA1 associated RING domain 1,1.34,5.76,,
1435743_at,KLHL23,kelch-like 23 (Drosophila),1.40,5.73,,
1422430_at,FIGNL1,fidgetin-like 1,1.16,5.62,,
1419397_at,POLA1,"polymerase (DNA directed), alpha 1, catalytic subunit",1.07,5.61,,
1424292_at,DEPDC1,DEP domain containing 1,1.30,5.54,,
1452458_s_at,PPIL5*,peptidylprolyl isomerase (cyclophilin)-like 5,-1.01,5.52,,
1452831_s_at,PPAT*,phosphoribosyl pyrophosphate amidotransferase,1.22,5.43,,
1440299_at,C6ORF150*,chromosome 6 open reading frame 150,1.26,5.32,,
1455335_at,XRCC2,X-ray repair complementing defective repair in Chinese hamster cells 2,1.33,5.27,,
1450496_a_at,SKA1,spindle and kinetochore associated complex subunit 1,1.44,5.26,,
1448780_at,SLC12A2,"solute carrier family 12 (sodium/potassium/chloride transporters), member 2",1.40,5.21,,
1426897_at,RCC2*,regulator of chromosome condensation 2,1.35,5.20,,
1424107_at,KIF18A,kinesin family member 18A,1.34,5.19,,
1435306_a_at,KIF11*,kinesin family member 11,1.32,5.16,,
1428304_at,ESCO2,establishment of cohesion 1 homolog 2 (S. cerevisiae),1.06,5.14,,
1437187_at,E2F7,E2F transcription factor 7,1.08,5.12,,
1423124_x_at,RAD54L*,RAD54-like (S. cerevisiae),1.16,5.11,,
1450677_at,CHEK1*,CHK1 checkpoint homolog (S. pombe),1.19,5.00,,
1428229_at,PRKD3*,protein kinase D3,1.43,4.92,,
1442026_at,NA,NA,1.35,4.90,,
1456280_at,CLSPN,claspin homolog (Xenopus laevis),1.10,4.90,,
1419152_at,KIAA0101,KIAA0101,1.04,4.88,,
1443864_at,DTL*,denticleless homolog (Drosophila),1.22,4.87,,
1422648_at,SLC7A2*,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 2",1.44,4.84,,
1435597_at,ATAD5,"ATPase family, AAA domain containing 5",-1.01,4.82,,
1448650_a_at,POLE,"polymerase (DNA directed), epsilon",1.31,4.80,,
1446226_at,FANCB*,"Fanconi anemia, complementation group B",1.03,4.79,,
1441864_x_at,CENPA,centromere protein A,1.14,4.77,,
