Serial,p_val,avg_logFC,pct.1,pct.2,p_val_adj,gene
1,4.72E-115,2.212042584,0.92,0.734,7.71E-111,S100a6
2,8.61E-142,1.706237541,0.802,0.189,1.41E-137,Clu
3,3.17E-173,1.705149216,0.879,0.259,5.18E-169,Ly6a
4,8.28E-115,1.658304499,0.952,0.736,1.35E-110,S100a11
5,1.02E-116,1.421372218,0.792,0.204,1.67E-112,Ly6d
6,2.85E-94,1.282104468,0.895,0.393,4.65E-90,Sprr2a3
7,4.09E-124,1.168379639,0.952,0.626,6.67E-120,Mif
8,6.52E-90,1.163909655,0.981,0.905,1.06E-85,Krt19
9,3.03E-115,1.160555873,0.888,0.426,4.94E-111,Krt7
10,5.92E-91,1.141067425,0.965,0.687,9.67E-87,Npm1
11,1.98E-104,1.139200581,0.952,0.747,3.23E-100,Krt18
12,4.71E-117,1.107945923,0.971,0.67,7.70E-113,Rps12-ps3
13,2.31E-101,1.071814431,0.882,0.433,3.77E-97,Fxyd3
14,3.57E-34,1.028060005,0.454,0.149,5.84E-30,Xcl1
15,1.86E-66,1.017075811,0.93,0.815,3.04E-62,Anxa2
16,1.64E-142,1.015865654,0.805,0.253,2.67E-138,Ccnd1
17,2.33E-81,1.007273534,0.933,0.565,3.80E-77,Ncl
18,3.32E-73,0.998630107,0.895,0.493,5.42E-69,Ccnd2
19,6.04E-194,0.998183283,0.802,0.173,9.87E-190,Cd44
20,1.79E-82,0.971001466,0.994,0.802,2.93E-78,Ptma
21,5.55E-281,0.955747642,0.805,0.111,9.06E-277,Anxa3
22,6.05E-102,0.949068013,0.891,0.471,9.88E-98,Lmna
23,2.40E-91,0.944344777,0.92,0.495,3.92E-87,Ranbp1
24,6.54E-100,0.916450866,1,0.871,1.07E-95,Rplp0
25,7.84E-91,0.913957248,0.987,0.724,1.28E-86,Rpl29
26,1.05E-105,0.913276926,0.946,0.591,1.71E-101,Nme1
27,7.77E-95,0.910246622,0.965,0.635,1.27E-90,Ran
28,1.36E-91,0.908870015,0.965,0.646,2.23E-87,Gm10073
29,1.03E-89,0.907624928,0.994,0.783,1.68E-85,Rpl35
30,3.22E-97,0.900935667,0.933,0.711,5.26E-93,Dynll1
31,2.65E-118,0.891062717,0.45,0.068,4.32E-114,Sprr1a
32,2.62E-89,0.883604327,0.99,0.843,4.28E-85,Rps2
33,1.10E-101,0.881960752,0.997,0.937,1.80E-97,Rps12
34,0,0.880558965,0.693,0.048,0,Anxa1
35,7.09E-110,0.861652251,0.99,0.874,1.16E-105,Rps27l
36,4.44E-105,0.857064919,0.971,0.589,7.25E-101,Erh
37,1.59E-105,0.85045923,0.99,0.741,2.59E-101,Gm10076
38,3.14E-97,0.847907348,1,0.942,5.12E-93,Rplp1
39,3.71E-58,0.83881834,0.891,0.615,6.06E-54,Pglyrp1
40,1.24E-98,0.838057542,0.997,0.856,2.02E-94,Rps28
41,2.96E-108,0.837654338,0.901,0.429,4.84E-104,Nhp2
42,4.60E-78,0.836140837,0.962,0.635,7.51E-74,Snrpg
43,5.86E-97,0.834960538,0.997,0.904,9.56E-93,Rps26
44,6.57E-69,0.833847217,0.981,0.651,1.07E-64,Gm8730
45,9.46E-41,0.828544202,0.898,0.625,1.54E-36,Sat1
46,4.34E-104,0.826457146,0.949,0.599,7.08E-100,Eif2s2
47,1.36E-97,0.817631946,0.958,0.656,2.22E-93,Wdr89
48,1.41E-82,0.811613293,0.994,0.801,2.30E-78,Hsp90ab1
49,3.45E-108,0.810123234,1,0.993,5.63E-104,Rpl41
50,2.01E-89,0.809767367,0.99,0.796,3.28E-85,Rpl27
