Serial,p_val,avg_logFC,pct.1,pct.2,p_val_adj,gene
1,2.71E-23,1.77063252,0.981,0.962,4.43E-19,Malat1
2,3.85E-07,1.394356725,0.846,0.739,0.006287129,Ly6d
3,9.34E-08,1.384678173,0.872,0.732,0.001525789,Clu
4,9.24E-24,1.268870966,0.897,0.624,1.51E-19,Cldn4
5,3.64E-07,1.243453655,0.558,0.344,0.005947529,Sprr1a
6,1.51E-17,1.134896294,0.853,0.624,2.47E-13,Areg
7,1.33E-08,1.123665372,0.679,0.471,0.000217762,Gsta1
8,7.05E-16,1.121936471,0.885,0.771,1.15E-11,Tm4sf4
9,1.96E-13,0.874073948,0.981,0.968,3.21E-09,Lypd8
10,2.41E-24,0.869463438,0.929,0.828,3.94E-20,Neat1
11,0.011328917,0.860811425,0.429,0.344,1,Ubd
12,1.33E-21,0.81457774,0.936,0.752,2.17E-17,Ctsd
13,1.18E-08,0.799240905,0.968,0.949,0.000191999,Reg3g
14,1.43E-17,0.79153289,0.923,0.834,2.34E-13,Cdkn1a
15,4.39E-11,0.78476676,0.981,0.936,7.18E-07,Guca2a
16,3.95E-12,0.765531476,0.853,0.675,6.46E-08,Emp1
17,3.81E-15,0.748014422,0.91,0.879,6.22E-11,Muc3
18,1.81E-17,0.747571258,0.885,0.701,2.95E-13,Ms4a10
19,2.13E-09,0.737605228,0.968,0.955,3.48E-05,Gm42418
20,9.52E-15,0.731807701,0.885,0.694,1.55E-10,Ahnak
21,1.55E-17,0.729218369,0.865,0.586,2.54E-13,Lamc2
22,8.59E-15,0.710817598,0.936,0.904,1.40E-10,Serpinb1a
23,1.76E-19,0.709686583,0.936,0.841,2.88E-15,Cdh1
24,9.03E-20,0.70858872,0.981,0.981,1.47E-15,Krt19
25,1.15E-20,0.705958858,0.949,0.834,1.87E-16,Cdhr5
26,1.03E-08,0.704848642,0.897,0.892,0.000167576,Ccnd2
27,4.87E-20,0.702170862,0.949,0.815,7.95E-16,Cldn3
28,4.29E-18,0.70063982,0.846,0.662,7.01E-14,Cxadr
29,1.46E-09,0.698279192,0.949,0.885,2.39E-05,Lgals3
30,6.76E-12,0.691564802,0.821,0.618,1.10E-07,Gsta4
31,8.26E-08,0.687336769,0.571,0.338,0.001348942,F3
32,9.38E-20,0.687323501,0.846,0.586,1.53E-15,Cxcl16
33,7.33E-09,0.674292135,0.904,0.898,0.000119647,2210407C18Rik
34,5.63E-20,0.672704856,0.897,0.707,9.19E-16,F11r
35,3.07E-09,0.663132496,0.949,0.796,5.01E-05,Xist
36,5.16E-06,0.656732063,0.981,0.968,0.084252069,Reg3b
37,5.09E-11,0.652703483,0.968,0.943,8.31E-07,Prap1
38,2.83E-13,0.643735356,0.962,0.949,4.62E-09,Guca2b
39,7.50E-20,0.640085386,0.936,0.885,1.22E-15,Itm2b
40,0.000346241,0.637704427,0.705,0.592,1,Nupr1
41,9.85E-07,0.633496176,0.756,0.631,0.016075531,Anxa1
42,1.25E-11,0.619197729,0.66,0.331,2.05E-07,Basp1
43,2.69E-16,0.619091273,1,0.994,4.40E-12,Krt8
44,2.49E-18,0.613491786,0.891,0.65,4.07E-14,Tob1
45,2.19E-20,0.611775879,0.885,0.548,3.58E-16,Itgb4
46,5.78E-21,0.599452978,0.949,0.834,9.43E-17,Cdh17
47,1.99E-11,0.597272684,0.955,0.904,3.25E-07,Anxa2
48,1.05E-14,0.596635628,0.904,0.764,1.72E-10,Plec
49,6.22E-14,0.583605346,0.853,0.631,1.02E-09,Ms4a8a
50,1.64E-15,0.578543604,0.897,0.726,2.68E-11,Gsn
