Supplementary Table 7. Gene signatures used in this study,,,,,,,,,
All-HR,TME-HR,EpiHR,Lgr5 signature,Wnt ON signature (Morral et al. 2020),mKi67 (Basak et al. 2014),Basal pancreatic cancer cells (Raghavan et al. 2021),YAP_22 (Wang et al. 2018),Fetal (Mustata et al. 2013),coreHRC
PABPC5,PABPC5,NGRN,BCL11B,ASCL2,CDKN1B,KRT6A,CYR61,SPP1,LAMB3
RBM46,RBM46,FBXL13,AXIN2,AXIN2,PIF1,S100A2,CTGF,GJA1,SDCBP2
TAS2R8,TAS2R8,ITGA3,LGR5,LGR5,CCNA1,KRT13,AMOTL2,BASP1,EMP1
IFNA5,IFNA5,SLC25A25,ASCL2,KIAA1199,GTSE1,KRT17,ANKRD1,TACSTD2,EPS8L1
COL1A1,COL1A1,SEMA4B,LRIG1,SP5,CEP55,LY6D,IGFBP3,SFTPD,JUP
LUM,LUM,MAPK3,,AXIN2,KIF20B,KRT7,F3,MAL,LMO7
TPT1,TPT1,RIN1,,CACHD1,CENPE,KRT5,FJX1,CLU,MYOF
ZDHHC15,ZDHHC15,PNPLA2,,CST1,KIF18A,FAM83A,NUAK2,WFDC2,ITGB4
C11orf96,C11orf96,RHOD,,LGR5,BUB1,CD109,LATS2,MSLN,GPRC5A
VCAN,VCAN,MID1IP1,,SMOC2,CDC25B,GAPDH,CRIM1,VSIG1,AHNAK
DCN,DCN,DDR1,,FAM216A,GJB3,CSTA,GADD45A,TUBB6,CAMK2N1
IGFBP5,IGFBP5,LAMB3,,LEF1,KNSTRN,PTPN13,TGFB2,CRIP2,C19orf33
IGFBP7,IGFBP7,FLRT1,,CYP4X1,CDCA3,MTSS1,PTPN14,ANXA1,MYH14
USP44,USP44,PRSS22,,SLC12A2,KIF18B,SPRR1B,NT5E,COL4A1,CD55
SRP14,SRP14,LAMC2,,ASCL2,MELK,SLC2A1,FOXF2,IL33,RHOF
ANTXR1,ANTXR1,HOXA4,,DPEP1,TROAP,CAV1,AXL,COL4A2,TMBIM1
CTSK,CTSK,FAM83A,,NKD1,DDIAS,EMP1,DOCK5,KRT4,SEMA3B
COL3A1,COL3A1,EXOC7,,LRP4,CKAP2,SEMA3C,ASAP1,IGFBP7,TINAGL1
HYAL2,HYAL2,TNFRSF21,,ZNRF3,KIF20A,DHRS9,RBMS3,AKAP13,MISP
COL5A1,COL5A1,RIPK4,,PTPRO,MIS18BP1,CAST,MYOF,ECSCR,COL17A1
CALD1,CALD1,PRPH,,APCDD1,CCNB2,FLNA,ARHGEF17,GKN1,PLEC
POSTN,POSTN,KRT19,,TNFRSF19,CDC20,SLITRK6,CCDC80,CDH13,TSPAN1
FXR2,FXR2,COLEC10,,SLC12A2,CKAP2L,COL7A1,,SLC45A3,ABHD11-AS1
SPARC,SPARC,SPINT1,,SOX2,CCNB1,AQP3,,EFNA5,PTPRH
ADAMTS2,ADAMTS2,VGLL1,,PTCH1,CRYM,MT2A,,ANXA8,CRB3
