Supplementary Table 6. Gene signatures used throughout the study.,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
GSEA name,MUNOZ LGR5 SIGNATURE,MUSTATA FETAL SPHEROID UPREGULATED,Label Retaining Cells,Revival Stem Cells,Enteroendocrine,Paneth Cells,Mucosecreeting,Crypt proliferation,Mex3a signature Barriga et al.,Secretory Progenitors,Goblet,Lgr5 Signature,ki67 (HI vs low) signature,Human LGR5-Hi / MEX3A-Hi signature,Human Lgr5-HI / Mex3a-Low signature,YAP direct targets
Source (if applicable),https://www.ncbi.nlm.nih.gov/pubmed/22692129,https://www.ncbi.nlm.nih.gov/pubmed/24139799,https://pubmed.ncbi.nlm.nih.gov/23446353/,https://pubmed.ncbi.nlm.nih.gov/31019301/,,,,https://pubmed.ncbi.nlm.nih.gov/21892181/,https://pubmed.ncbi.nlm.nih.gov/28285904/,,,,https://pubmed.ncbi.nlm.nih.gov/28468934/,MEX3A,KIF11,
,1300002K09RIK,Spp1,NUF2,CLU,NGN3,DLL4,MUC2,AEN,MEX3A,HEAPACAM2,Tff3,LGR5,CDKN1B,SMOC2,NCAPG,Anxa1
,6230424C14RIK,Gja1,CHGA,ANXA1,ATH1,TGFA,MUC1,ALMS1,AIRN ,SELM,Clca1,ASCL2,PIF1,NOTUM,PRR11,Ccn1
,ADRA2A,Ctgf,AP2A1,MIF,BETA2,EGF,MUC3,ANKRD26,ANG4 ,CCK,Wfdc2,LRIG1,CCNA1,MDK,CEACAM6,Ccn2
,AFAP1,Basp1,GCLC,NPM1,SECRETIN,WNT11,MUC17,ANLN,ATP5G2 ,CHGB,Spink1,BCL11B,GTSE1,TUBA1A,HMGN2,Fjx1
,ANGPT2,Tacstd2,PANK2,CCND1,CCK,WNT3,SPINK4,AQP4,AY761184 ,DLL1,Reg4,AXIN2,AC087721.2,NKD1,DEK,Axl
,APCDD1,Car2,KIF20A,,GLP1,DEFA1,DLL1,ASF1B,BAALC ,NEUROD1,,,AC087721.2,SOX4,KIF20A,Ereg
,ARHGEF4,Sftpd,CSRNP1,,NTS,LYZ1,DLL4,ASPM,BCL6 ,RNASE1,,,DEPDC1,TM4SF1,ASF1B,Wwc2
,ARL4C,Mal,RUVBL2,,HTR2A,LYZ2,SPDEF,ATAD2,BOC ,CCL6,,,CEP55,CXCL8,ARHGEF39,
,ASCL2,Clu,BRCA2,,TACR1,TFF3,TFF3,ATAD5,C76336 ,CCL9,,,KIF20B,PCSK1N,MYBL2,
,ATG16L2,Wfdc2,SUPV3L1,,SSTR2,MUC2,RETLNB,ATIC,CAD ,FCGBP,,,CENPE,TM7SF2,KPNA2,
,ATM,Msln,MET,,GAST,AGR2,FCGBP,AU016916,CBX1 ,SPDEF,,,KIF18A,FAM46A,GGCT,
,AXIN2,Vsig1,NUP85,,PYY,REG4,KLF4,AU020206,CCDC55 ,INSM1,,,BUB1,SERPINA1,RNASEH2A,
,B930095G15RIK,Expi,TIAM1,,GLP1R,DLL1,ELF3,AURKA,CCDC66 ,DLL4,,,CDC25B,PERP,SMC2,
,CACHD1,Tubb6,PPAT,,GLP2R,KIT,MUC5AC,AURKB,CCDC91 ,REP15,,,GJB3,LRMP,GINS2,
,CAR12,Ly6a,SNAP25,,NEUROD1,,MUC5B,BAG2,CCL27A ,REG4,,,KNSTRN,KLK1,FABP5,
,CASP12,Syt14l,ABCF3,,GHRL,,MUC6,BARD1,CD44 ,,,,CDCA3,CST3,NUP37,
,CBX6,Crip2,CACNA1A,,SST,,ATH1,BBS7,CD86 ,,,,KIF18B,RAB26,DTYMK,
,CC2D2A,Anxa1,DDX11,,CCK1,,,BCKDHB,CENPB ,,,,MELK,ZNF503,CCNF,
,CD320,Col4a1,TPH1,,CKK2,,,BCL7A,CEP97 ,,,,TROAP,KRT17,H2AFZ,
,CDC42EP1,Il33,LHPP,,,,,BLM,CLEC2I ,,,,DDIAS,IFI27,ARL6IP1,
,CDO1,Ly6f,FBXW11,,,,,BRCA1,CLU ,,,,CKAP2,SMAD9,GAL,
,CES3,Sprr1a,PEG3,,,,,BUB1,CNNM1 ,,,,KIF20A,DACH1,HSPD1,
,CGNL1,Lor,KCTD3,,,,,BUB1B,CSNK1E ,,,,MIS18BP1,KRT19,BUB1,
,CITED4,Col4a2,TUBGCP3,,,,,CASC5,CWF19L2 ,,,,CCNB2,ITPR2,SMC4,
,CLCA1,Krt4,KIF3A,,,,,CASP12,D16ERTD472E ,,,,CDC20,RASSF6,FAM64A,
,CLCA2,Igfbp7,OSBPL8,,,,,CBX6,DDX24 ,,,,CKAP2L,F10,HIST1H4C,
,CLIC6,Akap13,WDR92,,,,,CCBE1,DEFA21 /// DEFA22 ,,,,CCNB1,FAM213A,RACGAP1,
,CPN1,Sptssb,C2CD2,,,,,CCDC14,DEFA5 /// GM10104 /// GM15315 ,,,,CRYM,GDF15,ZWINT,
,CTTNBP2,Ecscr,PAX6,,,,,CCDC18,DEFA-RS1 ,,,,TPX2,RHOB,TUBB4B,
,CYP2E1,Ivl,NOTCH1,,,,,CCDC99,DGKD ,,,,DLGAP5,RASD1,TROAP,
,D930015E06RIK,Gkn1,RAB23,,,,,CCNA2,DYNLT1F ,,,,CDK1,IGF2,HSPE1,
,DCT,Akr1b8,ZBTB48,,,,,CCNE1,EDN1 ,,,,BORA,IL13RA1,KIF18B,
,DDB2,Cdh13,MCTP2,,,,,CCNF,EIF4G1 ,,,,NEK2,HSPB1,CDC25C,
,DDO,Slc45a3,MDM1,,,,,CDC2,EMP2 ,,,,CDKN3,KIAA1324,CKAP2,
,DYNC2H1,Efna5,HMGXB4,,,,,CDC45L,EPHA4 ,,,,ASPM,FBXO2,KIFC1,
,E230029C05RIK,Anxa8,CD44,,,,,CDC6,EXOC6B ,,,,PSRC1,TEAD2,NOX1,
,ELL3,1700007K13Rik,BECN1,,,,,CDC7,EXOSC10 ,,,,KIF23,CHD6,TK1,
,EMP2,Acsm3,ATL1,,,,,CDCA2,EXT2 ,,,,PCSK6,CDKN1C,CDCA8,
,EPHA4,Ppic,SMG6,,,,,CDCA5,FAM115A ,,,,OSCP1,AKR1C3,KIF20B,
,EPHB3,Anxa3,FBXO38,,,,,CDCA7L,FAM222A ,,,,SLC28A3,TNFRSF12A,ECT2,
,ESAM,Eda2r,ZDHHC14,,,,,CDK2,FANCG ,,,,NRARP,PMEPA1,MCM7,
,ESRRG,S100a6,EPHB4,,,,,CELSR2,FGFR4 ,,,,CENPA,HPCAL1,RANBP1,
,EVL,Ldh2,TMEM43,,,,,CENPA,FGFRL1 ,,,,ALPP,HSPA2,CDCA2,
,FARP1,Ly6c,GRK5,,,,,CENPE,FOXN3 ,,,,ALPP,PLK2,CENPW,
,FBXO21,Efemp1,CADPS,,,,,CENPF,GM10071 /// RPL13 ,,,,ALPP,NGFRAP1,TUBA1C,
,FGFR4,Ddit4l,SSH2,,,,,CENPI,GM15247 ,,,,SHCBP1,FOXA2,SPC25,
,FMNL2,Pdzk1ip1,PLCE1,,,,,CENPN,GM16740 ,,,,ARHGEF39,ITGB8,KIF18A,
,FSTL1,Ly6d,NR4A1,,,,,CENPP,GM17250 ,,,,ANLN,AKAP12,CEP55,
,FZD2,2310002J15Rik,ENOX2,,,,,CEP192,GM8096 /// PHGDH ,,,,HMMR,KLF4,SGOL1,
,GAS6,Cugbp2,RFX6,,,,,CEP55,GM996 ,,,,PARPBP,AREG,UBE2T,
,GKAP1,Laptm5,CDK5RAP2,,,,,CEP76,GTF2F1 ,,,,TLR1,HOTAIRM1,ASPM,
,GKN3,Plekhs1,TSEN2,,,,,CEP97,HMGCS2 ,,,,CDC25C,FHL2,CKS1B,
,GPLD1,Dscr6,PTGFRN,,,,,CHAF1B,HS2ST1 ,,,,CCNF,MLLT11,ANLN,
,GPER,Hs6st2,PTPRG,,,,,CHEK1,HSD17B14 ,,,,AURKA,AZGP1,KIF2C,
,GRAMD1A,,TRRAP,,,,,CHTF18,IFT27 ,,,,PRC1,MALAT1,PBK,
,HUNK,,DROSHA,,,,,CKAP2L,IGF1R ,,,,CENPF,KLF6,PRC1,
,IGFBP4,,GNAO1,,,,,CKLF,IKBIP /// LOC100862563 ,,,,GSDMC,DST,DEPDC1,
,IL17RD,,ABCA1,,,,,CKS1B,INPP5F ,,,,SPC25,DPYSL3,HMGB1,
