"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence","condition","Columns"
"fib","revCSC","Tgfb1","TGFbR1_R2",0.00109178197066566,0,"TGFB1_TGFBR1_TGFBR2","Tgfb1 - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350","fibWT","fibWT_revCSC"
"fib","revCSC","Tgfb2","TGFbR1_R2",0.000263732373034105,0,"TGFB2_TGFBR1_TGFBR2","Tgfb2  - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350","fibWT","fibWT_revCSC"
"fib","TA 2","Tgfb2","TGFbR1_R2",0.000300707561945891,0.03,"TGFB2_TGFBR1_TGFBR2","Tgfb2  - (Tgfbr1+Tgfbr2)","TGFb","Secreted Signaling","KEGG: mmu04350","fibWT","fibWT_TA 2"
"fib","TA 2","Tgfb1","ACVR1B_TGFbR2",0.00115616410513924,0,"TGFB1_ACVR1B_TGFBR2","Tgfb1  - (Acvr1b+Tgfbr2)","TGFb","Secreted Signaling","PMID: 27449815","fibWT","fibWT_TA 2"
"fib","TA 2","Tgfb2","ACVR1B_TGFbR2",0.000279379342582884,0,"TGFB2_ACVR1B_TGFBR2","Tgfb2  - (Acvr1b+Tgfbr2)","TGFb","Secreted Signaling","PMID: 27449815","fibWT","fibWT_TA 2"
"fib","revCSC","Tgfb2","ACVR1_TGFbR",0.00046133348087712,0.01,"TGFB2_ACVR1_TGFBR1","Tgfb2  - (Acvr1+Tgfbr1)","TGFb","Secreted Signaling","PMID: 29376829","fibWT","fibWT_revCSC"
"fib","TA 2","Wnt4","FZD5_LRP6",0.00137448596774099,0,"WNT4_FZD5_LRP6","Wnt4  - (Fzd5+Lrp6)","WNT","Secreted Signaling","KEGG: mmu04310; PMID: 23209147","fibWT","fibWT_TA 2"
"fib","Early Enterocyte","Wnt4","FZD5_LRP6",0.000991505453166343,0,"WNT4_FZD5_LRP6","Wnt4  - (Fzd5+Lrp6)","WNT","Secreted Signaling","KEGG: mmu04310; PMID: 23209147","fibWT","fibWT_Early Enterocyte"
"fib","TA 2","Wnt5a","Fzd5",0.000454457858767099,0,"WNT5A_FZD5","Wnt5a  - Fzd5","ncWNT","Secreted Signaling","KEGG: mmu04310","fibWT","fibWT_TA 2"
"fib","Early Enterocyte","Wnt5a","Fzd5",0.000228293728064797,0,"WNT5A_FZD5","Wnt5a  - Fzd5","ncWNT","Secreted Signaling","KEGG: mmu04310","fibWT","fibWT_Early Enterocyte"
"fib","revCSC","Ereg","Egfr",0.000543626966197199,0,"EREG_EGFR","Ereg  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012","fibWT","fibWT_revCSC"
"fib","TA 1","Ereg","Egfr",0.000383768142604043,0,"EREG_EGFR","Ereg  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012","fibWT","fibWT_TA 1"
"fib","TA 2","Ereg","Egfr",0.00103785015443817,0,"EREG_EGFR","Ereg  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012","fibWT","fibWT_TA 2"
"fib","ER Stress","Ereg","Egfr",0.000384131300703461,0.02,"EREG_EGFR","Ereg  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012","fibWT","fibWT_ER Stress"
"fib","Goblet / DCS","Ereg","Egfr",0.000636080635581049,0.01,"EREG_EGFR","Ereg  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012","fibWT","fibWT_Goblet / DCS"
"fib","Late Enterocyte","Ereg","Egfr",0.000454332326497958,0,"EREG_EGFR","Ereg  - Egfr","EGF","Secreted Signaling","KEGG: mmu04012","fibWT","fibWT_Late Enterocyte"
"fib","TA 2","Ereg","EGFR_ERBB2",0.00146750051629388,0,"EREG_EGFR_ERBB2","Ereg  - (Egfr+Erbb2)","EGF","Secreted Signaling","KEGG: mmu04012","fibWT","fibWT_TA 2"
"fib","Late Enterocyte","Ereg","EGFR_ERBB2",0.000410518694716573,0,"EREG_EGFR_ERBB2","Ereg  - (Egfr+Erbb2)","EGF","Secreted Signaling","KEGG: mmu04012","fibWT","fibWT_Late Enterocyte"
"fib","proCSC","Nrg1","Erbb3",0.000115732918877375,0,"NRG1_ERBB3","Nrg1  - Erbb3","NRG","Secreted Signaling","KEGG: mmu04012","fibWT","fibWT_proCSC"
"fib","revCSC","Nrg1","Erbb3",0.000104900047978083,0,"NRG1_ERBB3","Nrg1  - Erbb3","NRG","Secreted Signaling","KEGG: mmu04012","fibWT","fibWT_revCSC"
"fib","TA 2","Nrg1","Erbb3",0.000452632824038862,0,"NRG1_ERBB3","Nrg1  - Erbb3","NRG","Secreted Signaling","KEGG: mmu04012","fibWT","fibWT_TA 2"
"fib","ER Stress","Nrg1","Erbb3",0.000270133498942268,0,"NRG1_ERBB3","Nrg1  - Erbb3","NRG","Secreted Signaling","KEGG: mmu04012","fibWT","fibWT_ER Stress"
"fib","Goblet / DCS","Nrg1","Erbb3",0.00023083653342383,0,"NRG1_ERBB3","Nrg1  - Erbb3","NRG","Secreted Signaling","KEGG: mmu04012","fibWT","fibWT_Goblet / DCS"
"fib","Early Enterocyte","Nrg1","Erbb3",0.000231223354583773,0,"NRG1_ERBB3","Nrg1  - Erbb3","NRG","Secreted Signaling","KEGG: mmu04012","fibWT","fibWT_Early Enterocyte"
"fib","Late Enterocyte","Nrg1","Erbb3",0.000255021260197037,0,"NRG1_ERBB3","Nrg1  - Erbb3","NRG","Secreted Signaling","KEGG: mmu04012","fibWT","fibWT_Late Enterocyte"
"fib","TA 2","Nrg1","ERBB2_ERBB3",0.000649931121895042,0,"NRG1_ERBB2_ERBB3","Nrg1  - (Erbb2+Erbb3)","NRG","Secreted Signaling","KEGG: mmu04012","fibWT","fibWT_TA 2"
"fib","Early Enterocyte","Nrg1","ERBB2_ERBB3",0.000237298361957682,0,"NRG1_ERBB2_ERBB3","Nrg1  - (Erbb2+Erbb3)","NRG","Secreted Signaling","KEGG: mmu04012","fibWT","fibWT_Early Enterocyte"
"fib","Late Enterocyte","Nrg1","ERBB2_ERBB3",0.000206174475293479,0,"NRG1_ERBB2_ERBB3","Nrg1  - (Erbb2+Erbb3)","NRG","Secreted Signaling","KEGG: mmu04012","fibWT","fibWT_Late Enterocyte"
"fib","TA 2","Igf1","Igf1r",0.000106492015556041,0,"IGF1_IGF1R","Igf1  - Igf1r","IGF","Secreted Signaling","PMID: 14604834","fibWT","fibWT_TA 2"
"fib","CSC","Igf1","ITGA6_ITGB4",0.000398118075329681,0,"IGF1_ITGA6_ITGB4","Igf1  - (Itga6+Itgb4)","IGF","Secreted Signaling","PMID: 28190785; PMID: 28873464","fibWT","fibWT_CSC"
"fib","proCSC","Igf1","ITGA6_ITGB4",0.000437142142610002,0,"IGF1_ITGA6_ITGB4","Igf1  - (Itga6+Itgb4)","IGF","Secreted Signaling","PMID: 28190785; PMID: 28873464","fibWT","fibWT_proCSC"
"fib","revCSC","Igf1","ITGA6_ITGB4",0.000455521416601795,0,"IGF1_ITGA6_ITGB4","Igf1  - (Itga6+Itgb4)","IGF","Secreted Signaling","PMID: 28190785; PMID: 28873464","fibWT","fibWT_revCSC"
"fib","TA 1","Igf1","ITGA6_ITGB4",0.000662677980695848,0,"IGF1_ITGA6_ITGB4","Igf1  - (Itga6+Itgb4)","IGF","Secreted Signaling","PMID: 28190785; PMID: 28873464","fibWT","fibWT_TA 1"
"fib","TA 2","Igf1","ITGA6_ITGB4",0.000774667370656621,0,"IGF1_ITGA6_ITGB4","Igf1  - (Itga6+Itgb4)","IGF","Secreted Signaling","PMID: 28190785; PMID: 28873464","fibWT","fibWT_TA 2"
"fib","ER Stress","Igf1","ITGA6_ITGB4",0.000376705654180686,0,"IGF1_ITGA6_ITGB4","Igf1  - (Itga6+Itgb4)","IGF","Secreted Signaling","PMID: 28190785; PMID: 28873464","fibWT","fibWT_ER Stress"
