"source","target","pathway_name","prob","pval","condition","Columns"
"fib","CSC","ANGPTL",0.0184395026162876,0,"fibWT","fibWT_CSC"
"fib","CSC","COLLAGEN",0.451393101453222,0.002,"fibWT","fibWT_CSC"
"fib","CSC","FN1",0.0863622558590827,0.00333333333333333,"fibWT","fibWT_CSC"
"fib","CSC","IGF",0.000398118075329681,0,"fibWT","fibWT_CSC"
"fib","CSC","JAM",0.00480543823135686,0,"fibWT","fibWT_CSC"
"fib","CSC","LAMININ",0.0383185775113243,0.00307692307692308,"fibWT","fibWT_CSC"
"fib","CSC","NECTIN",0.00148041200659157,0,"fibWT","fibWT_CSC"
"fib","CSC","PTN",0.213973228719153,0,"fibWT","fibWT_CSC"
"fib","CSC","SPP1",0.0297646785574627,0,"fibWT","fibWT_CSC"
"fib","CSC","TENASCIN",0.0211229330147735,0,"fibWT","fibWT_CSC"
"fib","CSC","THBS",0.110351056032049,0.001,"fibWT","fibWT_CSC"
"fib","CSC","TWEAK",0.015943552596745,0,"fibWT","fibWT_CSC"
"fib","ER Stress","ANGPTL",0.0160953859812646,0,"fibWT","fibWT_ER Stress"
"fib","ER Stress","COLLAGEN",0.276648407342385,0.00181818181818182,"fibWT","fibWT_ER Stress"
"fib","ER Stress","EGF",0.000384131300703461,0.02,"fibWT","fibWT_ER Stress"
"fib","ER Stress","FN1",0.0244118504607229,0,"fibWT","fibWT_ER Stress"
"fib","ER Stress","IGF",0.000376705654180686,0,"fibWT","fibWT_ER Stress"
"fib","ER Stress","JAM",0.0112028444711159,0,"fibWT","fibWT_ER Stress"
"fib","ER Stress","LAMININ",0.0356508697262787,0,"fibWT","fibWT_ER Stress"
"fib","ER Stress","NECTIN",0.00333006556815391,0,"fibWT","fibWT_ER Stress"
"fib","ER Stress","NRG",0.000270133498942268,0,"fibWT","fibWT_ER Stress"
"fib","ER Stress","SPP1",0.0376160719825305,0.015,"fibWT","fibWT_ER Stress"
"fib","ER Stress","TENASCIN",0.0201049310933105,0,"fibWT","fibWT_ER Stress"
"fib","ER Stress","THBS",0.131463031819478,0.002,"fibWT","fibWT_ER Stress"
"fib","ER Stress","TWEAK",0.0209673536664587,0,"fibWT","fibWT_ER Stress"
"fib","Early Enterocyte","ANGPTL",0.0173450089987674,0,"fibWT","fibWT_Early Enterocyte"
"fib","Early Enterocyte","COLLAGEN",0.310559561376604,0.000952380952380952,"fibWT","fibWT_Early Enterocyte"
"fib","Early Enterocyte","FN1",0.057973877280705,0,"fibWT","fibWT_Early Enterocyte"
"fib","Early Enterocyte","IGF",0.00043289463124171,0,"fibWT","fibWT_Early Enterocyte"
"fib","Early Enterocyte","JAM",0.0046882282340484,0,"fibWT","fibWT_Early Enterocyte"
"fib","Early Enterocyte","LAMININ",0.0288929193830248,0,"fibWT","fibWT_Early Enterocyte"
"fib","Early Enterocyte","NECTIN",0.00174604147495634,0,"fibWT","fibWT_Early Enterocyte"
"fib","Early Enterocyte","NRG",0.000468521716541455,0,"fibWT","fibWT_Early Enterocyte"
"fib","Early Enterocyte","PTN",0.083842669663157,0,"fibWT","fibWT_Early Enterocyte"
"fib","Early Enterocyte","TENASCIN",0.0198716569799494,0,"fibWT","fibWT_Early Enterocyte"
"fib","Early Enterocyte","THBS",0.105190720551201,0,"fibWT","fibWT_Early Enterocyte"
"fib","Early Enterocyte","TWEAK",0.0112527188062974,0,"fibWT","fibWT_Early Enterocyte"
"fib","Early Enterocyte","WNT",0.000991505453166343,0,"fibWT","fibWT_Early Enterocyte"
"fib","Early Enterocyte","ncWNT",0.000228293728064797,0,"fibWT","fibWT_Early Enterocyte"
"fib","Goblet / DCS","ANGPTL",0.014895119542665,0,"fibWT","fibWT_Goblet / DCS"
"fib","Goblet / DCS","COLLAGEN",0.393350133194434,0,"fibWT","fibWT_Goblet / DCS"
"fib","Goblet / DCS","EGF",0.000636080635581049,0.01,"fibWT","fibWT_Goblet / DCS"
"fib","Goblet / DCS","FN1",0.0581499526784855,0,"fibWT","fibWT_Goblet / DCS"
"fib","Goblet / DCS","IGF",0.000506349615948509,0,"fibWT","fibWT_Goblet / DCS"
"fib","Goblet / DCS","JAM",0.00745702824558619,0,"fibWT","fibWT_Goblet / DCS"
"fib","Goblet / DCS","LAMININ",0.04268895441407,0,"fibWT","fibWT_Goblet / DCS"
"fib","Goblet / DCS","MPZ",0.000459042144503066,0.04,"fibWT","fibWT_Goblet / DCS"
"fib","Goblet / DCS","NRG",0.00023083653342383,0,"fibWT","fibWT_Goblet / DCS"
"fib","Goblet / DCS","PTN",0.0717723114961874,0,"fibWT","fibWT_Goblet / DCS"
"fib","Goblet / DCS","TENASCIN",0.0170683408447135,0,"fibWT","fibWT_Goblet / DCS"
"fib","Goblet / DCS","THBS",0.109587643281781,0,"fibWT","fibWT_Goblet / DCS"
"fib","Goblet / DCS","TWEAK",0.0227800953869979,0,"fibWT","fibWT_Goblet / DCS"
"fib","Late Enterocyte","ANGPTL",0.0169768476506045,0,"fibWT","fibWT_Late Enterocyte"
"fib","Late Enterocyte","COLLAGEN",0.423195223437095,0,"fibWT","fibWT_Late Enterocyte"
"fib","Late Enterocyte","EGF",0.000864851021214531,0,"fibWT","fibWT_Late Enterocyte"
"fib","Late Enterocyte","EPHA",0.000173959081558763,0,"fibWT","fibWT_Late Enterocyte"
"fib","Late Enterocyte","FN1",0.0943779548920144,0,"fibWT","fibWT_Late Enterocyte"
"fib","Late Enterocyte","IGF",0.000599493878396287,0,"fibWT","fibWT_Late Enterocyte"
"fib","Late Enterocyte","JAM",0.00939531953257474,0,"fibWT","fibWT_Late Enterocyte"
