"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.29375318356459e-240,2.69075392694872,0.991,0.371,2.42966847873429e-236,"Fib_CD34-","Prkg2"
2.91140472782897e-230,2.31744592430062,0.991,0.492,5.46761807886281e-226,"Fib_CD34-","Lgals3"
2.42280140742691e-198,2.23610936405436,0.997,0.783,4.55002104314774e-194,"Fib_CD34-","Ly6c1"
5.01597152607987e-205,2.23378180769691,0.891,0.113,9.41999452597799e-201,"Fib_CD34-","Ifitm1"
2.73007859597096e-66,2.10029105882153,0.691,0.274,5.12708760323346e-62,"Fib_CD34-","Spp1"
4.65815417728273e-198,2.0494447595686,0.964,0.395,8.74801354493697e-194,"Fib_CD34-","H2bc4"
7.06605815831901e-202,1.97486092846143,0.995,0.918,1.32700572213231e-197,"Fib_CD34-","Vcan"
4.48722063682224e-212,1.96757286719761,0.987,0.553,8.42700035595217e-208,"Fib_CD34-","Hgf"
5.89072385075101e-222,1.86009751423873,0.997,0.931,1.10627793917104e-217,"Fib_CD34-","S100a4"
5.48930234008872e-212,1.76476121783023,0.994,0.66,1.03089097946866e-207,"Fib_CD34-","Basp1"
2.0099939418275e-163,1.75403755703409,0.782,0.082,3.77476862275204e-159,"Fib_CD34-","Ereg"
6.84763959606539e-230,1.63828610649433,0.999,0.997,1.28598671614108e-225,"Fib_CD34-","Tmem167"
1.0530200834081e-193,1.61818310129969,1,0.947,1.97757171664041e-189,"Fib_CD34-","S100a10"
2.86910127232257e-137,1.57157089923133,0.999,0.995,5.38817218942179e-133,"Fib_CD34-","Ifi27l2a"
1.45651055654391e-168,1.56927896713711,0.895,0.264,2.73532682518946e-164,"Fib_CD34-","Adamts1"
8.05725280305041e-206,1.5303878352177,0.963,0.291,1.51315207641287e-201,"Fib_CD34-","Crlf1"
7.07786627151622e-196,1.48390362538603,1,1,1.32922328579075e-191,"Fib_CD34-","Ctsl"
2.21054468502345e-98,1.44108589967611,0.487,0.01,4.15140291847403e-94,"Fib_CD34-","Gm5886"
1.00111794948224e-29,1.42890995988224,0.931,0.868,1.88009950912764e-25,"Fib_CD34-","Ccl2"
2.3917730751825e-168,1.39851640115791,1,1,4.49174983519274e-164,"Fib_CD34-","Actb"
9.87319044757426e-175,1.3974147631392,1,0.966,1.85418516605445e-170,"Fib_CD34-","Actg1"
1.32910712243114e-79,1.34613819543298,0.698,0.228,2.49606317592568e-75,"Fib_CD34-","Mmp3"
1.48256088163081e-193,1.33626979341351,0.994,0.846,2.78424933570267e-189,"Fib_CD34-","Tpm4"
3.13273367603072e-218,1.33449807798437,1,0.996,5.8832738435857e-214,"Fib_CD34-","Ssr4"
7.86564207094141e-158,1.33376323899743,0.995,0.955,1.4771675809228e-153,"Fib_CD34-","Sat1"
5.44280781869273e-166,1.32798585314795,1,0.996,1.02215930835049e-161,"Fib_CD34-","Tmsb4x"
9.80662528815729e-119,1.32606901660353,0.995,0.931,1.84168422911594e-114,"Fib_CD34-","Neat1"
6.38361344848186e-156,1.30625485262524,0.996,0.916,1.19884260562489e-151,"Fib_CD34-","Cavin3"
2.53892881270131e-207,1.27780130875952,0.936,0.162,4.76810831025306e-203,"Fib_CD34-","Hand2"
4.28866496385582e-220,1.26065361709376,0.879,0.026,8.05411280212123e-216,"Fib_CD34-","Cd55"
3.53556030620287e-151,1.25495251476491,0.996,0.973,6.63978225504899e-147,"Fib_CD34-","Prdx4"
7.69861277087025e-153,1.24575807513663,0.97,0.541,1.44579947836943e-148,"Fib_CD34-","Ndn"
1.21685437128386e-154,1.22446472152781,0.999,0.799,2.28525250927108e-150,"Fib_CD34-","Lmo4"
5.08324754553461e-173,1.21182480995639,0.837,0.124,9.546338890514e-169,"Fib_CD34-","Pde10a"
4.10708279936307e-137,1.19217732052803,1,0.961,7.71310149720385e-133,"Fib_CD34-","Fn1"
2.44290949842881e-209,1.17726438222346,1,0.999,4.58778403804931e-205,"Fib_CD34-","Selenow"
6.95562319009665e-190,1.17497359673657,1,0.993,1.30626603510015e-185,"Fib_CD34-","Npc2"
2.95803018699467e-140,1.16930709095357,1,0.992,5.55518069117599e-136,"Fib_CD34-","Tmsb10"
8.22422067765853e-170,1.15264892266666,0.997,0.995,1.54450864326427e-165,"Fib_CD34-","H2aj"
3.09906073607001e-184,1.14346720951169,0.999,0.971,5.82003606233947e-180,"Fib_CD34-","Calm1"
6.13971212339281e-143,1.14067897591085,0.981,0.698,1.15303793677317e-138,"Fib_CD34-","Pdlim2"
9.39325990826012e-76,1.13738420064472,0.994,0.959,1.76405421077125e-71,"Fib_CD34-","Isg15"
2.28824981280127e-167,1.1237175850311,0.899,0.208,4.29733314844078e-163,"Fib_CD34-","Cd24a"
1.48113232508588e-169,1.12008949543015,0.997,0.803,2.78156650651128e-165,"Fib_CD34-","Ctsd"
9.85479886855885e-197,1.11488350667099,0.827,0.034,1.85073122751535e-192,"Fib_CD34-","Gucy1b1"
1.16083726893889e-118,1.10788351903277,0.991,0.886,2.18005239106724e-114,"Fib_CD34-","Grem1"
6.90009225125984e-181,1.10481527084113,0.999,0.951,1.2958373247866e-176,"Fib_CD34-","Sh3glb1"
5.25489753436272e-175,1.10055791676354,0.983,0.515,9.86869756953319e-171,"Fib_CD34-","Mfge8"
2.29296196626128e-147,1.08891391632304,0.996,0.853,4.30618257263868e-143,"Fib_CD34-","Fstl1"
1.70662611303686e-162,1.08474556527749,0.992,0.785,3.20504384028322e-158,"Fib_CD34-","Siva1"
1.200278495536e-169,1.08335664526443,0.792,0.067,2.2541230146166e-165,"Fib_CD34-","Gdpd2"
4.92114212204953e-173,1.08025461402893,1,0.978,9.24190490520901e-169,"Fib_CD34-","Pdia6"
1.85087281911538e-174,1.07820050304191,0.75,0.019,3.47593915429868e-170,"Fib_CD34-","Defb41"
5.25346145984656e-117,1.07667436604563,0.973,0.742,9.86600062159184e-113,"Fib_CD34-","Ugp2"
3.10142819606454e-27,1.06556973918854,0.995,0.97,5.8244821522092e-23,"Fib_CD34-","Timp1"
5.70825099904643e-156,1.03992202822818,1,0.977,1.07200953762092e-151,"Fib_CD34-","S100a11"
1.48872640064345e-129,1.01773012465034,0.852,0.243,2.79582818040841e-125,"Fib_CD34-","Errfi1"
2.57913560505902e-117,1.01715838131366,0.994,0.912,4.84361666630083e-113,"Fib_CD34-","Mrps6"
7.66293789866772e-95,1.01704950740277,0.997,0.992,1.4390997373698e-90,"Fib_CD34-","Ly6a"
3.17014389041301e-182,1.00960758974276,0.999,0.984,5.95353022619563e-178,"Fib_CD34-","Rhoc"
5.1039237479874e-127,1.00442942541169,0.995,0.92,9.58516879872033e-123,"Fib_CD34-","Calr"
5.37192262742629e-158,0.998566593332657,0.944,0.38,1.00884706943066e-153,"Fib_CD34-","Parva"
1.24682990590981e-128,0.967233015391468,0.965,0.667,2.34154656329862e-124,"Fib_CD34-","Btg3"
4.00408120329188e-146,0.966764041879971,0.82,0.163,7.51966449978214e-142,"Fib_CD34-","Ppp1r14a"
4.93355413467554e-202,0.966219757130897,0.82,0.014,9.26521466492067e-198,"Fib_CD34-","AI662270"
2.2614403857646e-127,0.959067976734353,0.968,0.586,4.24698504446592e-123,"Fib_CD34-","Ecm1"
1.07823956370598e-87,0.947203594261992,0.679,0.16,2.02493390063983e-83,"Fib_CD34-","Tnfrsf12a"
1.58915031181562e-170,0.94652330011222,0.999,0.997,2.98442428558973e-166,"Fib_CD34-","Timp2"
3.41006274468174e-152,0.930556301743558,0.997,0.932,6.4040978345123e-148,"Fib_CD34-","Ostc"
6.48731664508062e-128,0.926974320181452,0.999,0.966,1.21831806594614e-123,"Fib_CD34-","Anxa2"
3.77593548398553e-146,0.917668006974601,0.992,0.788,7.09120683892483e-142,"Fib_CD34-","Glrx5"
2.00993349480133e-143,0.915250791413798,0.983,0.758,3.77465510323689e-139,"Fib_CD34-","Taf10"
2.42860387422519e-126,0.897989589615915,0.938,0.423,4.56091807579491e-122,"Fib_CD34-","Cda"
4.57737203052977e-99,0.896999203306584,0.972,0.679,8.59630467333491e-95,"Fib_CD34-","Nsg1"
1.13553975064944e-135,0.892107140189862,0.997,0.996,2.13254365171965e-131,"Fib_CD34-","Selenom"
1.9416003626487e-116,0.890493550661996,0.995,0.92,3.64632548105425e-112,"Fib_CD34-","Eva1b"
8.56876576060224e-132,0.888932717283681,0.992,0.86,1.6092142098411e-127,"Fib_CD34-","Scp2"
1.01008700114681e-107,0.869671502071083,0.958,0.591,1.89694338815371e-103,"Fib_CD34-","Sdc1"
2.22292899612663e-118,0.862110150488203,0.983,0.81,4.17466065472581e-114,"Fib_CD34-","S100a1"
3.23275101913592e-104,0.859551122293915,0.997,0.871,6.07110641393726e-100,"Fib_CD34-","Manf"
7.4775373762925e-71,0.857337084947411,0.999,0.999,1.40428151926773e-66,"Fib_CD34-","Col3a1"
2.13159757836529e-131,0.856141743403724,1,1,4.00314025217001e-127,"Fib_CD34-","S100a6"
1.73389674368569e-59,0.856060608209212,0.967,0.876,3.25625808464172e-55,"Fib_CD34-","Id3"
1.5392616592185e-143,0.855488563434766,0.997,0.855,2.89073339601235e-139,"Fib_CD34-","Ube2m"
3.45136549585138e-127,0.85499780488087,0.967,0.545,6.48166440120889e-123,"Fib_CD34-","Taldo1"
1.85665216524293e-128,0.848644773518133,0.999,0.971,3.48679276632623e-124,"Fib_CD34-","Dap"
9.05926869358101e-117,0.848522115520508,0.986,0.874,1.70133066065451e-112,"Fib_CD34-","Sptssa"
2.2078717357951e-127,0.847360806652549,0.997,0.966,4.1463831198232e-123,"Fib_CD34-","Gpx8"
1.31876777356336e-152,0.84384507046062,0.999,0.958,2.47664587875199e-148,"Fib_CD34-","Mrpl20"
6.55058751397429e-127,0.8413306955948,0.985,0.721,1.23020033512437e-122,"Fib_CD34-","Dnajb11"
