p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,1.4247628102085526,0.996,0.949,0,monoFib,Ifi27l2a
0,1.3767193748686242,0.998,0.972,0,monoFib,Cyb5a
0,1.3076110077729566,0.625,0.201,0,monoFib,Crabp1
0,1.210243373598445,0.959,0.624,0,monoFib,Apod
0,0.8897117379177422,0.995,0.975,0,monoFib,Lamp1
0,0.8550175022992539,1,0.996,0,monoFib,Bri3
0,0.8255630911756526,0.999,0.998,0,monoFib,Cst3
0,0.7835401363111387,0.998,0.992,0,monoFib,Laptm4a
0,0.6297895544633785,0.705,0.248,0,monoFib,Trnp1
0,-0.8248862166894319,0.371,0.794,0,monoFib,Pfkl
0,-1.0075595401263953,0.026,0.67,0,monoFib,Lgals4
0,-1.2927435490892982,0.984,0.996,0,monoFib,Ldha
0,-1.34716426928296,0.932,0.984,0,monoFib,Aldoa
0,-1.4352123981056972,0,0.619,0,monoFib,Krt18
0,-1.441241646150143,0.981,0.998,0,monoFib,Pkm
0,-1.5235963041808385,0.937,0.982,0,monoFib,Pgam1
0,-1.532983701166978,0.874,0.98,0,monoFib,Gpi1
0,-1.6475269691369865,0.913,0.984,0,monoFib,Tpi1
0,-1.6584386599042844,0.262,0.758,0,monoFib,Fxyd5
0,-1.678375471692743,0.784,0.924,0,monoFib,Eno1
0,-1.9298869921614448,0.98,0.993,0,monoFib,Timp1
0,-1.9364665996844472,0.985,0.998,0,monoFib,Mif
0,-1.976175864778432,0.999,0.998,0,monoFib,Gapdh
0,-2.04525216044992,0.512,0.857,0,monoFib,Ier2
0,-2.317827100583022,0.877,0.979,0,monoFib,Pgk1
0,-2.509822396834112,0.881,0.97,0,monoFib,Fam162a
0,-2.5157539090021954,0.472,0.894,0,monoFib,Lcn2
5.27635796318914e-308,-1.3419354120986833,0.89,0.975,1.4226643976146878e-303,monoFib,Junb
4.6058398441506e-307,-2.2647311922151037,0.978,0.986,1.2418725971783262e-302,monoFib,CT010467.1
5.277848248241618e-303,-1.2894080292591095,0.21,0.737,1.4230662231733874e-298,monoFib,Egr1
1.4320703834821691e-296,0.6974097119823324,0.858,0.53,3.8612913749829727e-292,monoFib,Podxl2
5.50889792563437e-295,0.7912172124487542,0.968,0.733,1.485364147688795e-290,monoFib,Selenop
2.7931871836530542e-292,0.580839690358808,0.999,0.999,7.531270603283731e-288,monoFib,H3f3a
5.329963585707642e-291,0.8102532603925986,0.858,0.545,1.4371180816143515e-286,monoFib,Cdkn2c
6.995742574603073e-291,-1.3381151362545805,0.95,0.976,1.8862620703902267e-286,monoFib,Uba52
1.6318655274076581e-288,0.6743991401616269,1,0.973,4.3999990215492683e-284,monoFib,Rbm3
1.1410726426299212e-286,0.675358900084488,1,0.999,3.0766741663230566e-282,monoFib,Cdkn2a
9.060529551432407e-286,-0.9787635137137767,0.958,0.984,2.44299058295272e-281,monoFib,Gm10076
2.86953990415717e-281,0.9390588727885238,0.947,0.729,7.737140443578977e-277,monoFib,Gem
2.872341507265156e-278,0.7955894944320787,0.988,0.941,7.74469440603904e-274,monoFib,Ppp1r2
8.689420378343063e-278,-0.9948037768595726,0.873,0.951,2.34292841661264e-273,monoFib,P4ha1
1.2911572221635172e-276,0.7370596884727032,0.999,0.994,3.4813472181194914e-272,monoFib,Pcolce
5.491075093792953e-274,0.7014762805824379,0.983,0.885,1.480558577539394e-269,monoFib,Thra
6.252712001177146e-273,0.6379809388674409,1,0.998,1.6859187368773939e-268,monoFib,mt-Nd2
8.505479240637031e-268,0.788762588115616,0.981,0.85,2.2933323676529627e-263,monoFib,Matn2
2.1063790967547884e-267,-0.8863443043594509,0,0.518,5.679429958579936e-263,monoFib,Krt8
3.5904355121025365e-265,0.6170385031277172,0.978,0.907,9.680891271282069e-261,monoFib,C1d
6.314148472679345e-263,-1.1376634680684452,0.707,0.919,1.7024838526885318e-258,monoFib,Gadd45g
8.662219608370433e-258,-0.8032939780282724,0.001,0.508,2.3355942730049198e-253,monoFib,Krt19
