p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,0.90694577045603475,0.494,0.01,0,cocultWTMac,Apoa1
0,0.7583651645132363,0.409,0.023,0,cocultWTMac,Gsta1
0,0.6284657663777135,0.339,0.009,0,cocultWTMac,Fabp2
0,0.6037297673912579,0.355,0.018,0,cocultWTMac,Muc3
0,0.5618110181411065,0.324,0.021,0,cocultWTMac,Prap1
0,0.37684369371114257,0.214,0.008,0,cocultWTMac,Rbp2
3.6722722519995645e-272,0.45236748553706946,0.271,0.021,9.369435423751689e-268,cocultWTMac,Lypd8
1.6275510347544488e-253,1.1152112179762517,0.802,0.259,4.152533710072501e-249,cocultWTMac,Krt8
2.9707454958831834e-248,0.5308210558926326,0.283,0.026,7.579560058196354e-244,cocultWTMac,Zg16
4.7594623805605334e-241,0.30826335859984616,0.163,0.006,1.2143292317762145e-236,cocultWTMac,Cyp4f14
3.7255049365690205e-239,0.40218534056398714,0.214,0.014,9.505253295162198e-235,cocultWTMac,Tm4sf4
6.8361656720108635e-233,0.2775767108097145,0.147,0.005,1.7441793095568516e-228,cocultWTMac,Clca4a
7.356778117768271e-216,0.3124987704529775,0.164,0.008,1.8770083689673966e-211,cocultWTMac,Prl2c3
2.5505910723322056e-214,0.4692472540101893,0.304,0.036,6.50757806194839e-210,cocultWTMac,Tff3
2.0333811719932432e-189,0.28268464389814524,0.168,0.011,5.1879687222235606e-185,cocultWTMac,Apob
3.9242602887600796e-149,0.8786732567911408,0.933,0.519,1.0012357700742467e-144,cocultWTMac,Crip1
2.9801075962006605e-148,0.43315333824796587,0.318,0.058,7.603446520946366e-144,cocultWTMac,Serpinb1a
1.7945343859795592e-143,0.6607134806562078,0.538,0.166,4.578575032388248e-139,cocultWTMac,Krt19
3.3630591516827417e-128,0.4062724605481132,0.263,0.046,8.580509119603347e-124,cocultWTMac,Msln
8.762234121039597e-101,0.3050685587775907,0.206,0.036,2.2355964136420427e-96,cocultWTMac,Gsta4
1.3166860651109645e-98,0.50185208611102206,0.386,0.117,3.359392826524115e-94,cocultWTMac,Krt7
9.940693449839911e-98,-1.3475476469018703,1,1,2.536268526792155e-93,cocultWTMac,CT010467.1
3.1171966485177686e-87,0.7199216196597256,0.921,0.705,7.953215529028235e-83,cocultWTMac,Lgals3bp
5.29223830519116e-86,0.36221351458985607,0.283,0.073,1.3502616811864726e-81,cocultWTMac,Phgr1
5.984152076248661e-81,0.6145601840463097,1,0.994,1.5267965607340836e-76,cocultWTMac,Ctsd
1.1807843224089098e-69,0.523171915718199,0.517,0.231,3.0126531201940927e-65,cocultWTMac,Lgals4
2.1375844455195482e-69,0.5950499324783576,0.957,0.793,5.453832954298575e-65,cocultWTMac,Lipa
1.7686526016585923e-66,0.3863483530414853,0.284,0.088,4.5125402478717326e-62,cocultWTMac,2200002D01Rik
3.4780534545696178e-62,0.37364525831498163,1,0.999,8.873905583988923e-58,cocultWTMac,Tmsb4x
3.6846148437054735e-62,-0.7613181069911552,0.949,0.968,9.400926312230145e-58,cocultWTMac,Fxyd5
4.627265332802343e-61,-0.660838544349331,0.901,0.944,1.1806004770111899e-56,cocultWTMac,Gm10076
9.833885814571208e-61,0.4892446343083625,0.992,0.978,2.509017626729698e-56,cocultWTMac,Cstb
3.6689014223113515e-59,0.3518232176787164,0.256,0.079,9.360835088885182e-55,cocultWTMac,Bmp2
1.1660749064002243e-56,0.3082067039110952,0.194,0.051,2.9751235161895325e-52,cocultWTMac,Tspan8
2.5286242203120217e-53,0.58031924699567,0.948,0.886,6.451531835704092e-49,cocultWTMac,Lst1
7.812187850457795e-48,0.4217255490796936,0.992,0.939,1.993201608165802e-43,cocultWTMac,Mpeg1
8.085634695477542e-47,-0.7492159379864063,0.85,0.917,2.06296883620414e-42,cocultWTMac,Pgk1
2.065872004772807e-46,0.41669883769468674,0.943,0.875,5.2708658329773394e-42,cocultWTMac,Txn1
5.460016493577085e-46,0.4731422586749059,0.784,0.552,1.3930686081712576e-41,cocultWTMac,Rnf213
1.7981640713039167e-45,0.47282346684240584,0.822,0.575,4.587835811524813e-41,cocultWTMac,Oasl2
2.734619191002358e-45,0.39389339263415213,0.995,0.968,6.977107403923417e-41,cocultWTMac,Creg1
1.939223144463345e-44,0.3655184839022109,0.417,0.199,4.947733930783778e-40,cocultWTMac,Blnk
2.14743536791223e-43,0.30160461835100527,0.997,0.991,5.4789665976912637e-39,cocultWTMac,Cyba
7.112366705431571e-43,0.4044622969061744,0.988,0.953,1.814649241223811e-38,cocultWTMac,Bst2
4.656301886907546e-42,0.4483559264265333,0.822,0.627,1.1880088634255913e-37,cocultWTMac,Lgals9
3.877011115508315e-41,0.3442373935217118,0.991,0.971,9.891806160107915e-37,cocultWTMac,Ctsz
4.0087919862288747e-41,0.4376634388459637,0.911,0.732,1.022803187366435e-36,cocultWTMac,Slfn5
9.545978422331705e-41,0.43162933714951024,0.522,0.292,2.4355609346737114e-36,cocultWTMac,Tmcc3
9.961025735403947e-41,0.43308778298710715,0.716,0.489,2.541456106130963e-36,cocultWTMac,Ikbke
1.2729452456026937e-40,0.4252889996655431,0.772,0.551,3.247792499630713e-36,cocultWTMac,Anxa3
