AUC,avg_diff,power,avg_logFC,pct.1,pct.2,cluster,gene
0.976,2.089229289,0.952,2.089229289,0.992,0.581,Endothelial,IFI27
0.974,2.396269174,0.948,2.396269174,0.963,0.181,Endothelial,RAMP2
0.974,1.403504399,0.948,1.403504399,1,0.83,Endothelial,HLA-E
0.971,2.123961316,0.942,2.123961316,0.946,0.059,Endothelial,PECAM1
0.968,2.47174011,0.936,2.47174011,0.988,0.378,Endothelial,CD74
0.967,2.314876864,0.934,2.314876864,0.95,0.048,Endothelial,HLA-DRB1
0.966,3.365083453,0.932,3.365083453,0.938,0.065,Endothelial,PLVAP
0.964,1.841123371,0.928,1.841123371,0.95,0.139,Endothelial,NPDC1
0.963,2.029949307,0.926,2.029949307,0.938,0.034,Endothelial,RNASE1
0.962,2.209564191,0.924,2.209564191,0.959,0.139,Endothelial,SRGN
0.962,1.934063894,0.924,1.934063894,0.934,0.046,Endothelial,EGFL7
0.961,1.726631572,0.922,1.726631572,0.955,0.094,Endothelial,BCAM
0.961,1.590784411,0.922,1.590784411,0.992,0.63,Endothelial,GNG11
0.952,1.875558383,0.904,1.875558383,0.959,0.379,Endothelial,IGFBP4
0.944,2.306683566,0.888,2.306683566,0.893,0.02,Endothelial,RAMP3
0.944,1.102860897,0.888,1.102860897,1,0.964,Endothelial,ITM2B
0.943,1.833647287,0.886,1.833647287,0.938,0.192,Endothelial,HLA-DPA1
0.943,1.818522137,0.886,1.818522137,0.913,0.135,Endothelial,CLEC14A
0.941,1.81226334,0.882,1.81226334,0.884,0.007,Endothelial,GIMAP7
0.94,1.046818377,0.88,1.046818377,0.996,0.981,Endothelial,HLA-B
0.939,1.31713565,0.878,1.31713565,0.983,0.661,Endothelial,FKBP1A
0.934,2.234697366,0.868,2.234697366,0.897,0.07,Endothelial,HLA-DRA
0.932,2.671006328,0.864,2.671006328,0.901,0.202,Endothelial,CD320
0.93,1.654534138,0.86,1.654534138,0.864,0.01,Endothelial,GIMAP4
0.927,1.572924691,0.854,1.572924691,0.86,0.012,Endothelial,ECSCR.1
0.926,1.680202044,0.852,1.680202044,0.868,0.051,Endothelial,JAM2
0.924,1.66367518,0.848,1.66367518,0.971,0.377,Endothelial,CAV1
0.923,2.907811297,0.846,2.907811297,0.86,0.055,Endothelial,CLDN5
0.921,1.467260225,0.842,1.467260225,0.946,0.333,Endothelial,CRIP2
0.921,1.328605497,0.842,1.328605497,0.934,0.444,Endothelial,CCDC85B
0.92,1.606256812,0.84,1.606256812,0.843,0.007,Endothelial,PCAT19
0.919,1.591618236,0.838,1.591618236,0.855,0.03,Endothelial,ESAM
0.081,-2.18724182,0.838,-2.18724182,0.355,0.909,Endothelial,TMEM176B
0.918,1.555633181,0.836,1.555633181,0.983,0.632,Endothelial,TM4SF1
0.917,1.619411608,0.834,1.619411608,0.864,0.062,Endothelial,EMCN
0.916,1.659503872,0.832,1.659503872,0.839,0.015,Endothelial,VWF
0.915,1.369851369,0.83,1.369851369,0.868,0.074,Endothelial,MGST2
0.915,1.306930118,0.83,1.306930118,0.975,0.581,Endothelial,CD59
0.912,1.566219543,0.824,1.566219543,0.971,0.65,Endothelial,SPARCL1
0.909,1.681871626,0.818,1.681871626,0.843,0.054,Endothelial,SDPR
0.092,-1.859288859,0.816,-1.859288859,0.335,0.894,Endothelial,RARRES2
0.092,-2.16302762,0.816,-2.16302762,0.19,0.86,Endothelial,COL1A2
0.906,0.660971886,0.812,0.660971886,1,0.999,Endothelial,B2M
0.905,1.061788743,0.81,1.061788743,0.983,0.784,Endothelial,MYL12A
0.903,1.517149943,0.806,1.517149943,0.851,0.123,Endothelial,ICAM2
0.901,1.557695914,0.802,1.557695914,0.901,0.341,Endothelial,ENG
0.1,-2.154679393,0.8,-2.154679393,0.223,0.851,Endothelial,COL1A1
0.897,0.809178156,0.794,0.809178156,1,0.97,Endothelial,HLA-A
0.895,1.360730971,0.79,1.360730971,0.983,0.746,Endothelial,ID1
0.105,-1.36139475,0.79,-1.36139475,0.86,0.993,Endothelial,LGALS1
0.894,1.506843066,0.788,1.506843066,0.802,0.028,Endothelial,ADGRL4
0.89,1.438770895,0.78,1.438770895,0.785,0.01,Endothelial,SLCO2A1
0.11,-2.274495699,0.78,-2.274495699,0.314,0.859,Endothelial,COL3A1
0.889,1.47049003,0.778,1.47049003,0.793,0.02,Endothelial,TSPAN7
0.888,1.193255775,0.776,1.193255775,0.814,0.036,Endothelial,TINAGL1
0.887,1.347218936,0.774,1.347218936,0.785,0.013,Endothelial,IGFBP2
0.885,1.461276474,0.77,1.461276474,0.843,0.129,Endothelial,ITM2A
0.884,1.526707187,0.768,1.526707187,0.785,0.02,Endothelial,HLA-DRB5
0.884,1.49789673,0.768,1.49789673,0.868,0.293,Endothelial,TGFBR2
0.883,1.357591547,0.766,1.357591547,0.773,0.01,Endothelial,CYYR1
0.883,1.213465488,0.766,1.213465488,0.921,0.481,Endothelial,SDCBP
0.118,-1.923241315,0.764,-1.923241315,0.269,0.839,Endothelial,COL6A2
0.118,-2.032387673,0.764,-2.032387673,0.211,0.819,Endothelial,C1S
0.881,2.211690429,0.762,2.211690429,0.942,0.54,Endothelial,FABP5
0.881,1.276834353,0.762,1.276834353,0.909,0.41,Endothelial,STOM
0.88,1.615977462,0.76,1.615977462,0.764,0.009,Endothelial,FLT1
0.12,-1.202834381,0.76,-1.202834381,0.566,0.924,Endothelial,SELM
0.878,1.408448815,0.756,1.408448815,0.802,0.081,Endothelial,CTSH
0.878,0.840516499,0.756,0.840516499,1,0.99,Endothelial,TMSB10
0.878,0.740749529,0.756,0.740749529,0.992,0.975,Endothelial,HLA-C
0.877,1.2359048,0.754,1.2359048,0.802,0.084,Endothelial,EHD4
0.123,-1.712080716,0.754,-1.712080716,0.269,0.828,Endothelial,TMEM176A
0.876,1.252413428,0.752,1.252413428,0.76,0.011,Endothelial,MMRN2
0.875,1.547354814,0.75,1.547354814,0.76,0.019,Endothelial,TMEM88
0.873,1.190794771,0.746,1.190794771,0.764,0.029,Endothelial,MALL
0.872,1.448240711,0.744,1.448240711,0.921,0.289,Endothelial,MGP
0.872,0.916725991,0.744,0.916725991,1,0.994,Endothelial,TMSB4X
0.871,1.251109607,0.742,1.251109607,0.773,0.05,Endothelial,HLA-DMA
0.87,1.265538306,0.74,1.265538306,0.81,0.136,Endothelial,HYAL2
0.868,1.645705836,0.736,1.645705836,0.74,0.006,Endothelial,TM4SF18
0.866,1.214446549,0.732,1.214446549,0.744,0.016,Endothelial,CD34
0.136,-2.012177294,0.728,-2.012177294,0.174,0.783,Endothelial,MFAP4
0.138,-2.735195071,0.724,-2.735195071,0.632,0.901,Endothelial,CXCL14
0.86,1.175749732,0.72,1.175749732,0.769,0.094,Endothelial,ARHGDIB
0.14,-1.609722374,0.72,-1.609722374,0.174,0.771,Endothelial,LGALS3BP
0.859,1.133870318,0.718,1.133870318,0.727,0.011,Endothelial,IL3RA
0.858,1.078101229,0.716,1.078101229,0.88,0.425,Endothelial,CDC37
0.142,-1.707731456,0.716,-1.707731456,0.273,0.798,Endothelial,COL6A1
0.856,1.036185815,0.712,1.036185815,0.847,0.278,Endothelial,TPM3
0.854,1.199453079,0.708,1.199453079,0.711,0.005,Endothelial,SOX18
0.854,1.074449173,0.708,1.074449173,0.711,0.003,Endothelial,CDH5
0.853,1.347829392,0.706,1.347829392,0.818,0.213,Endothelial,HLA-DPB1
0.853,1.122876653,0.706,1.122876653,0.744,0.044,Endothelial,ARHGAP29
0.853,1.085258959,0.706,1.085258959,0.711,0.006,Endothelial,CD93
0.852,1.19368233,0.704,1.19368233,0.711,0.01,Endothelial,NOSTRIN
0.852,0.839674502,0.704,0.839674502,0.992,0.931,Endothelial,SRP14
0.85,1.408101495,0.7,1.408101495,0.74,0.061,Endothelial,THBD
0.85,1.345742395,0.7,1.345742395,0.707,0.01,Endothelial,FAM167B
0.85,1.035682779,0.7,1.035682779,0.86,0.245,Endothelial,CAV2
0.848,1.117526055,0.696,1.117526055,0.702,0.007,Endothelial,GIMAP1
0.846,1.20285586,0.692,1.20285586,0.711,0.025,Endothelial,CALCRL
0.846,1.032701464,0.692,1.032701464,0.694,0.004,Endothelial,MYCT1
0.845,1.053568391,0.69,1.053568391,0.694,0.006,Endothelial,PTPRB
0.845,0.863153373,0.69,0.863153373,0.897,0.38,Endothelial,ARPC1B
0.155,-2.010107933,0.69,-2.010107933,0.471,0.858,Endothelial,S100A4
0.156,-1.282182692,0.688,-1.282182692,0.103,0.728,Endothelial,ITM2C
0.158,-1.694332545,0.684,-1.694332545,0.331,0.783,Endothelial,C1R
0.159,-2.558991984,0.682,-2.558991984,0.281,0.775,Endothelial,DCN
0.84,1.290278356,0.68,1.290278356,0.843,0.388,Endothelial,KLF2
0.84,0.987369688,0.68,0.987369688,0.711,0.029,Endothelial,SNCG
0.839,1.072731452,0.678,1.072731452,0.876,0.346,Endothelial,TNFSF10
0.161,-1.346881291,0.678,-1.346881291,0.149,0.744,Endothelial,LSP1
0.163,-1.363113906,0.674,-1.363113906,0.397,0.812,Endothelial,LTBP4
0.164,-1.99063404,0.672,-1.99063404,0.165,0.728,Endothelial,FBLN1
0.834,1.611215061,0.668,1.611215061,0.826,0.293,Endothelial,PRSS23
0.166,-1.783817106,0.668,-1.783817106,0.132,0.716,Endothelial,PTN
0.832,1.859429638,0.664,1.859429638,0.682,0.022,Endothelial,RBP7
0.168,-2.906204956,0.664,-2.906204956,0.545,0.849,Endothelial,CFD
0.831,1.107729711,0.662,1.107729711,0.669,0.008,Endothelial,HHEX
0.829,1.018679656,0.658,1.018679656,0.707,0.063,Endothelial,ADAM15
0.171,-1.519603831,0.658,-1.519603831,0.244,0.758,Endothelial,CYGB
0.828,1.089001549,0.656,1.089001549,0.789,0.21,Endothelial,NFIB
0.828,0.968895428,0.656,0.968895428,0.669,0.016,Endothelial,ABI3
0.825,0.921598335,0.65,0.921598335,0.843,0.344,Endothelial,RAB11A
0.824,0.96282023,0.648,0.96282023,0.917,0.566,Endothelial,PPA1
0.823,0.923657794,0.646,0.923657794,0.88,0.448,Endothelial,NDUFA12
0.819,1.07106329,0.638,1.07106329,0.781,0.224,Endothelial,EPAS1
0.818,1.419102884,0.636,1.419102884,0.711,0.122,Endothelial,SGK1
0.184,-2.597839884,0.632,-2.597839884,0.293,0.734,Endothelial,LUM
0.184,-2.649100842,0.632,-2.649100842,0.463,0.796,Endothelial,APOE
0.815,1.098584881,0.63,1.098584881,0.64,0.014,Endothelial,APLNR
0.815,0.901953322,0.63,0.901953322,0.826,0.287,Endothelial,S100A16
0.814,0.925636982,0.628,0.925636982,0.74,0.128,Endothelial,LDB2
0.814,0.921645113,0.628,0.921645113,0.657,0.035,Endothelial,ITGA6
0.813,1.059420839,0.626,1.059420839,0.632,0.007,Endothelial,PODXL
0.813,0.902273985,0.626,0.902273985,0.756,0.177,Endothelial,MEF2C
0.812,0.890608864,0.624,0.890608864,0.628,0.005,Endothelial,GIMAP6
0.812,0.848298662,0.624,0.848298662,0.913,0.615,Endothelial,APP
0.189,-0.722482082,0.622,-0.722482082,1,0.997,Endothelial,FTH1
0.809,1.116477206,0.618,1.116477206,0.628,0.012,Endothelial,PALMD
0.809,1.101903095,0.618,1.101903095,0.624,0.006,Endothelial,MPZL2
0.191,-1.580182462,0.618,-1.580182462,0.161,0.683,Endothelial,TCF21
0.807,1.362014643,0.614,1.362014643,0.686,0.096,Endothelial,ENPP2
0.193,-1.338912789,0.614,-1.338912789,0.169,0.692,Endothelial,PCOLCE
0.194,-1.834618175,0.612,-1.834618175,0.14,0.673,Endothelial,SOD3
0.195,-1.327711705,0.61,-1.327711705,0.091,0.648,Endothelial,EMILIN1
0.804,0.510503075,0.608,0.510503075,1,0.994,Endothelial,PTMA
0.804,0.498720602,0.608,0.498720602,0.996,0.995,Endothelial,RPS28
0.803,0.761423069,0.606,0.761423069,0.93,0.716,Endothelial,SEPW1
0.801,1.191802512,0.602,1.191802512,0.674,0.115,Endothelial,FAM213A
0.801,1.021954434,0.602,1.021954434,0.649,0.06,Endothelial,NEDD9
0.798,0.777408994,0.596,0.777408994,0.653,0.041,Endothelial,NRN1
0.202,-1.455466201,0.596,-1.455466201,0.252,0.717,Endothelial,TPM2
0.202,-1.551060898,0.596,-1.551060898,0.298,0.728,Endothelial,MEG3
0.797,0.819603648,0.594,0.819603648,0.599,0.005,Endothelial,S1PR1
0.795,0.926653076,0.59,0.926653076,0.682,0.114,Endothelial,SWAP70
0.795,0.831060816,0.59,0.831060816,0.686,0.119,Endothelial,SH3BP5
0.794,0.831382241,0.588,0.831382241,0.595,0.008,Endothelial,LMO2
0.206,-1.424877802,0.588,-1.424877802,0.186,0.681,Endothelial,MMP2
0.792,1.214305479,0.584,1.214305479,0.587,0.003,Endothelial,SOX17
0.792,0.723311353,0.584,0.723311353,0.897,0.645,Endothelial,POMP
0.791,0.870742365,0.582,0.870742365,0.587,0.004,Endothelial,GATA2
0.791,0.746607058,0.582,0.746607058,0.905,0.536,Endothelial,PTRF
0.79,1.672414876,0.58,1.672414876,0.826,0.452,Endothelial,SLC9A3R2
0.211,-1.297163011,0.578,-1.297163011,0.417,0.749,Endothelial,GPX3
0.788,0.809049268,0.576,0.809049268,0.579,0.002,Endothelial,CXorf36
0.212,-1.402519679,0.576,-1.402519679,0.128,0.634,Endothelial,SERPINF1
0.787,0.800926539,0.574,0.800926539,0.591,0.016,Endothelial,CFI
0.786,0.816747248,0.572,0.816747248,0.574,0.003,Endothelial,ROBO4
0.786,0.653639727,0.572,0.653639727,0.988,0.824,Endothelial,IFITM2
0.214,-1.153962721,0.572,-1.153962721,0.169,0.66,Endothelial,NUPR1
0.785,0.886545585,0.57,0.886545585,0.657,0.123,Endothelial,SEC14L1
0.785,0.702551221,0.57,0.702551221,0.665,0.105,Endothelial,ELK3
0.784,0.768164612,0.568,0.768164612,0.926,0.705,Endothelial,CALM1
0.784,0.702836262,0.568,0.702836262,0.57,0.003,Endothelial,ERG
0.216,-1.209557533,0.568,-1.209557533,0.248,0.682,Endothelial,RBP1
0.783,0.816744431,0.566,0.816744431,0.57,0.004,Endothelial,TIE1
0.783,0.756127157,0.566,0.756127157,0.636,0.069,Endothelial,SYNE2
0.782,0.861779801,0.564,0.861779801,0.736,0.207,Endothelial,HSPG2
0.781,0.812972221,0.562,0.812972221,0.612,0.061,Endothelial,CYSLTR1
0.781,0.796965159,0.562,0.796965159,0.64,0.087,Endothelial,KIAA0355
0.781,0.747007606,0.562,0.747007606,0.657,0.097,Endothelial,LPAR6
0.219,-1.029587934,0.562,-1.029587934,0.702,0.851,Endothelial,CALD1
0.219,-1.492054439,0.562,-1.492054439,0.198,0.664,Endothelial,BMP4
