Serial,p_val,avg_logFC,pct.1,pct.2,p_val_adj,gene
1,3.63E-06,0.752087223,0.9,0.96,0.059337403,S100a11
2,2.45E-05,0.714112125,1,1,0.399845865,Tmsb4x
3,0.008058939,0.655180894,0.825,0.905,1,Sprr2a3
4,6.17E-05,0.637004819,1,0.989,1,Tmsb10
5,0.00037892,0.556559861,0.775,0.875,1,Gm9844
6,8.77E-07,0.547840471,0.875,0.912,0.014324626,Rps26-ps1
7,1.45E-11,0.545477787,1,0.996,2.37E-07,Rps26
8,3.83E-13,0.496407998,1,1,6.26E-09,Rps20
9,6.42E-11,0.470158517,1,0.993,1.05E-06,Rpl36a
10,0.00743332,0.440917008,0.85,0.93,1,S100a6
11,3.10E-06,0.438204755,0.975,0.974,0.050684799,Usmg5
12,0.000124508,0.43561701,0.875,0.901,1,Eif3e
13,2.03E-07,0.432259681,0.975,0.897,0.003321412,Gm2000
14,3.29E-06,0.427895689,1,1,0.053777825,Rpl12
15,8.77E-07,0.427613998,1,0.96,0.014322944,Gm10073
16,1.32E-05,0.421512472,0.975,0.971,0.216203224,Rps12-ps3
17,0.021186413,0.41945656,0.85,0.919,1,Sepw1
18,2.18E-05,0.418043667,0.95,0.956,0.35557882,Gabarap
19,1.13E-08,0.417786438,1,0.993,0.000183982,Rpl10
20,6.22E-05,0.410943673,1,0.978,1,Gm8730
21,1.55E-09,0.3924155,1,1,2.54E-05,Rplp1
22,3.66E-07,0.389849424,1,0.996,0.005983038,Rps13
23,8.96E-05,0.388992564,0.925,0.927,1,Rpl10-ps3
24,5.58E-07,0.3877694,1,0.993,0.009112755,Rpl23a
25,8.37E-07,0.385422147,1,0.993,0.013661664,Rps15a
26,4.39E-06,0.385120806,0.95,0.967,0.071737329,Gm9843
27,4.72E-06,0.384182903,1,1,0.077100095,Rpl17
28,0.041345656,0.381272108,1,0.996,1,Defa-rs1
29,3.88E-05,0.373890374,1,0.985,0.632991228,Rpl29
30,5.64E-06,0.370251184,1,1,0.092130434,Rpl26
31,0.000200394,0.367031907,0.925,0.941,1,Ndufb2
32,0.000893157,0.361925285,0.925,0.897,1,Rpl27-ps3
33,5.08E-08,0.360118067,1,1,0.000829201,Rpl32
34,5.30E-08,0.357931203,1,0.996,0.000864802,Rpl31
35,0.002925787,0.356529808,0.9,0.993,1,S100a10
36,0.014274066,0.355467887,0.85,0.934,1,Cox7a2l
37,4.52E-05,0.354897751,1,0.996,0.738009785,Txn1
38,0.004677549,0.35398879,0.85,0.927,1,Sh3bgrl3
39,1.50E-08,0.346210191,1,1,0.000244571,Rpl28
40,0.000677194,0.345433638,0.95,0.934,1,Rpl6l
41,5.19E-08,0.345373288,1,1,0.00084682,Rpl23
42,3.85E-07,0.341333795,1,1,0.00628507,Rps4x
43,0.031566449,0.340225385,0.825,0.879,1,Mrpl51
44,0.000289444,0.338807167,1,0.989,1,Rpl27
45,4.40E-06,0.33592716,1,0.996,0.071771472,Rpl6
46,1.30E-06,0.334290439,1,0.993,0.021241028,Rpl7
47,2.49E-05,0.333500293,1,1,0.406533708,Tpt1
48,1.26E-05,0.325935401,1,0.996,0.205437132,Rps12
49,1.13E-05,0.321597896,1,0.996,0.183744982,Rpl14
50,0.005357226,0.321580653,0.675,0.729,1,Gm6133
