Notch1_ALL,Notch1_Exclusive,,Lgr5_ALL,Lgr5_Exclusive,,Common
Abhd5,Abhd5,,Adora1,Adora1,,Cd44
Ablim1,Ablim1,,Akt1,Akt1,,Cfi
Acsl3,Acsl3,,Alox12,Alox12,,Dusp10
Actb,Actb,,Angpt2,Angpt2,,Edn1
Actn1,Actn1,,Arid2,Arid2,,Egr2
Adcy8,Adcy8,,Atg16l2,Atg16l2,,Epha2
Adrb2,Adrb2,,Bcl2,Bcl2,,Etv4
Agpat5,Agpat5,,Boc,Boc,,Fosl1
Agps,Agps,,Bok,Bok,,Pmaip1
Aim2,Aim2,,Brca2,Brca2,,Thbs1
Akap13,Akap13,,Casp12,Casp12,,Timp3
Akr1b8,Akr1b8,,Cbs,Cbs,,Trf
Aldoc,Aldoc,,Cd1d1,Cd1d1,,
Ap2b1,Ap2b1,,Cd44,Cd81,,
Ap3s1,Ap3s1,,Cd81,Cdca5,,
Areg,Areg,,Cdca5,Cdh3,,
Arpc2,Arpc2,,Cdh3,Cdk6,,
Asah1,Asah1,,Cdk6,Cdo1,,
Asap2,Asap2,,Cdo1,Ciita,,
Atf3,Atf3,,Cfi,Clca1,,
Atg9b,Atg9b,,Ciita,Clca2,,
Atp2a3,Atp2a3,,Clca1,Col9a3,,
Atp6v0a1,Atp6v0a1,,Clca2,Comp,,
Atp7a,Atp7a,,Col9a3,Cpa2,,
Bcl3,Bcl3,,Comp,Creb3l2,,
Birc5,Birc5,,Cpa2,Csf1,,
Blnk,Blnk,,Creb3l2,Dct,,
Blvrb,Blvrb,,Csf1,Ddb2,,
Bmp4,Bmp4,,Dct,Dnmt1,,
Brap,Brap,,Ddb2,Dtx4,,
C1galt1,C1galt1,,Dnmt1,Ehmt1,,
Camkk2,Camkk2,,Dtx4,Fhl2,,
Capn2,Capn2,,Dusp10,Fzd2,,
Car2,Car2,,Edn1,Fzd7,,
Ccng2,Ccng2,,Egr2,Gabbr1,,
Cd24a,Cd24a,,Ehmt1,Gabrg3,,
Cd44,Cd55,,Epha2,Gad2,,
Cd55,Cd9,,Etv4,H2-Aa,,
Cd9,Cdh1,,Fhl2,H2-Ab1,,
Cdh1,Cdkn1a,,Fosl1,H2-Eb1,,
Cdkn1a,Cers3,,Fzd2,Hist1h2ab,,
Cers3,Cgnl1,,Fzd7,Hist1h3a,,
Cfi,Chad,,Gabbr1,Hist1h4a,,
Cgnl1,Chmp2b,,Gabrg3,Hist1h4d,,
Chad,Ckap4,,Gad2,Hist1h4f,,
Chmp2b,Cldn2,,H2-Aa,Hist2h4,,
Ckap4,Cldn4,,H2-Ab1,Hist4h4,,
Cldn2,Clu,,H2-Eb1,Icam1,,
Cldn4,Cmas,,Hist1h2ab,Igf1r,,
Clu,Creb3l1,,Hist1h3a,Igf2,,
Cmas,Ctnnb1,,Hist1h4a,Itga9,,
Creb3l1,Ctnnd1,,Hist1h4d,Ivns1abp,,
Ctnnb1,Ctse,,Hist1h4f,Kcne3,,
Ctnnd1,Ctsh,,Hist2h4,Kcnj9,,
Ctse,Ctsl,,Hist4h4,Kcnq1,,
Ctsh,Cxcl1,,Icam1,Lamb2,,
Ctsl,Cxcl10,,Igf1r,Mcm6,,
Cxcl1,Cxcr4,,Igf2,Mecom,,
Cxcl10,Cybrd1,,Itga9,Msh2,,
Cxcr4,Cyfip1,,Ivns1abp,Myb,,
Cybrd1,Cyp51,,Kcne3,Myc,,
Cyfip1,Cyth1,,Kcnj9,Notch1,,
Cyp51,Ddit3,,Kcnq1,Notch2,,
Cyth1,Derl2,,Lamb2,Osmr,,
Ddit3,Diaph1,,Mcm6,Pdgfa,,
Derl2,Dnajc10,,Mecom,Pdpk1,,
Diaph1,Dpysl2,,Msh2,Pnliprp1,,
Dnajc10,Duox2,,Myb,Pold1,,
Dpysl2,Duoxa2,,Myc,Pold3,,
Duox2,Dusp4,,Notch1,Prickle1,,
Duoxa2,Dusp5,,Notch2,Prkd1,,
Dusp10,Dusp6,,Osmr,Pvr,,
Dusp4,Dusp8,,Pdgfa,Sesn3,,
Dusp5,Dusp9,,Pdpk1,Shmt1,,
Dusp6,Efnb2,,Pmaip1,Slc12a2,,
Dusp8,Egln3,,Pnliprp1,Slc16a2,,
Dusp9,Egr1,,Pold1,Slc27a2,,
Edn1,Egr3,,Pold3,Smo,,
Efnb2,Ehd4,,Prickle1,Sphk1,,
Egln3,Eif2ak3,,Prkd1,Stmn1,,
Egr1,Eif2s1,,Pvr,Thbs2,,
Egr2,Elk4,,Sesn3,Thpo,,
Egr3,Eno1,,Shmt1,Tlr9,,
Ehd4,Epha4,,Slc12a2,Trpv4,,
Eif2ak3,Ets1,,Slc16a2,Tubb5,,
