ident,gene,coefD,pvalD,padjD,coefC,pvalC,padjC,mastfc,alpha,ref_alpha,mu,ref_mu,mean,ref_mean,log2fc,spec_h,spec_d
Endothelial,PLVAP,6.41658046,0,0,1.883952657,3.87976E-21,3.40801E-19,5.305889624,0.919889503,0.028818061,5.704789873,5.101842147,5.58432236,-0.015036565,5.599358926,FALSE,FALSE
Endothelial,CLDN5,5.988082676,0,0,0.524106724,0.012750855,0.030238395,4.442027574,0.80801105,0.022841965,5.192200207,4.947592378,4.884647162,-0.504571077,5.389218239,FALSE,FALSE
Endothelial,SEMA3G,5.678198329,1.9314E-47,1.29932E-45,1.575564303,0.048374974,0.094295302,0.200460597,0.104972376,0.000531208,2.433955171,1.199323457,-0.817956443,-9.675604459,8.857648017,TRUE,TRUE
Endothelial,RBP7,5.453405307,6.4907E-169,3.8919E-166,0.427996115,0.176860145,0.282300724,1.338797806,0.473756906,0.005577689,3.595739054,2.772045439,2.517958327,-4.713959466,7.231917793,TRUE,TRUE
Endothelial,MMRN2,5.392735937,2.6643E-129,8.7485E-127,-0.341296669,0.229006883,0.349981595,0.790814274,0.357734807,0.007436919,2.540736475,1.976406559,1.057700197,-5.094527363,6.15222756,FALSE,FALSE
Endothelial,GPIHBP1,5.36076622,1.55892E-19,3.4901E-18,0.451967901,1,1,0.094743034,0.052486188,0.000132802,2.36793606,2.066730551,-1.88396733,-10.80402415,8.920056824,FALSE,TRUE
Endothelial,GJA4,5.269720625,2.9339E-34,1.25267E-32,0.592487544,1,1,0.148827953,0.165745856,0.002656042,2.570015742,2.418114754,-0.022935918,-6.138090322,6.115154404,FALSE,FALSE
Endothelial,TMEM88,5.1946,4.9933E-234,8.6078E-231,0.521060833,0.002104775,0.006368619,2.289742246,0.595303867,0.014873838,3.39405669,2.746816832,2.645755139,-3.32422012,5.969975259,FALSE,FALSE
Endothelial,FCN3,4.996922715,1.27887E-22,3.34665E-21,0.651128955,1,1,0.12112549,0.11878453,0.001593625,3.508743276,2.642204173,0.435164936,-6.650837573,7.086002509,TRUE,TRUE
Endothelial,SOX17,4.976537283,4.07205E-98,7.79967E-96,0.63322779,0.045831183,0.089870303,0.605407875,0.284530387,0.005577689,2.791420652,1.725257732,0.978076849,-5.760627988,6.738704837,TRUE,FALSE
Endothelial,RAMP2,4.96417585,1.1031E-283,5.0711E-280,1.607291917,5.96012E-36,1.02745E-33,3.667467598,0.883977901,0.03997344,4.550608627,3.293820301,4.372690858,-1.35098368,5.723674538,FALSE,FALSE
Endothelial,GNG11,4.944380115,2.3114E-270,7.9691E-267,1.613209227,5.47184E-66,2.21948E-63,4.383616677,0.933701657,0.099601594,4.828423804,3.440232668,4.729457364,0.112548872,4.616908491,FALSE,FALSE
Endothelial,COX4I2,4.863760437,1.32247E-41,7.15223E-40,-0.749079928,0.394511502,0.549955335,0.21327806,0.098066298,0.003585657,2.137387797,3.548865389,-1.212702014,-4.574579531,3.361877517,FALSE,FALSE
Endothelial,RP11-251M1.1,4.861616326,4.11102E-17,7.974E-16,-1.037082696,1,1,0.09234908,0.064917127,0.000664011,2.427585826,1.747962764,-1.517659739,-8.80662482,7.288965081,FALSE,FALSE
Endothelial,RAMP3,4.858805182,6.6202E-225,1.0144E-221,0.181915307,0.303626587,0.443665423,2.343744043,0.669889503,0.021912351,3.887435532,3.789592153,3.309430725,-1.722505953,5.031936678,FALSE,FALSE
Endothelial,EGFL7,4.797493771,8.2089E-237,1.8868E-233,0.790721826,2.81008E-08,3.44172E-07,2.497380847,0.732044199,0.027755644,3.582415451,2.808158597,3.132418245,-2.362894993,5.495313238,FALSE,FALSE
