CD81+PDGFRAlow,ACKR4+fibroblast,CD81-PDGFRAlow,Telocyte,small intestine arteriole,small intestine capillary,small intestine vein,small intestine lymphatic,colon capillary arterial,colon capillary,colon vein,colon lymphatic
na,na,na,na,na,na,na,na,na,na,na,na
PRSS23,IL6,OGN,TAGLN,SCGB3A1,CAR4,MADCAM1,CCL21A,CXCL12,CAR4,LRG1,CCL21A
CD81,CD81,SFRP1,TMEM158,TMEM176A,RGCC,LRG1,MMRN1,SCGB3A1,RGCC,ACKR1,LYVE1
GREM1,CHODL,CST3,EDNRB,TMEM176B,NRP1,CLDN5,LYVE1,ID1,PLPP1,VWF,MMRN1
CILP,ADM,ADAMDEC1,KCNJ8,NCOA7,COL4A1,SLCO2A1,MAF,IER2,APLNR,MADCAM1,FGL2
PCOLCE2,GFPT2,TMEM158,ALDH1A1,LY6A,KDR,BGN,FGL2,LY6A,RAMP3,BGN,LCN2
ACKR4,CILP,EDNRB,MYL9,PLCB1,THBS1,VWF,RELN,KLF2,COL4A1,SLCO2A1,FXYD6
COL14A1,PIEZO2,NBL1,THBD,CLCA3A1,FLT1,TMEM252,CYP4B1,PLCB1,SPARC,TMSB10,IGFBP5
DPT,PCOLCE2,KCNJ8,CALD1,PODXL,APOLD1,CALCRL,AQP1,MNDAL,NKX2-3,CYTL1,CLDN5
AEBP1,PRSS23,SMOC2,TSPAN13,SCARB1,NKX2-3,ARRB1,LCN2,IGFBP3,HSPG2,PRCP,THY1
RBP1,OLFML2B,IGFBP5,04-Sep,CLEC2D,COL15A1,SLCO3A1,FLT4,KITL,AW112010,IL6ST,FTH1
IGFBP6,SERPINE1,MFAP4,PDGFRA,COL13A1,EHD4,MT-ND4,PRELP,CLEC1A,MGLL,TMEM252,PRELP
STC2,NPY1R,ALDH1A1,BMP5,STOM,PLVAP,MT-ND2,NRP2,HLX,SPARCL1,AMIGO2,PARD6G
POSTN,EBF1,TSPAN13,HIGD1A,LIFR,AW112010,RASA4,ADGRG3,ALOX12,FMO2,SPINT2,TPPP3
EBF1,FIGF,COL15A1,TMEM119,SLC30A1,RAMP3,ICAM1,STAB1,SLC26A10,TRP53I11,FAM174B,CYP4B1
MFAP5,GDF6,COL6A5,EDNRA,CYP26B1,ESM1,IL6ST,FXYD6,IFI203,COL15A1,APOE,RELN
PI16,DHRS3,IGFBP3,BMP7,P2RY6,RAPGEF4,2200002D01RIK,IFI27L2A,CYR61,CAR8,CALCRL,CP
,AR,LTBP4,F2R,SLC16A1,PLPP1,FAM174B,PARD6G,WARS,LAMB1,PTGS1,CD63
,COL8A1,THBD,TCF4,FAM167B,VWA1,PTGS1,TMSB10,FAM13C,SGK1,CADM3,MAF
,IER2,NCAM1,ABCC9,PTP4A3,TSC22D1,PLAC8,TNXB,SLC27A3,ENPP6,ACTN1,TIMP2
,PI16,TMEM176A,NBL1,ENTPD1,8430408G22RIK,EHD3,NR2F2,IFI47,IVNS1ABP,RASA4,FLT4
