batch,replicate,condition,culture,format,cell-type,media,W,E,N,R,genotype,A,K,P,106Cd_RFP,110Cd_mCherry,111Cd_CD44,113In_CEACAM1_CD66a,115In_Pan-CK,116Cd_GFP,127I_IdU,140Ce_EQ_Beads,141Pr_pPDPK1_S241,142Nd_cCaspase_3_D175,143Nd_C-MYC_1,144Nd_PDPN,145Nd_pNDRG1_T346,146Nd_pMKK4_SEK1_S257,147Sm_pBTK_Y511_1,148Nd_pSRC_Y418,149Sm_p4EBP1_T37_T46,150Nd_pRB_S807_S811,151Eu_pPKCa_T497,152Sm_pAKT_T308,153Eu_pCREB_S133,154Sm_pSMAD1_5_9,155Gd_pAKT_S473_3,156Gd_pNF-kB_p65_S529,157Gd_pMKK3_MKK6_S189_207,158Gd_pP38_MAPK_T180_Y182,159Tb_pMAPKAPK2_T334,160Gd_pAMPKa_T172,161Dy_pBAD_S112,162Dy_LRIG1_1,163Dy_pP90RSK_T359_Hu,164Dy_pP120-Catenin_T310,165Ho_Beta-catenin_Active_1,166Er_pGSK-3b_S9,167Er_pERK_1_2_T202_Y204,168Er_pSMAD2_3,169Tm_EPHB2,170Er_pMEK1_2_S221,171Yb_SOX9_5,172Yb_cCaspase_8_D387,173Yb_Cyclin_B1_2,174Yb_Clusterin_1,175Lu_Survivin_2,176Yb_FABP2,191Ir_DNA_1,193Ir_DNA_2,194Pt_Cisplatin,209Bi_DiMeHH3_K4,89Y_pHH3_S28
B1,1,AK-Fib_Ctrl_Org_1,AK-Fib_Ctrl,co-culture,Org,Ctrl,0,0,0,0,AK,1,1,0,-0.12401243209344054,-0.13377437198691788,0.3976846868945806,-0.8314372220212333,-2.157322124388479,4.245019618385565,3.1525000042931866,-0.17069416892828315,-0.6974586647300886,-0.6743186702259992,0.03139934123608054,-0.08425857752472059,-0.09261689895567964,-0.13644584094540485,-0.805530203563238,-0.08668921946000914,0.5697106668506597,0.4930861593668281,0.8084349594977491,0.7480006581656853,0.19351579448187664,0.13009128839356662,-0.03555844998080839,-1.008528151153248,-0.34444048026193197,-0.6012601583754122,0.9483735996482454,-0.27950419585454195,0.1627937734515948,1.390138614497752,0.5245753998782652,-0.5883524899333136,-0.6184779812550537,-0.4930649789978316,-0.2018631731830776,-0.18916289613078588,3.0861907292528357,-0.06760079352291179,0.9407002607843178,-0.10659971366606558,0.29203474943067637,-3.7391903582317427,0.933602526310546,-0.6995698604350497,-0.3025534462414419,-0.31334604411708233,0.14699289595896134,-0.9482990392433627,-0.2079875648001312
B1,1,AK-Fib_ENR_Org_1,AK-Fib_ENR,co-culture,Org,ENR,0,1,1,1,AK,1,1,0,-0.125732285152338,-0.13590509316459884,0.6374542181939222,-0.5192733988693607,-1.9224654539053392,4.1081346712474645,2.658765861854139,-0.19618947451696653,-0.7347638342213748,-0.806840639546835,0.028198764455169195,-0.07415964055861315,-0.04066230281479577,-0.15622422087269583,-0.8972551502314391,-0.09834142104187851,0.62565625028367,0.4987080054351176,0.7968202718356638,0.8015479170770181,0.2789685939266267,0.13096445642108617,-0.009863787051409709,-1.0257449126947054,-0.4005529462478308,-0.628035816619591,0.8966869207118301,-0.28406640142479184,0.15732109472176206,1.3704936195785096,0.5237373869340596,-0.5894461446804595,-0.6854200238917969,-0.40613598868650114,-0.30322592113501523,-0.17523340877690635,3.580594855569317,0.058588466099014636,0.8884593013101592,-0.13333894704433272,0.24769583096443976,-3.6926775145159643,0.6903680437997616,-0.6950150867566989,-0.3276841284815917,-0.339289272326494,0.12622247947295834,-0.908253219392892,-0.17672092230852465
B1,1,AK-Fib_E_Org_1,AK-Fib_E,co-culture,Org,E,0,1,0,0,AK,1,1,0,-0.10221068985277633,0.1188173674688625,0.48035066519888125,-0.32994182586666343,-1.7953895502331583,4.41890125499216,2.66556419342532,-0.18046194447596928,-0.6567332735162116,-0.7081204860732457,-0.033735212301361714,-0.08682931180126477,-0.0511914807250558,-0.13543733851952708,-0.825799764318928,-0.10572102386674832,0.5786047911370606,-0.4864182639740485,0.7645587521716708,0.7463674036769581,0.2750572616200335,0.12104744587434893,-0.009236187169779694,-0.9447962225926425,-0.3485369774538062,-0.5914744093122355,0.9523497908822547,-0.2848811906659947,0.20220812730119803,1.3587754299451402,0.5894428061020134,-0.565543611312789,-0.5694153320961051,-0.44268546487872723,-0.17194476729207903,-0.19827363568024456,3.323078695303556,0.0969646559059396,0.8658706298559092,-0.12347784347865251,0.4379411004821077,-3.583779340439928,0.7224973059188889,-0.6611441999965109,-0.3092141996101865,-0.3193673373415866,0.13054986675916827,-0.9453319150510006,0.22493832873406455
B1,1,AK-Fib_N_Org_1,AK-Fib_N,co-culture,Org,N,0,0,1,0,AK,1,1,0,-0.12004772213473877,-0.12572221420091875,0.43242093487531497,-0.8677408321336302,-2.0843421934555377,4.2670553794415875,3.2921504606037226,-0.17765094570798404,-0.7284021930121551,-0.7746521808008346,-0.051423162045779396,-0.09399126306683218,-0.10197975091765943,-0.19383892102254913,-0.8842357850656258,-0.12107811756566064,0.44707567830779094,0.4813025069448937,0.7741622898763396,0.7482727778742986,0.16280120528331354,0.07523582440662464,-0.04646222825433771,-1.060404551810093,-0.4168339010664508,-0.5945500349452536,0.9159405193132244,-0.3078799035245673,0.10606884586879735,1.1033343810540575,0.44302545166588175,-0.5821619907665686,-0.6869564557265242,-0.5510127206903188,-0.33448362889933375,-0.20705623711611526,2.911522120696792,-0.08422838710415513,0.8320346162943008,-0.19088111597711993,0.15996032286527131,-3.773953233963136,0.8929280415523713,-0.7409398491729805,-0.29378398600605826,-0.30348913888882234,-0.1235678750195946,-0.9411200110277786,-0.21544706218108994
B1,1,AK-Fib_R_Org_1,AK-Fib_R,co-culture,Org,R,0,0,0,1,AK,1,1,0,-0.12670364598288786,-0.13296072508136697,0.5271465961482441,-0.8633066778739453,-2.24357506202984,4.1866186354216595,3.068587483766826,-0.17113197405103922,-0.7601970758923684,-0.6930634351264887,0.02639922383524989,-0.06711153674396939,-0.0610019390585427,-0.10674922520109194,-0.8190382138352766,-0.06961882805606226,0.649329780550438,0.49395509089383766,0.8203092523229859,0.7990366496678739,0.22346390269721028,0.15094148308158287,-0.011956296271615997,-1.0532726569700497,-0.35695812758910467,-0.6143630186003922,0.9734374519174552,-0.2869259785382291,0.12915505340312577,1.3589543293460669,0.5211059553704906,-0.5852334025076364,-0.640027624014247,-0.4550005305861049,-0.24576370723164367,-0.18533717067408542,3.284398846993727,0.07913078997105596,0.9704868820953865,-0.11614326608907521,0.20197971597415132,-3.814806290418032,0.9544898824194015,-0.6919643593341543,-0.3074828291761409,-0.3198005745231836,0.14101238361835086,-0.9388245289146734,-0.2010755112760347
B1,1,AK-Fib_WENR_Org_1,AK-Fib_WENR,co-culture,Org,WENR,1,1,1,1,AK,1,1,0,-0.1074323674798237,-0.1288018806260327,0.5567691946912394,-0.6910711996199674,-1.647439745067382,4.054957980521773,2.7403863961734474,-0.18951480106168592,-0.8036955063780015,-0.8286564617134609,0.02258696205681912,0.0649615783242994,-0.026279217491606804,-0.15694707012232087,-0.911154266368407,-0.09756305242469436,0.5029857227908956,0.5038975265079464,0.7661930942359323,0.8836252145730114,0.28579457289354293,0.1624494609090863,0.02426948441401508,-0.971364416477443,-0.3959243404160105,-0.6341079598290172,0.8817659287843103,-0.30044159739926185,0.15907075866682235,1.262955698221365,0.5563817665165028,-0.6009413118103716,-0.6900987989174008,-0.3668278268700213,-0.3986082586573851,-0.18158635563280026,3.4430056979416523,0.07913778631397807,0.8249612156173953,-0.1619887482828415,0.22828073375182592,-3.4467906027772623,0.6871053678064626,-0.7034930323355445,-0.32133492822764953,-0.3389817946886815,0.13218063518838244,-0.885363234714675,-0.23638991006868715
B1,1,AK-Fib_WEN_Org_1,AK-Fib_WEN,co-culture,Org,WEN,1,1,1,0,AK,1,1,0,-0.09812837420530884,0.11401566425417797,0.6725850498646855,-0.43128511042124784,-1.1816249778161398,4.1586636477090435,2.1556625498555664,-0.185963082074131,-0.7387806511703683,-0.8403803581715109,-0.04651808014029708,-0.08055165693120964,0.018527060460918867,-0.19274009748899124,-0.9341683565318407,-0.12070797173743372,0.500120529889053,0.4860404129615133,0.73389174030056,0.7966961530105798,0.26531570790577136,0.11899771037602466,-0.007833336226298039,-0.8981562277074405,-0.3908182011581173,-0.6347713732710365,0.7576873752221049,-0.3356197391754609,0.18932533299989454,1.2933390466970431,0.5659639878387109,-0.5991626903526762,-0.6794969491849343,-0.39870082668004136,-0.37712263231831095,-0.18566571849782207,3.40632716393704,0.07506751756014225,0.7084498049017272,-0.1962942446259467,0.29519227833839845,-3.320496811425034,0.40643929900223136,-0.6712853171876001,-0.3176101971109533,-0.3301263970102306,-0.11768553584642866,-0.8411408983885937,0.1575505382749459
B1,1,AK-Fib_WER_Org_1,AK-Fib_WER,co-culture,Org,WER,1,1,0,1,AK,1,1,0,-0.11097283694290358,-0.13259297710690618,0.6461822914964239,-0.6036397424108236,-1.5349347411558008,3.9709323312071025,2.4559057295916342,-0.19814588298042818,-0.7908195390048998,-0.8603989882736331,-0.040668069497027795,-0.06813232382004786,0.026982972062925405,-0.1887075436403943,-0.9557007635424215,-0.11426968151112595,0.5311911282060234,0.4998862321963446,0.7376431020812719,0.8421281847588488,0.2919154945975187,0.14261538777636948,-0.012591330916144908,-0.9913521717819828,-0.4221313148031981,-0.6559141125229637,0.803015111498109,-0.312498662291599,0.1787717672003111,1.3493903725435317,0.5374241725134143,-0.6097755884666004,-0.7102497176853116,-0.39096848673221507,-0.43254077786018286,-0.1803425986025487,3.5655457146241587,0.0785865888690777,0.7686157595757256,-0.19314440911287578,0.22710232790566195,-3.486196065903159,0.5399365225931207,-0.7153704702904264,-0.35104607249552316,-0.36297618753279626,-0.12581995600562,-0.898080903742117,-0.19764743726550119
B1,1,AK-Fib_WNR_Org_1,AK-Fib_WNR,co-culture,Org,WNR,1,0,1,1,AK,1,1,0,-0.14081400815565684,-0.1421078538086413,0.4163636808721076,-0.9221030024863589,-1.9058311183154235,3.9251424530885664,2.804974176726867,-0.19044847481563704,-0.8624128890869357,-0.9894774158971966,-0.08415701243917259,-0.10459954600866682,-0.11682944647997812,-0.30550437765718774,-1.0878527231025925,-0.20217835631440478,0.36718519458479837,-0.47131105686138874,0.6257154722597732,0.7181386428334186,0.19869863993434927,0.04042203960672596,-0.07499117549046785,-1.1425093644084678,-0.4781190381084639,-0.6583861324879914,0.7688877103294937,-0.35347495587488903,0.0783187004735844,1.3218222785754525,0.4694005530088169,-0.6358746977143632,-0.81867978366716,-0.5837927485330048,-0.5493928315446863,-0.24866389257122434,3.2045590830442485,-0.12385390148599379,0.6116330379849405,-0.3466891821253443,-0.2735024319701729,-3.8010033792418056,0.5410093687609343,-0.8348169810257176,-0.3346334931947588,-0.3449814564025503,-0.14206886768542393,-0.9185850062825428,-0.19280193131321005
B1,1,AK-Fib_W_Org_1,AK-Fib_W,co-culture,Org,W,1,0,0,0,AK,1,1,0,-0.12005512173455249,0.1262316950971748,0.5265567271984304,-0.7584180753543805,-1.8894647763518653,4.214267194853809,2.839187959424824,-0.17465937740081128,-0.6877958136615615,-0.6764044126464784,-0.039390313050330535,-0.07996291882969603,-0.06493676865509944,-0.12269207286244124,-0.8027064878127887,-0.11604171477856284,0.5731215181343994,0.4908665687884957,0.8262032248761368,0.7754294588460662,0.26383340765030716,0.14002308056632773,-0.01002501654633753,-0.9366801134783698,-0.3518234054010599,-0.604707144505504,0.9826497439861476,-0.28353403875115407,0.18374389373463795,1.300035438906416,0.5483504048010902,-0.5867001063175531,-0.606324934943064,-0.41509417491000555,-0.18158225039153433,-0.1833287993570974,3.2544504949503184,0.09297167187966338,0.8951100000861663,-0.12070587828170114,0.41251876588443137,-3.656495249278688,0.8409379620658713,-0.6750288254485252,-0.29182688881788743,-0.3027474565508058,0.17477461011282147,-0.9274363869289751,0.21980517753448195
