Table S2. Relate to Figure 2,,,,,,,,
Ranked expression data from GSEA of fetal signature genes with the expression data from UC patients and normal individuals ,,,,,,,,
Probes are ranked from high to low in colitis samples,,,,,,,,
NAME,PROBE,DESCRIPTION<br>(from dataset),GENE SYMBOL,GENE_TITLE,RANK IN GENE LIST,RANK METRIC SCORE,RUNNING ES,CORE ENRICHMENT
row_0,DUOXA2,ENST00000350243,null,null,12,1.355689764,0.006200178,Yes
row_1,DUOX2,NM_014080,null,null,22,1.16633904,0.011594418,Yes
row_2,CDH3,NM_001793,null,null,24,1.163895011,0.017339345,Yes
row_3,IL1A,NM_000575,null,null,31,1.032387257,0.022203254,Yes
row_4,IL1RN,NM_173842,null,null,32,1.030365109,0.027329236,Yes
row_5,LCN2,NM_005564,null,null,40,0.979238987,0.03188338,Yes
row_6,CXCL1,NM_001511,null,null,42,0.975329578,0.03669021,Yes
row_7,CXCL2,NM_002089,null,null,59,0.887140572,0.04037797,Yes
row_8,CCL20,NM_001130046,null,null,66,0.847531497,0.044322237,Yes
row_9,LTF,NM_001199149,null,null,77,0.824515045,0.047970574,Yes
row_10,CYR61,NM_001554,null,null,84,0.809506059,0.051725667,Yes
row_11,TRIM29,NM_012101,null,null,94,0.795959473,0.0552773,Yes
row_12,VCAM1,NM_001078,null,null,95,0.791658521,0.059215736,Yes
row_13,OSMR,NM_001168355,null,null,99,0.786771953,0.062993795,Yes
row_14,C2,NM_000063,null,null,107,0.772943318,0.06652164,Yes
row_15,GABRP,NM_001291985,null,null,108,0.771954596,0.07036205,Yes
row_16,C3,NM_000064,null,null,110,0.761707127,0.07410612,Yes
row_17,STC1,NM_003155,null,null,115,0.751304328,0.07766238,Yes
row_18,SPP1,NM_000582,null,null,117,0.742206633,0.08130944,Yes
row_19,DRAM1,NM_018370,null,null,123,0.726117492,0.084695034,Yes
row_20,INHBA,NM_002192,null,null,147,0.689255416,0.087080844,Yes
row_21,IGFBP5,NM_000599,null,null,148,0.688717425,0.09050716,Yes
row_22,TGM2,NM_004613,null,null,156,0.677612543,0.09356073,Yes
row_23,PHLDA1,NM_007350,null,null,160,0.669128716,0.09675353,Yes
row_24,TIMP1,ENST00000218388,null,null,167,0.65708971,0.09975036,Yes
row_25,ENKUR,NM_001270383,null,null,171,0.654369473,0.10286973,Yes
row_26,CLU,NR_038335,null,null,172,0.652867556,0.106117696,Yes
row_27,ICAM1,NM_000201,null,null,173,0.652846456,0.10936555,Yes
row_28,DUSP10,NR_111939,null,null,190,0.627945662,0.111763835,Yes
row_29,OAS2,NM_001032731,null,null,194,0.623474896,0.11472951,Yes
row_30,PLAU,NM_001145031,null,null,196,0.622260571,0.11777985,Yes
row_31,MEDAG,NM_032849,null,null,203,0.616008222,0.120572306,Yes
row_32,STX11,NM_003764,null,null,231,0.596096575,0.12231324,Yes
row_33,CCDC3,NM_001282658,null,null,236,0.593730569,0.12508558,Yes
row_34,ARHGAP29,NM_004815,null,null,239,0.592677236,0.12794338,Yes
row_35,ROBO1,NM_001145845,null,null,260,0.573559284,0.12988968,Yes
row_36,AIM2,NM_004833,null,null,263,0.573137581,0.13265029,Yes
row_37,COL4A1,NM_001845,null,null,267,0.571187854,0.13535583,Yes
row_38,FAIM3,NM_001142473,null,null,268,0.571163118,0.13819732,Yes
row_39,FOS,NM_005252,null,null,282,0.564576209,0.14041641,Yes
row_40,ACSL4,NM_004458,null,null,289,0.561591625,0.14293815,Yes
row_41,PDZK1IP1,NM_005764,null,null,294,0.558334708,0.1455344,Yes
row_42,RBPMS,NM_001008710,null,null,304,0.551910102,0.14787191,Yes
row_43,LY96,NM_001195797,null,null,306,0.551136971,0.15056841,Yes
row_44,RASGRP3,NM_001139488,null,null,314,0.544391274,0.15295923,Yes
row_45,WARS,NM_004184,null,null,318,0.541616678,0.15551765,Yes
row_46,PDPN,NM_001006624,null,null,335,0.532746911,0.15744235,Yes
row_47,LGI2,NM_018176,null,null,338,0.529774666,0.15998721,Yes
row_48,PARP8,NM_001178055,null,null,340,0.527468264,0.16256598,Yes
row_49,SYT11,NM_152280,null,null,348,0.524697125,0.1648588,Yes
row_50,TLR6,NM_006068,null,null,352,0.520847142,0.16731392,Yes
row_51,EBF1,NM_001290360,null,null,359,0.517591774,0.16961676,Yes
row_52,TSHZ2,NM_001193421,null,null,365,0.512781739,0.17194103,Yes
row_53,CEP170,NM_001042404,null,null,377,0.506810129,0.17396346,Yes
row_54,AZGP1,NM_001185,null,null,393,0.502249718,0.17578177,Yes
row_55,LBH,NM_030915,null,null,396,0.500278592,0.1781799,Yes
row_56,ME1,NM_002395,null,null,399,0.499877453,0.18057604,Yes
row_57,PLA1A,NM_001206960,null,null,412,0.495775074,0.18249822,Yes
row_58,ZFPM2,NM_012082,null,null,414,0.495560765,0.18491822,Yes
row_59,HBEGF,NM_001945,null,null,421,0.492045075,0.18709399,Yes
row_60,FN1,NM_002026,null,null,433,0.487155169,0.18901862,Yes
row_61,PCOLCE,NM_002593,null,null,437,0.48557049,0.19129823,Yes
row_62,PALMD,NM_017734,null,null,446,0.48322016,0.19333938,Yes
row_63,EPHA2,NM_004431,null,null,452,0.481625706,0.19550864,Yes
row_64,HTR1D,NM_000864,null,null,460,0.478518128,0.19757174,Yes
row_65,GPR126,NM_001032394,null,null,464,0.475796103,0.19980273,Yes
row_66,TIMP3,NM_000362,null,null,473,0.470150203,0.20177883,Yes
row_67,PLS3,NM_001136025,null,null,479,0.468324244,0.20388193,Yes
row_68,GJA1,NM_000165,null,null,485,0.465647042,0.2059717,Yes
row_69,FOSB,NM_001114171,null,null,491,0.463081449,0.20804872,Yes
row_70,RASSF5,NM_182664,null,null,498,0.461292446,0.21007147,Yes
row_71,F2R,NM_001992,null,null,527,0.452058315,0.21105048,Yes
row_72,ELK3,NM_005230,null,null,550,0.444010377,0.21226157,Yes
row_73,KIRREL,NM_001286349,null,null,555,0.44258073,0.21428195,Yes
row_74,SLPI,NM_003064,null,null,556,0.442186773,0.21648179,Yes
row_75,AGPAT4,NM_020133,null,null,567,0.439269692,0.21821357,Yes
row_76,NME5,NM_003551,null,null,595,0.432277679,0.21913952,Yes
row_77,CADM1,NM_014333,null,null,596,0.432182699,0.22128959,Yes
row_78,DENND5A,NM_001243254,null,null,598,0.431103975,0.22338894,Yes
row_79,PPM1K,NM_152542,null,null,605,0.430308282,0.22525755,Yes
row_80,PLEKHS1,NM_001193434,null,null,606,0.430081993,0.22739717,Yes
row_81,CXCL17,NM_198477,null,null,612,0.427110255,0.22929524,Yes
row_82,CAV1,NM_001172895,null,null,617,0.425478607,0.23123053,Yes
row_83,FLRT2,NM_013231,null,null,622,0.42321822,0.23315458,Yes
row_84,FERMT2,NM_001134999,null,null,623,0.423105061,0.2352595,Yes
row_85,BICC1,NM_001080512,null,null,632,0.421232879,0.23699225,Yes
row_86,BACE2,NM_012105,null,null,641,0.418116897,0.23870951,Yes
row_87,FMNL3,NM_175736,null,null,652,0.414676458,0.24031892,Yes
row_88,GLIPR1,NM_006851,null,null,656,0.413587242,0.24224043,Yes
row_89,CTSH,NM_004390,null,null,660,0.412923396,0.24415863,Yes
row_90,LY6E,NM_001127213,null,null,663,0.409948021,0.24610737,Yes
row_91,LAMC1,NM_002293,null,null,672,0.407798618,0.24777329,Yes
