Gene_Symbol,GeneID,Control,Yap KO,YapTg Dox-,YapTg Dox+,Combined fold change,Fold_log2
C87977,ENSMUSG00000046262,0.654104455,1.580273069,0.589777759,0.008913574,159.8532787,7.320604525
Ces1h,ENSMUSG00000074156,0.807440944,1.05763166,0.38062689,0.007100845,70.21228525,6.13365158
Cd83,ENSMUSG00000015396,1.805318607,2.751562643,1.402110709,0.047491265,44.9980936,5.491791976
Reg3a,ENSMUSG00000079516,177.9529868,287.6904277,108.2161869,3.98411715,43.91170066,5.456533505
G6pc,ENSMUSG00000078650,17.26818039,41.27403007,16.84319814,0.919100584,43.80178559,5.452917778
Olfm4,ENSMUSG00000022026,243.7988985,501.4301013,423.6461199,21.9601459,39.67771689,5.310257108
Car4,ENSMUSG00000000805,3.254055332,6.75617,11.08774969,0.601743335,38.25672241,5.257641373
Ces1d,ENSMUSG00000056973,19.40549683,23.68141588,8.623844092,0.280406954,37.53142163,5.230027033
Gkn3,ENSMUSG00000030048,2.851439917,6.841285939,5.721903948,0.39353322,34.88451439,5.124514845
Cyp3a25,ENSMUSG00000029630,43.67598876,57.15535884,32.20158539,1.224604343,34.41087126,5.104792516
Akr1c14,ENSMUSG00000033715,33.13002406,61.32461005,12.61328683,0.688192045,33.92592266,5.084316147
Hmgcs2,ENSMUSG00000027875,0.77954836,2.307122491,0.595264592,0.052496614,33.55879425,5.068618976
Bbox1,ENSMUSG00000041660,1.089181023,2.589238445,1.106926298,0.078452809,33.54147741,5.067874332
Slc28a1,ENSMUSG00000025726,3.263207173,5.34629192,1.00335103,0.049539829,33.18229494,5.052341764
Hsd17b6,ENSMUSG00000025396,11.62268585,17.493828,9.240849115,0.419949702,33.12020029,5.049639492
Agr3,ENSMUSG00000036231,1.662676149,2.74989266,1.625606248,0.08201038,32.78344663,5.034895633
Paqr9,ENSMUSG00000064225,0.724000356,2.325622,0.453785071,0.046110825,31.61168596,4.982386076
Ces1f,ENSMUSG00000031725,53.20761732,67.17921378,26.55669153,1.100062516,30.48019268,4.929800118
Fabp1,ENSMUSG00000054422,3457.049609,5765.847167,1938.097427,106.1172787,30.46120052,4.928900896
Siglec15,ENSMUSG00000091055,0.170714625,0.774964515,0.259530944,0.038733765,30.41658985,4.92678651
Slc6a3,ENSMUSG00000021609,0.61503204,1.328893224,0.199623302,0.015376946,28.05004045,4.809930946
Ccl9,ENSMUSG00000019122,7.545821916,13.14272515,6.241570059,0.388317127,27.99536783,4.807116231
Mt4,ENSMUSG00000031757,7.008643106,8.875534914,1.479857393,0.06795745,27.57676915,4.785381538
Pcp4l1,ENSMUSG00000038370,1.080503419,3.305570651,1.66522756,0.185342418,27.48647604,4.78065005
Rims4,ENSMUSG00000035226,0.32569956,0.84521075,0.282557647,0.026774852,27.38595099,4.775364074
Slc5a11,ENSMUSG00000030769,10.23365821,15.43196377,7.381457359,0.414294816,26.86723062,4.747775716
Leap2,ENSMUSG00000036216,50.78084966,65.41031313,31.89432473,1.55124718,26.48370073,4.727032828
Cyp2d26,ENSMUSG00000022445,163.6304044,225.1015426,84.82520434,4.926605295,23.68599388,4.565962304
Ttr,ENSMUSG00000061808,2.478625114,5.233394493,2.793257678,0.261572072,22.54718125,4.49487518
Ctrb1,ENSMUSG00000031957,11.60539965,18.39679166,2.759893612,0.194716865,22.46832835,4.489820887
Edn2,ENSMUSG00000028635,2.739514345,5.787762228,2.831319288,0.281707337,21.23380338,4.408290904
Pcdh8,ENSMUSG00000036422,0.474890057,0.879758771,0.913587903,0.083139434,20.35700135,4.347453159
Ky,ENSMUSG00000035606,0.417821417,1.00319124,0.674041032,0.079568592,20.3393793,4.346203748
Cyp2u1,ENSMUSG00000027983,7.257217147,14.60266385,6.912252092,0.68964713,20.16761794,4.333968788
Slc5a4b,ENSMUSG00000020226,44.51432377,68.66693048,22.08797191,1.755104082,19.41336495,4.278978299
Gm17367,ENSMUSG00000091141,106.5703121,179.1775363,63.79703167,5.535700621,19.37649411,4.276235655
Mt2,ENSMUSG00000031762,1422.920927,1997.95206,648.8308621,47.95748696,18.99675311,4.247680952
Tsga10ip,ENSMUSG00000039330,0.288567309,0.515493736,1.142442428,0.109122641,18.7023301,4.22514612
Pla2g10,ENSMUSG00000022683,1.308146221,1.787010003,0.961808911,0.070668519,18.5923163,4.216634612
Fbp1,ENSMUSG00000069805,45.94959674,85.05559338,28.51802109,2.880385705,18.32693812,4.19589387
Apoa2,ENSMUSG00000005681,0.130849422,1.209990116,1.118955343,0.569032913,18.1838308,4.18458426
Prelp,ENSMUSG00000041577,4.295661662,7.867765605,5.774545567,0.591699784,17.87465825,4.159843754
Ttc39c,ENSMUSG00000024424,2.876490524,4.603262377,1.704329775,0.153384816,17.78173131,4.152323893
1810046K07Rik,ENSMUSG00000036027,9.542973471,11.69737789,4.322627689,0.302405497,17.52116395,4.131026713
Rbp7,ENSMUSG00000028996,14.23916901,19.33333789,14.28893159,1.147231549,16.91106161,4.079895324
Vwce,ENSMUSG00000043789,11.38847394,17.75005627,11.039376,1.024573742,16.7932791,4.069812057
Slc5a4a,ENSMUSG00000020229,1.393355328,3.743943869,1.245401229,0.200416606,16.69717631,4.061532242
Ces1b,ENSMUSG00000078964,0.87609182,1.300130601,0.22651174,0.020283483,16.57240502,4.05071108
Gm9992,ENSMUSG00000056133,0.441093157,1.140230799,0.530873561,0.083400386,16.45453006,4.040412919
4933417A18Rik,ENSMUSG00000021415,1.753655794,2.545230915,1.139323131,0.102023151,16.20805931,4.018639453
Aqp8,ENSMUSG00000030762,0.969111314,0.318383575,1.227752523,0.025273966,15.95932171,3.996327432
Adh6-ps1,ENSMUSG00000090306,6.424476753,9.721372721,3.710459662,0.352506429,15.92760604,3.993457537
Spp2,ENSMUSG00000026295,2.025451768,2.466534269,0.911294809,0.071582336,15.50309033,3.95448392
Treh,ENSMUSG00000032098,43.4617347,65.36440135,23.84130079,2.32888655,15.3962816,3.944510058
Dnase1,ENSMUSG00000005980,23.19603109,39.119425,13.27490679,1.456555415,15.37033201,3.942076424
Cd244,ENSMUSG00000004709,0.200292184,0.600797761,1.014988602,0.20312392,14.98871492,3.905804791
Slc13a1,ENSMUSG00000029700,37.28048202,39.07584713,28.54320287,2.034120373,14.70797685,3.878526906
Slc2a5,ENSMUSG00000028976,34.81809091,64.11786027,31.6093738,3.998982318,14.55594729,3.863536827
Ramp1,ENSMUSG00000034353,0.988190253,1.705431965,1.406572697,0.167060191,14.53058309,3.861020692
Sardh,ENSMUSG00000009614,0.996040642,1.405510886,0.225333729,0.022012359,14.44497421,3.852495723
Adh6b,ENSMUSG00000074206,10.00928519,15.02504357,5.860991282,0.615748597,14.28829213,3.836761577
