batch,barcode,time_point,media,replicate,culture,condition,111Cd_CD44,113In_CEACAM1_CD66a,115In_Pan-CK,127I_IdU,141Pr_pPDPK1_S241,142Nd_cCaspase 3_D175,143Nd_C-MYC_1,145Nd_pNDRG1_T346,146Nd_pMKK4_SEK1_S257,147Sm_pBTK_Y511_1,148Nd_pSRC_Y418,149Sm_p4EBP1_T37_T46,150Nd_pRB_S807_S811,152Sm_pAKT_T308,153Eu_pCREB_S133,154Sm_pSMAD1_5_9,155Gd_pAKT_S473,156Gd_pNF-kB p65_S529,157Gd_pMKK3_MKK6_S189_207,158Gd_pP38 MAPK_T180_Y182,159Tb_pMAPKAPK2_T334,160Gd_pAMPKa_T172,161Dy_pBAD_S112,162Dy_LRIG1_1,163Dy_pP90RSK_T359_Hu,164Dy_pP120-Catenin_T310,165Ho_Beta-catenin_Active_1,166Er_pGSK-3b_S9,167Er_pERK_1_2_T202_Y204,168Er_pSMAD2_3,169Tm_EPHB2,170Er_pMEK1_2_S221,171Yb_SOX9_5,172Yb_pS6_2_S240_244,173Yb_Cyclin B1_2,174Yb_Clusterin_1,175Lu_Survivin_2,176Yb_FABP2,191Ir_DNA 1,193Ir_DNA 2,194Pt_Cisplatin,209Bi_DiMeHH3_K4,89Y_pHH3_S28,CLU_IdU,LRIG1_IdU
B4,19,24h,Ctrl,1,24h_Ctrl,24h_Ctrl_1,0.024492845,0.041257972,-0.05758414,0.154524814,0.182367396,0.078065833,0.060605816,0.088294428,0.078207972,0.081870812,0.086132319,0.11628152,0.137860106,0.100837707,0.083106447,0.052092685,0.033833795,0.039050944,0.096412191,0.143012456,0.115852428,0.136898311,0.121382703,0.082391492,0.063571977,0.121171895,0.069445625,0.038356001,0.124631628,0.057013208,0.044730875,0.0646264,0.088672745,0.13606855,0.138379681,0.053270436,0.063848701,0.052900202,0.015879547,0.014595307,-0.024918194,0.143808256,0.024409433,3.148148148,18.61777151
B4,20,24h,Ctrl,2,24h_Ctrl,24h_Ctrl_2,0.036441778,0.027060732,-0.050393265,0.244667717,0.136644466,0.027592716,0.034324223,0.050110996,0.044943216,0.052026331,0.084709352,0.061874105,0.130494981,0.120575869,0.052011222,0.045716757,0.028459442,0.03282172,0.054460324,0.099395326,0.099875582,0.096876551,0.076528983,0.076321398,0.056662543,0.090291224,0.024670711,0.02393267,0.06181853,0.021806971,0.031321909,0.04468012,0.057594207,0.12784417,0.096670937,-0.02524883,0.053378127,0.04049385,-0.010545926,-0.010189395,0.013496048,0.116187872,0.012768502,1.382488479,17.66055046
B4,21,24h,Ctrl,3,24h_Ctrl,24h_Ctrl_3,0.053757558,-0.064361251,0.097124146,-0.37397252,-0.304340228,-0.098012125,-0.091165745,-0.132386515,-0.117615821,-0.127900114,-0.161455426,-0.170657219,-0.254668397,-0.208848982,-0.128166255,-0.092963422,-0.059207403,-0.066865547,-0.144881717,-0.231072157,-0.204825051,-0.223365221,-0.187382574,-0.150109626,-0.113925614,-0.201250695,-0.090249463,-0.057988424,-0.168439079,-0.073698037,-0.071801828,-0.104453094,-0.139980542,-0.250491227,-0.224042434,-0.051549778,-0.111568637,-0.084452455,-0.012800008,-0.012856112,0.03168674,-0.247543869,-0.034773841,1.195219124,22.44897959
B4,22,24h,EGF,1,24h_EGF,24h_EGF_1,0.292531262,0.327514769,-0.109642128,1.089287556,0.415306883,0.171668933,0.172614724,0.222242789,0.202962261,0.246111321,0.323432016,0.4903329,0.459301824,0.438589814,0.210102228,0.168546053,0.098434916,0.109626522,0.213256573,0.39606572,0.383413755,0.282804757,0.335188226,0.409366065,0.185789821,0.408853778,0.141887433,0.076120339,0.23029334,0.087689807,0.22447935,0.165458772,0.281752181,0.305963204,0.422309692,-0.046726286,0.23343011,0.14257045,0.05346349,0.053597819,-0.289348074,0.251625956,0.086046962,1.74291939,19.70310391
B4,23,24h,EGF,2,24h_EGF,24h_EGF_2,0.29255396,0.26799249,0.087313626,0.978826462,0.455696217,0.140808624,0.186099241,0.239394974,0.176406832,0.21436892,0.20823586,0.320653939,0.346729134,0.364991908,0.250171304,0.171408563,0.125002099,0.180270877,0.239887074,0.292966753,0.35652991,0.243206301,0.245310651,0.306318878,0.267263367,0.286229989,0.17849252,0.124362118,0.173999878,0.124183689,0.193513672,0.216834776,0.245644564,0.275268777,0.32200853,0.038845034,0.237694342,0.17242747,0.072216166,0.071069626,-0.325951089,0.2414501,0.089582804,1.312910284,14.73577236
B4,24,24h,EGF,3,24h_EGF,24h_EGF_3,0.232961692,0.198910928,0.102970005,0.940513424,0.354597822,0.140177527,0.168357145,0.154934314,0.150273728,0.235391513,0.269795823,0.273454709,0.326166213,0.348655159,0.140183037,0.149594148,0.105501503,0.181916082,0.208366174,0.272774101,0.281585834,0.188748515,0.182063999,0.321696362,0.197477505,0.267654078,0.157408869,0.072949437,0.155989894,0.120709871,0.134473208,0.165250805,0.248127844,0.214609382,0.306096104,0.067413324,0.248586639,0.137358462,0.095348876,0.094914165,-0.393087136,0.210740198,0.086174688,1.391035549,16.89730517
B4,25,24h,WNT3A,1,24h_WNT3A,24h_WNT3A_1,0.233645959,0.11757943,-0.054870238,0.328337006,-0.139868653,0.063906769,0.042726393,0.221333457,0.041510597,-0.068066594,0.108264727,0.150176283,-0.077962043,-0.043172478,-0.015254743,-0.017716197,0.01434974,0.10226263,-0.052445188,-0.078188642,-0.025972082,-0.120059836,-0.029324027,-0.116055351,-0.058796856,0.123097438,0.066348236,0.049705263,0.076665714,0.044828345,0.11113561,-0.045324684,-0.052744091,-0.124881062,-0.055538994,0.72675179,-0.0664921,0.033024573,0.028846222,0.030085739,-0.192457995,-0.21488479,0.0163152,1.046337818,13.87054161
B4,26,24h,WNT3A,2,24h_WNT3A,24h_WNT3A_2,0.191650673,0.017175046,0.156672268,0.397528539,-0.200011722,-0.071733364,-0.032404394,-0.226619512,-0.077864663,-0.108152802,-0.182881002,-0.164445335,-0.174743985,-0.182248923,-0.14610951,-0.05734469,-0.017708586,0.11238265,-0.090249236,-0.246817307,-0.172834604,-0.221547369,-0.163679138,-0.234830517,-0.06794568,-0.23838386,0.07400968,0.04304476,-0.130878442,-0.066645059,0.097613399,-0.068685511,-0.119005478,-0.244714384,-0.151277554,0.875164224,-0.119043085,-0.029364125,0.025780405,0.024902419,-0.212289303,-0.292838707,-0.048746731,1.978021978,20.56583243
B4,27,24h,WNT3A,3,24h_WNT3A,24h_WNT3A_3,0.269719656,0.094785185,0.099514522,0.387236146,0.102646794,0.108036343,0.115107509,0.291197402,0.086172585,0.101331837,0.197318831,0.175555296,0.105807147,0.088724468,0.026726629,0.075005742,0.069665383,0.155651893,0.099370431,0.100390482,0.060890602,0.112134224,0.060881751,-0.048810611,0.072095145,0.134294644,0.108146221,0.103279178,0.088065242,0.081087499,0.134756361,0.082750837,0.088890593,0.041038766,0.149281363,0.807678112,-0.023561685,0.103167126,0.043949016,0.042397012,-0.414855216,-0.073021443,0.021592537,1.830663616,21.86459489
B4,10,12h,Ctrl,1,12h_Ctrl,12h_Ctrl_1,0.018157553,-0.022675387,0.024143928,-0.051403655,0.032530605,0.03160517,0.018803885,0.073444426,0.031874432,0.04182504,0.084705487,0.08232965,0.088483578,0.065073144,0.035044414,0.025722651,0.011197846,0.021472854,0.025617532,0.082077081,0.037998577,0.068649775,0.05633324,0.038995089,0.036494694,0.086571515,0.015534892,0.025430847,0.050665991,0.020666742,0.048346604,0.015007661,0.053927306,0.062163343,0.062263336,0.038498239,0.016231629,0.057245022,-0.006767809,-0.006543339,0.092042141,0.095516785,0.008064792,0.589390963,16.20498615
