batch,barcode,genotype,media,replicate,culture,condition,A,K,P,111Cd_CD44,113In_CEACAM1_CD66a,115In_Pan-CK,116Cd_GFP,127I_IdU,141Pr_pPDPK1_S241,142Nd_cCaspase 3_D175,143Nd_C-MYC_1,145Nd_pNDRG1_T346,146Nd_pMKK4_SEK1_S257,147Sm_pBTK_Y511_1,148Nd_pSRC_Y418,149Sm_p4EBP1_T37_T46,150Nd_pRB_S807_S811,152Sm_pAKT_T308,153Eu_pCREB_S133,156Gd_pNF-kB p65_S529,157Gd_pMKK3_MKK6_S189_207,158Gd_pP38 MAPK_T180_Y182,159Tb_pMAPKAPK2_T334,160Gd_pAMPKa_T172,161Dy_pBAD_S112,162Dy_LRIG1_1,163Dy_pP90RSK_T359_Hu,164Dy_pP120-Catenin_T310,165Ho_Beta-catenin_Active_1,166Er_pGSK-3b_S9,167Er_pERK_1_2_T202_Y204,168Er_pSMAD2_3,169Tm_EPHB2,170Er_pMEK1_2_S221,171Yb_SOX9_5,172Yb_cCaspase 8_D387,173Yb_Cyclin B1_2,174Yb_Clusterin_1,175Lu_Survivin_2,176Yb_FABP2,191Ir_DNA 1,193Ir_DNA 2,194Pt_Cisplatin,209Bi_DiMeHH3_K4,89Y_pHH3_S28
B2,1,K,Ctrl,1,K_Ctrl,B2_K_Ctrl_1,0,1,0,-0.04771263879764342,-0.2142803947790496,-0.11691814391214923,-0.040633758878357955,-0.09781777986275896,-0.07072010831660838,0.016066891163990845,0.015537687762634856,-0.11444612011667518,-0.030101959087837728,0.041156819909499015,-0.04677002410528737,-0.08345902554087992,-0.0602382821670304,-0.07900455633469557,-0.14569868488700907,0.08001126749191294,0.03195174479621403,0.05156857979355166,-0.018042922754285578,-0.05207401971353651,-0.07264778128554285,0.059052043155729886,0.033061902028060586,0.07382317649248754,0.035203684752259316,0.030845248160684024,0.04520583232909621,0.037658744411122116,-0.060830993250159913,-0.010973250109260911,0.02357933994124336,-0.015589636431327195,0.07235698282426517,0.04120345108900404,0.02543885921612483,-0.10767636779967454,0.009929537861414966,-0.009209720366246083,-0.03649359935992075,-0.03821658716371344,-0.030444045348078215
B2,2,K,Ctrl,2,K_Ctrl,B2_K_Ctrl_2,0,1,0,0.022022571490680428,0.0599112267832762,-0.024229254639601083,-0.03289210531013918,0.06813709731758937,-0.04154205701044864,-0.016045380835878562,-0.012250004756937882,0.02715799623129301,-0.009288441447921753,-0.029375899548474742,-0.02951216396896021,0.031537737343106324,-0.018555784644666104,0.018303430723755804,0.025038581477369773,-0.04165477731204109,-0.03243461854890276,-0.03264142018135044,-0.012836324072953577,0.01840190399254084,0.016216277565846995,0.02919949176241509,-0.01510655278522912,-0.04772165703518776,-0.02408432652685428,-0.031867156487846146,-0.03940457118138084,-0.03378296838376114,0.04027523121159092,-0.013977359105798722,-0.01906340620161696,-0.021056256282643338,-0.017830418952919355,-0.03441996566382192,-0.014606494127363874,-0.07429431216821689,0.005463345587978346,0.004745696056503513,0.011395642315824106,-0.057343752828610386,-0.009297032805118599
B2,3,K,Ctrl,3,K_Ctrl,B2_K_Ctrl_3,0,1,0,0.019189321226021332,0.07788563515197132,0.1377086353610554,0.10783557487521755,-0.09999540409631538,0.05545950091709145,0.026444321039833532,0.02467711986002476,0.05641049821576469,0.025368913971004037,0.02661680407940767,0.04868778166278301,0.027000702985771882,0.041399400497199576,0.06001855307183089,0.08329457010330071,0.019220399393954004,0.03982922060469253,0.060456749030111875,0.02378505383981905,0.024920392335706653,0.05006948376165838,-0.0858285408984437,0.033807141639798075,0.05622201517433596,0.02481686486333385,0.04607397269409688,0.046070207505076594,0.03981515266564941,-0.030989644772746103,0.03367360398894528,0.025405048975782194,0.03436392365691432,-0.03404577997058688,0.037908657268979296,0.010330574618140236,0.25872517527206484,-0.00659231110538393,0.006672769081126768,0.02257422630437903,0.11894406501638283,0.027792989255168373
B2,7,K,WNT3A,1,K_WNT3A,B2_K_WNT3A_1,0,1,0,-0.26324800924389347,-0.7743526857395394,0.18192291303184577,-0.23802493625464394,-0.41404706518650947,-0.9200272824905354,-0.22518902949634176,-0.23969467163699484,-0.33739500527215066,-0.397775757337812,-0.41767105843451,-0.5541787758620076,-0.958139433798737,-0.8163353422650449,-0.6276369877735439,-0.7145884380431855,-0.14551764378305765,-0.39703605937650266,-0.8343618426844378,-0.501274061201937,-0.8092204729107558,-0.5893148654830533,-0.5498182139467126,-0.3551063139853906,-0.7903573673485677,-0.2537959917852239,-0.17641022443525162,-0.43879077650197335,-0.2740460016027804,-0.2771401983821192,-0.3324691929075641,-0.463848084980819,-0.29595660988793865,-0.5831423419492432,1.9385060137167893,-0.3837199069167012,-0.4347089192239788,-0.16289134390550297,-0.16189936658515958,-0.4111906414480353,-0.8014563562330979,-0.27777120473837213
B2,8,K,WNT3A,2,K_WNT3A,B2_K_WNT3A_2,0,1,0,-0.34563688988780095,-0.7139086156297485,0.17177386849504225,-0.27693600211089914,-0.578538808518352,-0.9900160576625464,-0.1538030646854998,-0.22507859508206113,-0.39489346898856503,-0.3767082375926774,-0.37276209026482565,-0.6012435485992078,-1.0452399005525037,-0.9159747652968218,-0.6872970984639105,-0.7357412281211642,-0.23487340016777414,-0.3825444678858952,-0.8283934671443357,-0.48027010461368863,-0.8336173881678015,-0.6026714079348697,-0.5393114512168775,-0.41456921187250984,-0.9073708867980189,-0.26157789916297136,-0.2190926803836956,-0.4526133551980194,-0.19097491111603668,-0.28340191995008035,-0.2937224258264165,-0.43209644575438383,-0.2385866414942059,-0.6308892979867804,1.8757464458186166,-0.4214635765040097,-0.5641816220083211,-0.07356883644779606,-0.07103560133958255,-0.1767003141622931,-0.8546438274874107,-0.29844631440302793
B2,9,K,WNT3A,3,K_WNT3A,B2_K_WNT3A_3,0,1,0,-0.23343609152737477,-0.6229729682197312,0.17341353375384416,-0.25876621313628656,-0.5539036375203377,-0.9014663491278964,-0.2815288519986141,-0.21724870807092683,-0.3606910725184304,-0.39064495102844665,-0.48421998697593566,-0.572766713858361,-0.9725871418898419,-0.7960839213645522,-0.6032303929455499,-0.6511213028560476,-0.19467884412460731,-0.4077807787568245,-0.7780446279551143,-0.463288025904281,-0.8041352812416811,-0.5139129942546594,-0.43878496358328445,-0.37045286703230645,-0.7911719344738355,-0.2319158202968257,-0.1777483531620225,-0.48610098931903245,-0.28064819759248183,0.2648337370200882,-0.306264182450349,-0.45623926128141534,-0.31074161601801914,-0.5006294172923051,1.985270997009681,-0.3953932355969917,-0.5099782063184081,-0.10404067538837786,-0.10061076285824816,-0.33573173152044583,-0.8761144903704381,-0.2817908517640347
B2,10,K,EGF,1,K_EGF,B2_K_EGF_1,0,1,0,0.18617884192823816,-0.1632088616542186,-0.16358947608352423,-0.13481075786833469,-0.3075192284717006,-0.21849861940140375,-0.17114026362996726,-0.11849774230717508,-0.1702675307821225,-0.17341307199918887,-0.119137615714633,-0.09141686212061997,-0.12084688633086377,0.11638301774522497,-0.1080764241555108,-0.21749602565065532,-0.14235052222652303,-0.1267629813682764,-0.10102104594200904,-0.06463696641523936,-0.15372918272711944,-0.18978057903234502,0.15025905566815118,-0.10486369051517946,-0.14786990755450904,-0.14500979126143343,-0.17673926417419267,-0.201064727274746,-0.1343340137971772,0.15433812318617074,-0.10634085566642615,-0.05622029919881688,-0.11552394947049106,-0.17782726468234086,-0.12796355390157807,-0.057355293502160405,-0.26967212605721447,-0.13979920528916745,-0.13961735211093684,0.06446022138184268,0.11195639399619396,-0.10570091159598477
B2,11,K,EGF,2,K_EGF,B2_K_EGF_2,0,1,0,0.1633014641427618,-0.17960113327665475,-0.17946453972809584,-0.14959494639591317,-0.40201828398524,-0.23073029123441824,-0.18665857066153022,-0.12175827587602116,-0.1634101358786882,-0.1645437834890588,-0.16393970512836337,-0.08806697906235163,-0.1436054940432293,0.05877760849328179,-0.09418482303974764,-0.16677514991344755,-0.13781684735146502,-0.16105254657309068,-0.0831194447812123,-0.04048553576399738,-0.16217379875635313,-0.12850810517837094,-0.1061109537677058,-0.06775923212246056,-0.10795700172195025,-0.18086573303251813,-0.1459255057289337,-0.21893314174442344,-0.1794608211802343,-0.03132087978391529,-0.13976873666984235,-0.028719326106384335,-0.14994750490395048,-0.26384645691387076,-0.21397642271299874,-0.040537461287451844,-0.18934157827575418,-0.1334906872459307,-0.13226994756347046,0.07577339063435894,0.0858603585007823,-0.15589411647826754
B2,12,K,EGF,3,K_EGF,B2_K_EGF_3,0,1,0,0.10289230297124694,0.08889270925609011,-0.09378804045670555,-0.07835140243745765,0.18268017793528354,-0.20765392402108143,-0.1343813261768163,-0.05034421922853073,0.15488935040325488,-0.07148024061206634,-0.09191104357295354,0.09308892926531595,0.15210488655350343,0.17289953434831015,0.09513009254011037,0.08672209691939292,-0.13374573532146242,-0.0811387069592161,0.14886309699683953,-0.0794099225126311,-0.159208417043381,0.08196116173103755,-0.07007011698735867,-0.047029121463120716,-0.1653159001409117,-0.10677678398970299,-0.09458045119000999,-0.15686149444982256,-0.10117951433318192,0.19728910562458002,-0.06254198482566466,0.06301943729773846,-0.07259736529467797,-0.20150315932920126,-0.22778476317095162,0.03909519726358567,0.15763978832465803,-0.10905370793890298,-0.10684313418158092,-0.1893249414296431,0.14384869232463757,-0.048616804611242855
B2,13,K,WNT5A,1,K_WNT5A,B2_K_WNT5A_1,0,1,0,0.251078084663642,-0.09615715490838264,0.13332507242201222,0.13303968138906125,0.18876280740395804,0.09605569772880995,0.02927523714149015,0.046620600191443325,-0.08334782467801832,0.04144845297419258,0.07751413300637672,0.12477814000331597,-0.08188681768602783,0.07420756494140107,-0.04542008076008619,-0.056747984489698665,0.10805105320282155,0.06103243209342511,0.09996531546275175,-0.04089126273664097,-0.07989041894212079,-0.058732602668151015,0.11617268214962612,0.039595541096282466,0.11952206972971001,0.06306340593140675,0.06609968744557712,0.03478792783139581,0.07004879587368917,0.04180240224412895,0.06462894139111312,0.05255524409151277,0.04179755547260141,0.14939839694721785,0.45551697154058,0.04445531804832069,0.04449880820486654,0.036454236167812966,0.034497704873288904,0.06596041952372564,0.03843549836603733,-0.028788829443207944
