batch,barcode,genotype,media,replicate,culture,condition,A,K,P,111Cd_CD44,113In_CEACAM1_CD66a,115In_Pan-CK,116Cd_GFP,127I_IdU,141Pr_pPDPK1_S241,142Nd_cCaspase 3_D175,143Nd_C-MYC_1,145Nd_pNDRG1_T346,146Nd_pMKK4_SEK1_S257,147Sm_pBTK_Y511_1,148Nd_pSRC_Y418,149Sm_p4EBP1_T37_T46,150Nd_pRB_S807_S811,152Sm_pAKT_T308,153Eu_pCREB_S133,156Gd_pNF-kB p65_S529,157Gd_pMKK3_MKK6_S189_207,158Gd_pP38 MAPK_T180_Y182,159Tb_pMAPKAPK2_T334,160Gd_pAMPKa_T172,161Dy_pBAD_S112,162Dy_LRIG1_1,163Dy_pP90RSK_T359_Hu,164Dy_pP120-Catenin_T310,165Ho_Beta-catenin_Active_1,166Er_pGSK-3b_S9,167Er_pERK_1_2_T202_Y204,168Er_pSMAD2_3,169Tm_EPHB2,170Er_pMEK1_2_S221,171Yb_SOX9_5,172Yb_cCaspase 8_D387,173Yb_Cyclin B1_2,174Yb_Clusterin_1,175Lu_Survivin_2,176Yb_FABP2,191Ir_DNA 1,193Ir_DNA 2,194Pt_Cisplatin,209Bi_DiMeHH3_K4,89Y_pHH3_S28
B2,37,A,Ctrl,1,A_Ctrl,B2_A_Ctrl_1,1,0,0,-0.04858121627230336,0.0718450744953207,-0.18311605337428288,-0.10771952673987101,0.08914515689237264,-0.0687548015074918,0.10943069966811814,-0.04093295587631627,-0.06339464380888131,-0.0714055700844648,-0.04355771118705556,-0.08212667984341698,-0.07401348554210024,-0.12982986514538572,-0.10451698978154975,-0.07482605158794173,-0.12024009238817664,-0.06812604540756688,-0.09635327122919357,-0.09065204657236217,-0.06749824250088357,-0.046549509640583825,-0.07058445572854673,-0.11126710096899928,-0.09572214549511567,-0.10238622652377385,-0.06300538397402392,0.06700738150094461,-0.048016630479415574,-0.07789149279396906,-0.07010303892582113,-0.07618406005345778,0.05709294718214199,-0.15016552961962287,-0.19723502813584093,-0.02089118076074082,-0.0522239484564009,0.0288622007136953,0.03741751971104499,-0.20043371067638135,-0.09836423552376666,-0.03639121488478248
B2,38,A,Ctrl,2,A_Ctrl,B2_A_Ctrl_2,1,0,0,-0.0422375722309956,-0.08424451175151494,-0.09787031281881868,0.049673708809806094,-0.10126944534322807,0.05186420227367594,-0.032691551416417185,-0.023483895585203786,0.03163096557996286,-0.02581593055023788,-0.02176771050692297,-0.02882349752363042,0.03291170141011955,0.048113950514422396,0.051533056388501614,0.06942892168409252,-0.05189020782304501,0.02051674292375759,-0.033845097160625434,0.05388604954656406,0.030280555503006935,0.04654656231798523,0.042753114251869714,0.05051085877899956,0.029267210825531825,-0.0428689462092678,0.019782739943512897,-0.028636504635487475,0.028142071342750243,0.06979300577009234,-0.036026375850400985,0.023773245682410384,0.03003579496149875,-0.05456540341010901,-0.0870024419397527,-0.018938210057046573,0.03977781457166141,-0.017469273294318487,-0.017817580835201872,-0.04682897496837972,0.026868917047886243,-0.037438377747531996
B2,39,A,Ctrl,3,A_Ctrl,B2_A_Ctrl_3,1,0,0,0.07376311881347436,0.050622237281398114,0.27012931387536787,0.11666019069098549,0.10932993297961241,-0.03155968303349065,-0.10405691097117695,0.03716662419697223,0.041094659594878964,0.055883910472813395,0.03329632478181507,0.09305439498648244,0.045502223001722436,0.07083388413037593,0.0586902583614384,-0.06168247761144075,0.12345712332215295,0.06376796111478145,0.08237219091489073,0.06911711488756586,-0.04400657133946789,-0.042716953219601256,0.047550482018339175,0.06040886181750316,0.08305191470043014,0.09785714104478492,0.07237904220988504,-0.048868180521672674,0.04432434900637884,-0.04314500128489748,0.07744292089801515,0.06998099520067079,-0.05784498441152003,0.17548444751466563,0.30673605073926347,0.031031356488735177,-0.06230054624778363,0.03323413700020647,-0.03630309067502788,0.17224167898708398,0.10270463931449847,0.031768761350579294
B2,43,A,WNT3A,1,A_WNT3A,B2_A_WNT3A_1,1,0,0,-0.36538057556654463,-0.23936842005449405,-0.42855921117635365,-1.0572376800177186,-1.027963535566248,-0.8481815084449957,0.22483979077157532,-0.20764301552679973,-0.3707234787021727,-0.36276661798797416,-0.3944376426553918,-0.7406564801759499,-0.6421081710902852,-0.9578323279202753,-0.6075284321327857,-0.651212991138227,-0.47449510394497774,-0.5169854499786488,-0.8724546640276895,-0.6785990707169419,-0.7823841660146045,-0.6190598744277671,-0.6384650162197153,-0.7985129386866019,-0.9553186098110904,-0.07474759664890554,-0.12660640095376824,-0.5515209369566867,-0.15955868210623245,-0.3254968951092917,-0.29724277568962043,-0.6623903098394474,-0.09693527374990098,-0.14821447660336107,1.1054411422336043,-0.2940865676253372,-0.4087866866817478,0.029803306807351156,0.034538379249099777,-0.18631408031767865,-1.4021722648359616,-0.19210107611221033
B2,44,A,WNT3A,2,A_WNT3A,B2_A_WNT3A_2,1,0,0,-0.41032915674398146,-0.18056551611313776,-0.3866772421871977,-0.9493560887722395,-1.15143348658953,-0.9172388338981832,0.25188254402618904,-0.22122547203975984,-0.39359623897253226,-0.4106772093203094,-0.4257515457778932,-0.6471093289580903,-0.6981598702693301,-1.0057372501312072,-0.6795515884404313,-0.6912920320628572,-0.5034729738117609,-0.5222444718177468,-0.9255561643002796,-0.7297163204022837,-0.842549258646792,-0.6801726823957661,-0.7365488041307631,-0.8463923666688218,-1.0052106434505206,-0.11595145003294924,-0.18853870279620177,-0.6137298592875098,-0.20046550123238993,-0.3418107941004003,-0.34149319572045955,-0.6779919041971888,-0.11354389465239126,-0.19875868374364067,0.8787706744294682,-0.35583247659021294,-0.4482351523360227,-0.04820173202759126,-0.04772409197983703,-0.27529905108870967,-1.3410771566607274,-0.2300825863588178
B2,45,A,WNT3A,3,A_WNT3A,B2_A_WNT3A_3,1,0,0,-0.3934595955385915,-0.26813462733540877,-0.39647368500194824,-1.1164073413789053,-1.163454225845251,-0.934576859274582,0.24378532902953168,-0.22376081403423242,-0.40868844918260117,-0.418714129746353,-0.42345376663750706,-0.6914455608043284,-0.6887298455601358,-0.9362314298865837,-0.6099133691522556,-0.6985054098274317,-0.4725416509718548,-0.5137765328461288,-0.8643115970830901,-0.7097626074456377,-0.8178515464474357,-0.6994017486851107,-0.614360185596271,-0.8148407188290816,-1.018100713826187,-0.11752505603222008,-0.23973659281808277,-0.6805601205030097,-0.14625949226803472,-0.31311897817335077,-0.276585505326564,-0.6534403678841235,0.07217061865758802,-0.16914213396973216,0.9926943786179117,-0.3367594170586542,-0.4831553717060822,0.03451595953636398,0.03603210127224965,-0.20719371680134224,-1.4464769131640884,-0.2681118003960156
B2,55,A,TGFB2,1,A_TGFB2,B2_A_TGFB2_1,1,0,0,-0.11138429401002196,0.07392258218922743,0.23076019142706794,-0.517574198898263,-0.858674365866047,-0.3186756204112098,0.19606467676776052,0.04313963909220014,-0.11511785367396084,0.061458574878856184,-0.0526863609329718,-0.3492732752715022,-0.29625117934697237,-0.3694089930618214,-0.24478511624922752,-0.24238336469027644,0.09483474688831448,-0.09921458674072416,-0.2736239341147231,-0.19187197845220905,-0.254331789259462,-0.15290105315423078,-0.25955375247525414,-0.1439785128699232,-0.32189451442195705,0.09873691075660002,0.08175490419678783,-0.19505588588729306,0.052349463554277754,-0.09707960525924023,0.05327880598887049,-0.19629912086519757,0.0613995974464919,0.10024519106479013,0.6691622607047096,-0.06842916140901956,-0.12027082926839733,0.08272732084505005,0.0810244268873627,0.6521787212161697,-0.46583743449387843,-0.07345637324549639
B2,56,A,TGFB2,2,A_TGFB2,B2_A_TGFB2_2,1,0,0,-0.05456950565613026,0.0846624663403835,0.20116039307135625,-0.22132293053747837,-0.8009158616380527,-0.29885020877342705,0.0921303930187615,-0.041496365072128054,-0.14790755894514923,-0.07493230081224724,-0.1130497488128945,-0.14803423773028995,-0.21112295377662013,-0.25530058482578993,-0.1862805957603481,-0.16928496598649068,-0.07215617774752794,-0.14345543416641884,-0.17605243256933165,-0.18294225015659796,-0.22733038533101121,-0.1313325263989535,-0.22868987142486807,-0.14266015264557497,-0.21637729623248705,-0.027020734713873115,-0.03813001569411324,-0.22551358942965308,-0.07096535463376619,-0.12192991007881804,-0.07332712324970082,-0.1542630119784642,-0.027524932098100707,0.0844825809242992,0.5108237697607301,-0.06849721738002013,-0.14342567076217327,0.03865777491293251,0.03687355173788727,0.5633584027359704,-0.2900485001121707,-0.06374224091450209
B2,57,A,TGFB2,3,A_TGFB2,B2_A_TGFB2_3,1,0,0,-0.17197810401767633,0.08961060091489807,-0.21270351087762138,-0.4298477618262761,-0.3743183471206756,-0.34412212054944324,0.2201210542337872,-0.0836954114206771,-0.2033823567408499,-0.11611737503552412,-0.17898679150129704,-0.3469158309937196,-0.3626170708694453,-0.45069751812093717,-0.29578729040595125,-0.28875387633690164,-0.1911299167441736,-0.2283259437273773,-0.3684623974320777,-0.2492850819811082,-0.34644620947267907,-0.244841921721914,-0.36876932362496556,-0.3034595808611693,-0.4654347009114509,-0.10519221004027786,-0.11502094754743761,-0.24997040343665558,-0.08319980450955103,-0.173953077473877,-0.1532847547438474,-0.27741348720954806,-0.044770015255486705,-0.10869932630507151,0.4064324370775066,-0.10818741891634254,-0.22151045760940807,0.055035148943162304,0.05204512730912951,-0.04880861167015825,-0.6759572186760889,-0.13502713030921298
B2,58,A,TGFB1,1,A_TGFB1,B2_A_TGFB1_1,1,0,0,-0.2555572970364102,-0.2554327741861616,-0.1919174323605872,-0.5982415922881634,-0.8716620286554739,-0.6340042686108229,-0.07534154533190629,-0.20009985353634693,-0.2763622237331223,-0.31442886515766255,-0.3763099088347014,-0.4462471682340604,-0.47524199287315083,-0.5388090159968322,-0.4476586421599193,-0.4410962580429376,-0.34521150275733886,-0.41715038262705495,-0.5678624062976027,-0.5066378302183622,-0.629727626538052,-0.4603876580179421,-0.4238275764235064,-0.5045124621584514,-0.6462646151009954,-0.1586474725311463,-0.21643805668332186,-0.5149614417447359,-0.1774224383712099,-0.1353655324356749,-0.26484996742059924,-0.4540562736689142,-0.1629557546648911,-0.2561309494457721,0.4747828917407425,-0.24756091207937292,-0.31823872802711756,-0.09614806634243184,-0.08902660188794065,-0.31459887527893393,-0.7984609645233487,-0.17728535108568905
