batch,barcode,genotype,media,replicate,culture,condition,ligand,inhibitor,A,K,111Cd_CD44,113In_CEACAM1_CD66a,115In_Pan-CK,116Cd_GFP,127I_IdU,141Pr_pPDPK1_S241,142Nd_cCaspase 3_D175,143Nd_C-MYC_1,145Nd_pNDRG1_T346,146Nd_pMKK4_SEK1_S257,147Sm_pBTK_Y511_1,148Nd_pSRC_Y418,149Sm_p4EBP1_T37_T46,150Nd_pRB_S807_S811,152Sm_pAKT_T308,153Eu_pCREB_S133,154Sm_pSMAD1_5_9,155Gd_pAKT_S473_3,156Gd_pNF-kB p65_S529,157Gd_pMKK3_MKK6_S189_207,158Gd_pP38 MAPK_T180_Y182,159Tb_pMAPKAPK2_T334,160Gd_pAMPKa_T172,161Dy_pBAD_S112,162Dy_LRIG1_1,163Dy_pP90RSK_T359_Hu,164Dy_pP120-Catenin_T310,165Ho_Beta-catenin_Active_1,166Er_pGSK-3b_S9,167Er_pERK_1_2_T202_Y204,168Er_pSMAD2_3,169Tm_EPHB2,170Er_pMEK1_2_S221,171Yb_SOX9_5,172Yb_pS6_S240_S244_2,173Yb_Cyclin B1_2,174Yb_Clusterin_1,175Lu_Survivin_2,176Yb_FABP2,191Ir_DNA 1,193Ir_DNA 2,194Pt_Cisplatin,209Bi_DiMeHH3_K4,89Y_pHH3_S28
B1,1,A,Ctrl-Ctrl,1,A_Ctrl-Ctrl,B1_A_Ctrl-Ctrl_1,Ctrl,Ctrl,1,0,0.3450257835081684,-0.12933100265091044,0.1332913794641638,4.718504249540626,-1.0412917266375152,-0.43136731384139515,-0.0832938981050864,0.11768906852327038,0.24529926572341582,0.16199861387632541,0.16934586056615525,0.458295450736139,0.32734017517035136,0.5054439256138871,0.47518855905845697,0.3118949264451536,0.18318818950941415,0.14575787066875404,-0.06363739618964699,0.16845528245821909,0.4164621866017191,0.5620143949017344,0.3419990405763782,0.5356272559331497,0.5113055413368094,0.26437198288348485,0.406861853941379,0.1906545624916091,0.10709995750725676,0.2478623976235797,0.12038262874906153,0.22725110700763967,0.1653413678194104,0.32171304495749736,0.3386547556132481,-0.2650430237798667,-0.2980112642625531,0.2718583770989513,-0.3618342060558133,-0.2312184183760564,-0.2315752867213611,-0.256605688007666,0.5040457627727585,0.09684284133382295
B1,1,AK,Ctrl-Ctrl,1,AK_Ctrl-Ctrl,B1_AK_Ctrl-Ctrl_1,Ctrl,Ctrl,1,1,0.9519843324291551,-0.17363614321487394,-1.1355552457223395,4.448973259417518,1.9162635646114974,-0.6413390717424846,-0.9545736354160611,-0.42236000090910103,-0.4546823086843613,-0.4027352206462928,-0.6776604523542036,-0.46210520620379236,0.4438328078663944,0.6268433444798214,0.5017330921226469,-0.5104895281642455,-0.4855601507469033,-0.38495479428794616,-0.7807623218333426,-0.5798149933344938,-0.45144289334146176,0.292713609701706,-0.4665721679059108,-0.7883632976957466,0.6233973533855167,-0.6003881243618432,-0.4121167420665687,-0.589504164971633,-0.36022351986965745,-0.5200139383366028,-0.3375862671963439,0.7811883127313629,-0.5749564476137871,-0.24583111311067699,-0.474644528509291,-0.81573827007407,-1.4357520847826908,-0.0928553303936059,-1.0416218171928417,-0.8751992683116561,-0.8739111074447936,-0.5649663224114128,-0.7751180104722072,-0.2923363940886999
B1,1,K,Ctrl-Ctrl,1,K_Ctrl-Ctrl,B1_K_Ctrl-Ctrl_1,Ctrl,Ctrl,0,1,0.3741951104423417,0.4325275957958196,-0.21479644082257296,-0.1675431667477786,-0.4524808193934635,-0.5213815498370276,-0.48434880037205236,-0.3736956784586963,-0.3270148662151502,-0.46440322009529067,-0.38204508196484943,-0.27424836939837893,-0.1854062670467369,-0.40203185520912804,-0.3240571803258835,-0.3219127121304289,-0.35555348487176586,-0.5015638806248895,-0.6361227850868055,-0.4602948298805784,-0.29060633098410266,-0.3641432453859433,-0.3372723727623219,-0.6677749912557547,-0.4957404493198035,-0.5704127518310116,-0.4337216741428743,-0.3375603256302729,-0.3530419382327855,-0.5982503461807566,-0.16048332388630498,0.1996397088053166,-0.4726403699600688,-0.4437935975531025,-0.4130444280419606,-0.5530832684862232,-0.948053690546292,-0.20331920112893237,-0.8727064240805247,-0.3176063189362798,-0.3157853416291563,-0.2662958272132923,-0.32940654760051263,-0.29056830553113633
B1,1,WT,Ctrl-Ctrl,1,WT_Ctrl-Ctrl,B1_WT_Ctrl-Ctrl_1,Ctrl,Ctrl,0,0,-0.040062753993283816,0.10959155973614018,-0.04131235159987723,0.01632313750912143,-0.29633925948456286,0.019305058682273092,0.05690869581256816,0.023420460427900143,0.017235055972323884,0.03337791822361226,0.036179232961707275,0.020832344390586774,0.06078193238576744,-0.023049367036572156,-0.023205697337966052,0.03034770564320534,0.012339450565835708,0.0067331240203040285,-0.01031382113378118,-0.026835038181593475,0.012176880696530754,-0.03870969830018905,0.023776263679444173,0.043948134322632795,-0.03631541547472872,0.022484305644785395,0.023950988795996032,0.022901750688634294,0.019219075922245362,0.04189846436455814,0.015351175863326284,0.015158044448696756,0.017238502778323134,0.012741206257687685,0.01903404493041865,0.06981244178571332,0.035177092513281584,0.007108548320711455,0.10118469607237186,0.00483731670067867,0.004111977876632079,-0.029531554578531446,-0.07395317538755541,0.02726244184156404
B1,2,A,Ctrl-Ctrl,2,A_Ctrl-Ctrl,B1_A_Ctrl-Ctrl_2,Ctrl,Ctrl,1,0,0.36639239937184603,-0.11763545657006844,0.09212898898916436,4.848691846102401,1.1990442261470835,0.48243564173603215,-0.06457066841447445,0.22874981368441302,0.2789610689903101,0.20043998776999924,0.27609216166873574,0.6428443860625084,0.3248912970003325,0.6633250486757826,0.6068275692389741,0.30024817135575765,0.2787674910736215,0.2050819192099041,0.1467690940636471,0.3324191463034473,0.5412676016235806,0.5141387894251003,0.41947317177018134,0.5019034170796391,0.5787880056283499,0.2974686084222868,0.5172518378221941,0.2724207102222535,0.14011581342768092,0.2601914643728107,0.22395968857207776,0.2128767126411567,0.26217584405727895,0.41215307706230814,0.39648875444988596,-0.24131422297634347,-0.17715170744876313,0.37506015637522905,-0.32208047877465634,-0.23044284414997965,-0.23441338870262196,-0.20719588231631084,0.6062352259082349,0.13400465544936516
B1,2,AK,Ctrl-Ctrl,2,AK_Ctrl-Ctrl,B1_AK_Ctrl-Ctrl_2,Ctrl,Ctrl,1,1,0.7801162484309692,-0.41297714760477094,-1.1468667527862553,4.392708717409794,2.4233851444877743,-0.6451422573354676,-1.093190076920095,-0.48241804689699497,-0.5553783525515582,-0.5190357722139706,-0.723779150568214,-0.45260183650315494,-0.337988187778841,0.5112872075919321,0.48292542405833466,-0.6388679225854081,-0.5280195678042428,-0.44625410657729186,-0.8201773629068303,-0.6344690437193214,-0.46256333984302844,0.3145304296847009,-0.5111001435037106,-0.8735360417791302,-0.1592201522999971,-0.6977662821519044,-0.4860233949342263,-0.678581209289717,-0.48252948004400786,-0.6468948666433995,-0.3982455016488741,0.3231410823608621,-0.6248980368060324,-0.27556011102013545,-0.4954523301131185,-0.8980797195229103,-1.4446746404938697,-0.11399019170899857,-1.1197406483471424,-0.831866516295393,-0.8289519038317406,-0.6543084660116666,-0.7922315284552699,-0.359346804216458
B1,2,K,Ctrl-Ctrl,2,K_Ctrl-Ctrl,B1_K_Ctrl-Ctrl_2,Ctrl,Ctrl,0,1,0.45213092584402,0.398345409767056,-0.11311824969975826,-0.1485061186711628,-0.19259893974322576,-0.46919326428695585,-0.38675776964536934,-0.3243668994959827,-0.2848046526232911,-0.41643562513501686,-0.29571985160022557,-0.20373998223340636,-0.13444691181176613,-0.3465986169074442,-0.2380449705472013,-0.34094812134198726,-0.2878396312286012,-0.44760220846000043,-0.5634557655674468,-0.39745632449435264,-0.24294160418581012,-0.3386155210413434,-0.28403459301552514,-0.6696395618898288,-0.5403394612029356,-0.5296577766379342,-0.38692674031896135,-0.2903745075362464,-0.33330292771281744,-0.605038125922059,-0.0768444279180359,0.19048399319319156,-0.4022898176705115,-0.3932411964838631,-0.39008662654215903,-0.5381216335334671,-0.9511007081657736,-0.13788854242388035,-0.8300371930353776,-0.35026053931125,-0.34841811871224715,-0.28761896233501094,-0.27925004604704584,-0.27295317893857374
B1,2,WT,Ctrl-Ctrl,2,WT_Ctrl-Ctrl,B1_WT_Ctrl-Ctrl_2,Ctrl,Ctrl,0,0,-0.009992314356107078,0.015211619818544264,0.028169211265322725,0.0037985421810389107,0.1494314927948382,-0.01763408828441727,-0.006410801642604385,-0.010386464940216604,-0.00967211394153809,0.007674715348225303,-0.009397724670711234,-0.015119358358290962,0.00905646936007723,0.020038680159513243,0.019602097035073762,0.025854651090091208,-0.010033075634297329,0.014638970285509867,0.013020453381298156,0.01925144751633188,0.01656270802654501,0.023013164869003455,-0.01484048798318775,0.027796622344655995,0.02772784831716462,-0.01772003318394049,0.01759626225751768,0.008903591975597496,0.01782509981064522,-0.01287634992541894,0.0060798192633912,0.014868240581163709,0.0090972044785735,0.02240678604458413,0.018444902419240173,-0.012479499435596255,0.02881575963004719,-0.008249853362827936,0.02064396319837686,0.007341337641816091,0.006855097622731619,0.01479563513270914,0.02411304260942431,0.00925813231687406
B1,3,A,Ctrl-Ctrl,3,A_Ctrl-Ctrl,B1_A_Ctrl-Ctrl_3,Ctrl,Ctrl,1,0,0.3805688649779009,-0.059275214231267755,0.23067725885286644,4.747188987244817,-0.7981017088669935,0.40836617293533106,-0.06870356460544472,0.1986798287659142,0.31909464004811194,0.23337553634427904,0.2640342864783416,0.598701662726026,0.41933445716079887,0.6339542728020576,0.5592753550879379,0.3344536494457448,0.27639609689650224,0.22289504473922706,0.1613196667688993,0.28815688052820937,0.5076337608267315,0.5578297376507797,0.4135487706459609,0.5579747376282942,0.6472358098662705,0.3346946258713729,0.5341976855875418,0.30608307831777765,0.1800112322773543,0.2900568642377379,0.2039119735289492,0.3869971058266471,0.2761722448426774,0.436356100229895,0.41706936144107204,-0.23463373022727688,-0.1797245549114359,0.34680647206410586,-0.2519519602820507,-0.19909749985742944,-0.2020451600097987,-0.17794276372580048,0.5518108225697054,0.14632062942338117
B1,3,AK,Ctrl-Ctrl,3,AK_Ctrl-Ctrl,B1_AK_Ctrl-Ctrl_3,Ctrl,Ctrl,1,1,0.7661593567508423,-0.2848204864085465,-1.0152295412945476,4.362553320214505,2.093395545870562,-0.6984798510189636,-1.1464596092060966,-0.5157773249323483,-0.5503862537278252,-0.5443260074660274,-0.819205178075277,-0.46313343676114077,0.315597087950259,0.48244716505147633,0.39249030174829924,-0.5836558710505019,-0.5659492237837452,-0.4663571710803915,-0.8759276656336197,-0.7140034077918958,-0.4867441657169905,-0.281074907874716,-0.5206444430384659,-0.8344436709273574,0.3526628848974619,-0.6906766325706492,-0.4704729147102503,-0.7330862024994372,-0.47960006278060435,-0.6822329901921584,-0.4572424853079857,0.5162964923541685,-0.6678698739900034,-0.26772554740918436,-0.5291859047587495,-0.9935510462565079,-1.50387540015149,-0.14954645525342092,-1.1506659991195483,-0.8747964327183682,-0.8723521393021373,-0.6755072688958446,-0.7988575122963555,-0.34041860821161557
