replicate,162Dy_LRIG1_1,174Yb_Clusterin_1,pro_vs_rev,pro_vs_rev_log2,genotype,culture,ligand,inhibitor
1,2.7710672385765673,1.1788227558137083,4.039994370855101,1.4315894058303225,AK,AK_Ctrl-CA3,Ctrl,CA3
2,2.7788606694348723,1.06962889050569,4.572146991437654,1.6245200637657624,AK,AK_Ctrl-CA3,Ctrl,CA3
3,2.469331310089132,1.1160966518170672,3.808057036121003,1.3248440770409016,AK,AK_Ctrl-CA3,Ctrl,CA3
1,3.177450568562185,0.8833457454308028,6.076169785168271,2.1625645883400058,AK,AK_Ctrl-CHIR99021,Ctrl,CHIR99021
2,3.0857117043067825,0.8334252377028432,6.174160582625626,2.194816261863563,AK,AK_Ctrl-CHIR99021,Ctrl,CHIR99021
3,2.9827524110019414,0.7764431815916282,6.525136561556938,2.264072242749975,AK,AK_Ctrl-CHIR99021,Ctrl,CHIR99021
1,3.4759092555544306,1.011932605785445,5.617376622448203,2.0797923417621385,AK,AK_Ctrl-Ctrl,Ctrl,Ctrl
2,2.9817125702368674,1.001350439381529,4.904382495780266,1.8627712563346763,AK,AK_Ctrl-Ctrl,Ctrl,Ctrl
3,3.2282220143248153,0.9590072827737179,5.558234283379064,2.060516994611927,AK,AK_Ctrl-Ctrl,Ctrl,Ctrl
1,3.2986913046612028,1.097947561334882,4.885418971537773,1.853183608135942,AK,AK_Ctrl-Dasatinib,Ctrl,Dasatinib
2,3.1303296995025347,1.000145188419126,5.123331609403775,1.9127030626764192,AK,AK_Ctrl-Dasatinib,Ctrl,Dasatinib
3,3.0493974521364247,1.0826940520252906,4.778342737756226,1.7798728629393068,AK,AK_Ctrl-Dasatinib,Ctrl,Dasatinib
1,3.0941474256427344,1.6096887754350953,3.120212503477134,1.177570964565323,AK,AK_Ctrl-GDC0941,Ctrl,GDC0941
2,2.932721489075154,1.4987682066724024,3.1696240834095297,1.1853680666918522,AK,AK_Ctrl-GDC0941,Ctrl,GDC0941
3,2.663644360654296,1.3548410789604988,3.276924997565975,1.2184037829111047,AK,AK_Ctrl-GDC0941,Ctrl,GDC0941
1,3.00420099452803,1.1315936938333329,4.375040792839259,1.7053983424957793,AK,AK_Ctrl-ICG001,Ctrl,ICG001
2,2.623243929978699,1.0155957561114073,4.268272235913401,1.6601036640209594,AK,AK_Ctrl-ICG001,Ctrl,ICG001
3,2.638568182215555,0.9190303668159837,4.838477203614537,1.8104096490516874,AK,AK_Ctrl-ICG001,Ctrl,ICG001
1,3.0030870483897005,1.448011972357408,3.233873339320612,1.2313943202704252,AK,AK_Ctrl-PF573228,Ctrl,PF573228
2,3.054054004988251,1.3998203987098703,3.383389381268554,1.3148467225564267,AK,AK_Ctrl-PF573228,Ctrl,PF573228
3,2.9727044273737344,1.346878711719252,3.3869890389733013,1.3264722934986917,AK,AK_Ctrl-PF573228,Ctrl,PF573228
1,3.0462416225553683,1.0395659291212092,4.761319483636075,1.8333907559530762,AK,AK_Ctrl-SIS3,Ctrl,SIS3
2,2.8063073367192763,0.9010419349023414,5.32170026278265,1.9538613336383648,AK,AK_Ctrl-SIS3,Ctrl,SIS3
3,2.9512640551466784,0.8852798314442442,5.534302687255522,2.035885435134841,AK,AK_Ctrl-SIS3,Ctrl,SIS3
1,2.658050235264248,1.5151617471629637,2.6678397698381326,0.9544430347597919,AK,AK_Ctrl-Trametinib,Ctrl,Trametinib
2,2.7068088438038567,1.4555664437953526,2.9168350180699347,1.1002998064225549,AK,AK_Ctrl-Trametinib,Ctrl,Trametinib
3,2.782179478516228,1.5792514498570072,2.724944915694737,0.983917560857922,AK,AK_Ctrl-Trametinib,Ctrl,Trametinib
1,2.9990911714931765,1.1197997429555284,4.55138443564379,1.640476281088721,AK,AK_EREG-CA3,EREG,CA3
2,2.8245339081015577,1.182030894234292,4.062607502016552,1.4589631041979099,AK,AK_EREG-CA3,EREG,CA3
3,3.0113926597256566,1.1313217546901642,4.422282871056098,1.6080709451885293,AK,AK_EREG-CA3,EREG,CA3
