batch,barcode,genotype,media,replicate,culture,condition,A,K,P,111Cd_CD44,113In_CEACAM1_CD66a,115In_Pan-CK,116Cd_GFP,127I_IdU,141Pr_pPDPK1_S241,142Nd_cCaspase 3_D175,143Nd_C-MYC_1,145Nd_pNDRG1_T346,146Nd_pMKK4_SEK1_S257,147Sm_pBTK_Y511_1,148Nd_pSRC_Y418,149Sm_p4EBP1_T37_T46,150Nd_pRB_S807_S811,152Sm_pAKT_T308,153Eu_pCREB_S133,156Gd_pNF-kB p65_S529,157Gd_pMKK3_MKK6_S189_207,158Gd_pP38 MAPK_T180_Y182,159Tb_pMAPKAPK2_T334,160Gd_pAMPKa_T172,161Dy_pBAD_S112,162Dy_LRIG1_1,163Dy_pP90RSK_T359_Hu,164Dy_pP120-Catenin_T310,165Ho_Beta-catenin_Active_1,166Er_pGSK-3b_S9,167Er_pERK_1_2_T202_Y204,168Er_pSMAD2_3,169Tm_EPHB2,170Er_pMEK1_2_S221,171Yb_SOX9_5,172Yb_cCaspase 8_D387,173Yb_Cyclin B1_2,174Yb_Clusterin_1,175Lu_Survivin_2,176Yb_FABP2,191Ir_DNA 1,193Ir_DNA 2,194Pt_Cisplatin,209Bi_DiMeHH3_K4,89Y_pHH3_S28
B2,37,KP,Ctrl,1,KP_Ctrl,B2_KP_Ctrl_1,0,1,1,0.0925449053164885,-0.0798040029485116,-0.0924686401708604,-0.0436384573976278,0.1431941150273489,0.0716842522105088,0.0388639749379837,-0.0153415302100805,-0.0448906706133533,0.0386870578390003,0.0693573239862431,-0.0478527126559408,-0.0459397657423382,0.0562923703284093,-0.0332043264583455,-0.0706075175584913,0.0626093686121768,0.0457923832774074,0.0666411198367713,0.0543817402609808,0.0861388071480192,-0.0159706214601669,0.0972004120828241,0.0242284221430437,0.0640853502705549,0.0464665574231233,0.0209788609954827,0.0652710174802988,0.039992859188412,0.0145693478263592,0.03354672743428,0.0430738461536271,0.035605149736141,0.1519941830070351,0.1606585390719118,0.0489110182075408,-0.0598801465917589,0.0207844528086742,0.0203108339302003,0.0294045779850009,-0.0589167979358092,0.0226329860016383
B2,38,KP,Ctrl,2,KP_Ctrl,B2_KP_Ctrl_2,0,1,1,-0.05592768496215,0.0841660231583646,0.1050372160509972,0.051228680863517,-0.0831022162972508,-0.0571800714101952,-0.0310108865765004,0.014782833690389,0.0642300281537657,0.0318598045604559,-0.0347901158570142,0.0484713853209276,0.053942621472884,0.071563435666261,0.0309272144627885,0.0889463802587959,-0.0284145097662713,0.0266355224491289,0.0578668462012521,0.0426119594939002,-0.0632029503802337,0.0260338669955351,-0.0238390420197551,0.0292530849291764,-0.0536847526226727,-0.0181287541168376,-0.0140088065441412,-0.0365537895367019,0.0191588734542617,-0.0152868959513441,-0.0186717654971565,0.0337130087989556,0.0163536316512215,-0.0460517703555343,-0.0539104937482032,-0.033218638297094,0.1133223426171518,-0.0111142628326728,-0.0105968741560677,-0.1015788609816592,0.0722197371031755,0.0176312512830943
B2,39,KP,Ctrl,3,KP_Ctrl,B2_KP_Ctrl_3,0,1,1,-0.0361247904963105,-0.0263850067664252,-0.0366143193379034,-0.0282941968803321,-0.0580101791613492,-0.0913681655947826,-0.0495161507436383,-0.0365134591980209,-0.0575343114579937,-0.0485663601045545,-0.0885176705484371,-0.0508267973225886,-0.0710810237999356,-0.0700856862462052,-0.0365318774820903,-0.0400238730024914,-0.092296267614763,-0.0584877269633068,-0.0832550107150656,-0.0553032641797845,-0.09074643415417,-0.0241580034176038,-0.0972627376555448,-0.038358510375852,-0.0818307125477723,-0.0650567750862772,-0.027290378120087,-0.04514036688019,-0.0593352265826228,-0.0287730896558663,-0.0467188655080414,-0.0691349877637959,-0.0538342299298632,-0.1468980164011704,-0.1286578192091533,-0.0245402807694936,-0.0911809972898672,-0.0165133790350831,0.0172008415695277,0.115308435482081,-0.0464291564326083,-0.0403675394309832
B2,43,KP,WNT3A,1,KP_WNT3A,B2_KP_WNT3A_1,0,1,1,-0.1314855326358404,-0.5835085784046788,0.10602763158581,-0.1701211828047582,-0.3688350037679867,-0.609622646855522,0.1169972720508239,-0.1269390165374906,-0.222789772827555,-0.2317830326306515,-0.3153167309061014,-0.3595317298374251,-0.6075818599843036,-0.5972742345118156,-0.3987981960913088,-0.5412660351299996,-0.2613386316390679,-0.2646640771215625,-0.570726964818463,-0.2836529334371784,-0.5032127728736087,-0.2711808700512804,-0.3530080388103571,-0.2888982715707087,-0.5565061684657652,-0.1602380912479443,-0.1033525939079828,-0.3034789926844353,-0.1530226236805701,0.238751120919256,-0.202507544244206,-0.3200881844285521,-0.1655082323076266,-0.1725725138017992,1.5736492539461835,-0.2406389160271171,-0.3022969547321356,-0.0980762915927792,-0.0955495738138405,0.09982197988474,-0.8171542313911412,-0.1593092251650135
B2,44,KP,WNT3A,2,KP_WNT3A,B2_KP_WNT3A_2,0,1,1,0.2290884562249376,-0.4534827908857244,0.2169197917667741,-0.2431792252294946,-0.2200352286290213,-0.6225953616602251,0.1652550497893682,-0.0887863397968276,-0.3293237332201776,-0.1970064642483605,-0.3083685915333592,-0.4202070943275267,-0.6803762397225271,-0.6202245706840552,-0.3922280746581241,-0.6361439189550108,0.2950468456004864,-0.2488633019868147,-0.5283733618438865,-0.2830579726627841,-0.5055024535767143,-0.3442258281903361,-0.2877630997974053,-0.3483229526487679,-0.596711263253093,-0.0827787218185302,-0.133353475372035,-0.2678348354417438,0.1430855729386952,0.3192246152163722,-0.1516946942496016,-0.2944146988515255,-0.1169479284896569,-0.1812375789258087,2.0503760841345526,-0.1898589177982662,-0.4489799840369882,-0.0647925660488031,-0.0627991366744134,0.0870573544155898,-0.7586212834356728,-0.1306825664334648
B2,45,KP,WNT3A,3,KP_WNT3A,B2_KP_WNT3A_3,0,1,1,0.240199476316423,-0.3452741796807236,0.2066371032403481,-0.1976203181034593,-0.3253953920528368,-0.5187661513854176,0.1011467560975834,-0.0835955310112725,-0.2600763688597228,-0.1964838760916214,-0.244407044760797,-0.354784561406026,-0.5661720861033563,-0.5093347107886755,-0.3400856620890231,-0.4844079054386163,0.2315939143930383,-0.2293944617147167,-0.4496985654597262,-0.2093125443914013,-0.4485574348327026,-0.2563276650679822,-0.1222268556390835,-0.2603866218981628,-0.457611169169196,0.0600876134936837,-0.0936462211348085,-0.2436505372086875,-0.1104978298508503,0.4117853917127863,-0.1154884297245697,-0.2399485482526126,-0.102603116622,0.0693979644486092,1.7527042063431295,-0.1649797968382757,-0.3214691829965643,0.0701009143341692,0.0678834792416761,0.0918257906088739,-0.6939526908017982,-0.0904325084502106
B2,46,KP,EGF,1,KP_EGF,B2_KP_EGF_1,0,1,1,0.0353926306340023,0.0628786073829135,0.0589175084362469,-0.1046701974266549,-0.391962339588661,-0.2769543927942709,-0.1076495874184144,-0.1071611250406618,-0.0646668631937136,-0.1201328534392096,-0.1396050220246535,-0.1334492145669096,-0.1538799781492287,0.1691490717750082,-0.1105946651671265,-0.166870947106045,-0.0812514609145381,-0.1239394546091586,0.1819992213397349,0.1035134669715355,-0.1985680193877593,-0.1671432063317482,0.0411558549433633,0.1087959784510083,-0.206135950678289,-0.137870657689218,-0.1350663895659281,-0.200815574498159,-0.1133664177206418,0.075067725515976,-0.1099533900285164,0.1252087440498255,-0.12060302108436,-0.1555505954800822,-0.1246819819819128,0.0582455535299006,-0.0976508265915061,-0.1067023908641481,-0.1023221585579905,0.2939500863511147,0.1841082819118585,-0.0484415556561798
B2,47,KP,EGF,2,KP_EGF,B2_KP_EGF_2,0,1,1,0.1565188802112938,0.2444530899234449,0.1766484723636132,-0.0567237193604095,-0.0912253575526994,-0.147030443555454,-0.036341014986722,0.0298156101679319,0.3359503151248867,0.0798493299297045,-0.048066240212387,-0.1016527357330092,0.1689042770268479,0.1482078275950958,0.1685260224650438,0.2285399045462602,-0.0289616206219685,-0.0491075207224461,-0.146272774683832,0.1306597477162799,0.1173027594593312,0.2440739128659216,-0.0582687393679814,0.1978123229647845,0.1314456232610703,-0.0206097365192364,0.0481693130446573,-0.0275837318465379,-0.0347463084610489,0.2543687654616393,-0.0338390860627162,0.0797895478750362,0.046153060768416,-0.1187615160582972,-0.2344228799747627,0.0679599649462705,0.0932014972164482,-0.0254282719364188,-0.0245695239488956,-0.1879312650100144,0.1635257653377492,0.0458135609898732
B2,48,KP,EGF,3,KP_EGF,B2_KP_EGF_3,0,1,1,0.2612890302368479,0.119131846200199,0.1864063141521724,0.0766085477505077,-0.2301956435421897,-0.2176474619951596,-0.0850886796076534,0.0398072847393154,0.1779278863319534,-0.0544355435923596,-0.1016478466592006,0.1886144645207969,0.151603774454351,0.3134424289509797,0.1735566338166114,0.1242762747622676,-0.0761920362917021,0.09889847026214,0.2683292737874022,0.1882259739881985,-0.1929649728744208,0.139524313595985,0.2152358290081693,0.1834502224219939,0.2381369752937431,-0.0729843260147312,0.0474259713667211,-0.0837212554549597,0.0626476714376018,0.1771720621230749,0.0551036393102755,0.183582989354803,-0.0799538641768335,-0.1883118085810528,-0.1241883988981997,0.0799110502553617,-0.0973122342651808,-0.0700283602293621,-0.0682427345930559,0.0972712318366571,0.344409020753768,0.0284224252959256
B2,49,KP,WNT5A,1,KP_WNT5A,B2_KP_WNT5A_1,0,1,1,0.1334433670832606,-0.1476676175191426,0.0991447019497715,0.0507512899257504,-0.0782002524932836,0.0337047847044467,0.0337358862780252,0.0175361140519597,-0.0423350620054018,0.0248826975488254,0.0462372642932019,0.0923314205730777,0.068166081863013,0.0586148948845761,0.0659610972827892,0.0278443016487155,0.0618176558281041,0.0583830879651943,0.0820081118140262,0.0552167130529226,0.0541699962604867,0.0470677663095665,0.1395423474386319,0.0730041730674523,0.133530008444174,0.0574952937760555,0.0817488885251558,0.0344657950893293,0.0635856246370531,0.1062788120451839,0.0607415513218081,0.0737396009713463,0.0334635714093433,0.1543772292916752,0.1614092501262192,0.0417167192881237,0.1138142755596975,-0.017710270489824,0.017003077754027,0.2401996287658496,-0.0698975616635345,0.0302591897837829
B2,50,KP,WNT5A,2,KP_WNT5A,B2_KP_WNT5A_2,0,1,1,0.1292777206970113,-0.0577986241431925,0.3374634756405211,0.1073538660105788,-0.0751885798649251,0.1190733360627767,-0.0622341268712241,0.0414957168630624,0.1973106378006087,0.0580901027539656,0.0855439486512275,0.1337443747190751,0.1172897367020641,0.2206570604092479,0.1562480227502799,0.1177327318932405,0.0889318810070232,0.0937554549628667,0.2108206159619228,0.1041372280382182,-0.1232969102382072,0.1148883619899354,0.1277154137774031,0.1126520010524188,0.1946621917143795,0.0648940057499961,0.1036434334549281,-0.0874814251649681,0.0897837151003005,0.1622088685334422,0.0904251199079358,0.1597836113994657,0.0587912561404606,0.1011438475708994,0.0993377431902481,0.0800968689136911,0.1413388300148111,0.0337498312605762,0.0354140297081346,0.2033131779731342,0.188136859573827,0.0456329913246358
B2,51,KP,WNT5A,3,KP_WNT5A,B2_KP_WNT5A_3,0,1,1,0.1751600416962383,-0.0975056908262104,0.2126599921520371,0.1484204158685609,0.2026808494019345,0.0990767592176339,0.0876776496004973,0.048563096898497,0.0910013156303389,-0.0520103297221852,0.1321725014182289,0.1947209156006568,0.0965700263910238,0.1789807719592446,0.130430865459827,-0.1354909773408238,0.1560443571600683,0.1053651304887283,0.2283677819666399,0.090529773529098,0.1157648043084291,0.1224102482198162,0.2261468438803281,0.1140311777114279,0.2162970591838507,0.0800173509300247,0.0900816141004724,0.0759708613525753,0.1181243452959757,0.0535574118415593,0.0904851785269402,0.1697192249952978,0.075091666215063,0.2143915859955722,0.2409645021861783,0.1023965302447244,0.1693649485208251,0.025794141642041,0.0296729094688268,0.1758725244036736,0.1635913770804445,0.0454260019155533
