"condition","meanEMD"
"B2_KP_Ctrl_1",0.0566155202847097
"B2_KP_Ctrl_2",0.0453124068713024
"B2_KP_Ctrl_3",0.0585638833135437
"B2_KP_WNT3A_1",0.375094312482006
"B2_KP_WNT3A_2",0.401644275620433
"B2_KP_WNT3A_3",0.334819050853348
"B2_KP_EGF_1",0.125157561395174
"B2_KP_EGF_2",0.126502404364675
"B2_KP_EGF_3",0.147680032756865
"B2_KP_WNT5A_1",0.0740277419908647
"B2_KP_WNT5A_2",0.124658092763219
"B2_KP_WNT5A_3",0.13108103230866
"B2_KP_SEMA3A_1",0.0992833159241884
"B2_KP_SEMA3A_2",0.0639968844563721
"B2_KP_SEMA3A_3",0.106531260443275
"B2_KP_TGFB2_1",0.153570191082138
"B2_KP_TGFB2_2",0.106722269997353
"B2_KP_TGFB2_3",0.100692365668053
"B2_KP_TGFB1_1",0.152611965086889
"B2_KP_TGFB1_2",0.213010928113586
"B2_KP_TGFB1_3",0.328288501453301
"B2_KP_IGF1_1",0.0961062527801546
"B2_KP_IGF1_2",0.147859879452876
"B2_KP_IGF1_3",0.105289748185801
"B2_KP_NRG1_1",0.199717674329509
"B2_KP_NRG1_2",0.20881572006729
"B2_KP_NRG1_3",0.244090840717883
"B2_KP_EREG_1",0.195737951668531
"B2_KP_EREG_2",0.159333334976491
"B2_KP_EREG_3",0.232145319098706
"B2_KP_OPN_1",0.104851604862243
"B2_KP_OPN_2",0.105842478519618
"B2_KP_OPN_3",0.1121322550335
"B2_K_Ctrl_1",0.0604647487276135
"B2_K_Ctrl_2",0.0299844353926611
"B2_K_Ctrl_3",0.0534128125289295
"B2_K_WNT3A_1",0.535422797689733
"B2_K_WNT3A_2",0.554169890448493
"B2_K_WNT3A_3",0.528642406266147
"B2_K_EGF_1",0.1429030103623
"B2_K_EGF_2",0.134658600182896
"B2_K_EGF_3",0.112695538367211
"B2_K_WNT5A_1",0.0885664507050676
"B2_K_WNT5A_2",0.146611505963903
"B2_K_WNT5A_3",0.117105080266374
"B2_K_SEMA3A_1",0.186324608841886
"B2_K_SEMA3A_2",0.0608682165566805
"B2_K_SEMA3A_3",0.101845937386137
"B2_K_TGFB2_1",0.0967554660616056
