"genotype","media","meanEMD"
"KP","Ctrl",0.0503292845695795
"KP","Ctrl",0.041672401844876
"KP","Ctrl",0.0590389444495917
"KP","WNT3A",0.364846580518035
"KP","WNT3A",0.376078274606567
"KP","WNT3A",0.310244970694359
"KP","EGF",0.146303700297239
"KP","EGF",0.120574067825508
"KP","EGF",0.147351091317561
"KP","WNT5A",0.0606634062579243
"KP","WNT5A",0.120570095238644
"KP","WNT5A",0.122661579574328
"KP","SEMA3A",0.105280592555132
"KP","SEMA3A",0.0631603867316249
"KP","SEMA3A",0.109763332227793
"KP","TGFB2",0.176065501646077
"KP","TGFB2",0.0976419391599361
"KP","TGFB2",0.0854269583654133
"KP","TGFB1",0.120833114545859
"KP","TGFB1",0.191204546892058
"KP","TGFB1",0.336411780883249
"KP","IGF1",0.104957040840699
"KP","IGF1",0.153869089906769
"KP","IGF1",0.107095630105269
"KP","NRG1",0.197808120122869
"KP","NRG1",0.20736665214857
"KP","NRG1",0.228618370040823
"KP","EREG",0.189328669679154
"KP","EREG",0.153855658592838
"KP","EREG",0.235939177530048
"KP","OPN",0.0964469243145744
"KP","OPN",0.113849537209487
"KP","OPN",0.113841084784155
"K","Ctrl",0.0555746381627372
"K","Ctrl",0.0286013624436197
"K","Ctrl",0.0454800748872961
"K","WNT3A",0.528480450420549
"K","WNT3A",0.552765321091129
"K","WNT3A",0.528135695369771
"K","EGF",0.142073316277562
"K","EGF",0.138861053222497
"K","EGF",0.114338252144059
"K","WNT5A",0.0705429129135295
"K","WNT5A",0.13237329143019
"K","WNT5A",0.121134836005786
"K","SEMA3A",0.196594246726559
"K","SEMA3A",0.0658414214853729
"K","SEMA3A",0.113023208223235
"K","TGFB2",0.0881386441086452
"K","TGFB2",0.136179706152195
"K","TGFB2",0.262198093047654
"K","TGFB1",0.386209770408047
"K","TGFB1",0.227750996862323
"K","TGFB1",0.490532474285685
"K","IGF1",0.148633690717019
"K","IGF1",0.216346444528518
"K","IGF1",0.0924332271936234
"K","NRG1",0.142338471579401
"K","NRG1",0.172536750382243
"K","NRG1",0.16230218842391
"K","EREG",0.146787219024778
"K","EREG",0.153909314797565
"K","EREG",0.126401429014809
"K","OPN",0.136307025016761
"K","OPN",0.250978403973286
"K","OPN",0.185950171853434
"WT","Ctrl",0.104549066196401
"WT","Ctrl",0.105918947380479
"WT","Ctrl",0.0340395754516171
"WT","WNT3A",0.878142053608463
"WT","WNT3A",0.828157728416103
"WT","WNT3A",0.9688034083481
"WT","TGFB2",0.268751768356176
"WT","TGFB2",0.220962481024747
"WT","TGFB2",0.295736046881847
"WT","TGFB1",0.643787537899289
"WT","TGFB1",0.651760955267149
"WT","TGFB1",0.724835465194135
"A","Ctrl",0.0949866954969291
"A","Ctrl",0.0351365921904879
"A","Ctrl",0.0885845836425017
"A","EGF",0.203466790287759
"A","EGF",0.288148425770595
"A","EGF",0.244533662710791
"A","WNT5A",0.0588723920879024
"A","WNT5A",0.0639667738281076
"A","WNT5A",0.0675457977596755
"A","SEMA3A",0.0538763019800532
"A","SEMA3A",0.0557612253000175
"A","SEMA3A",0.0765056182884055
"A","IGF1",0.0787256622144996
"A","IGF1",0.0775797014681749
"A","IGF1",0.0911093555768063
