Genotype,Cluster,ligand,receptor,prob,interaction_name,interaction_name_2,pathway_name,annotation,evidence,probWT,LFCprob,Columns
WT,Stem (Stroma),Tgfb1,TGFbR1_R2,0.0010918465286405476,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350,0.0010918465286405476,0,WT_Stem (Stroma)
WT,Stem (Stroma),Tgfb2,TGFbR1_R2,2.637431170976185e-4,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350,2.637431170976185e-4,0,WT_Stem (Stroma)
WT,Stem (Reserve),Tgfb1,ACVR1B_TGFbR2,0.0011562323394871325,TGFB1_ACVR1B_TGFBR2,Tgfb1  - (Acvr1b+Tgfbr2),TGFb,Secreted Signaling,PMID: 27449815,0.0011562323394871325,0,WT_Stem (Reserve)
WT,Stem (Reserve),Tgfb2,ACVR1B_TGFbR2,2.7939071701028504e-4,TGFB2_ACVR1B_TGFBR2,Tgfb2  - (Acvr1b+Tgfbr2),TGFb,Secreted Signaling,PMID: 27449815,2.7939071701028504e-4,0,WT_Stem (Reserve)
WT,Stem (Stroma),Tgfb2,ACVR1_TGFbR,4.6144156151772104e-4,TGFB2_ACVR1_TGFBR1,Tgfb2  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829,4.6144156151772104e-4,0,WT_Stem (Stroma)
WT,Stem (Reserve),Wnt4,FZD5_LRP6,0.0013757912507005243,WNT4_FZD5_LRP6,Wnt4  - (Fzd5+Lrp6),WNT,Secreted Signaling,KEGG: mmu04310; PMID: 23209147,0.0013757912507005243,0,WT_Stem (Reserve)
WT,Early Absorptive,Wnt4,FZD5_LRP6,9.9244894037645e-4,WNT4_FZD5_LRP6,Wnt4  - (Fzd5+Lrp6),WNT,Secreted Signaling,KEGG: mmu04310; PMID: 23209147,9.9244894037645e-4,0,WT_Early Absorptive
WT,Stem (Reserve),Wnt5a,Fzd5,4.545353708426569e-4,WNT5A_FZD5,Wnt5a  - Fzd5,ncWNT,Secreted Signaling,KEGG: mmu04310,4.545353708426569e-4,0,WT_Stem (Reserve)
WT,Early Absorptive,Wnt5a,Fzd5,2.2833267452584383e-4,WNT5A_FZD5,Wnt5a  - Fzd5,ncWNT,Secreted Signaling,KEGG: mmu04310,2.2833267452584383e-4,0,WT_Early Absorptive
WT,Stem (Reserve),Ereg,Egfr,0.0010381882864375625,EREG_EGFR,Ereg  - Egfr,EGF,Secreted Signaling,KEGG: mmu04012,0.0010381882864375625,0,WT_Stem (Reserve)
