level_0,phateepi_1,phateepi_2,curatedCLUST,VR,CCATmed,invVELOmed,dist_scaled
WT,-0.00311035,-0.00307985,TA 1,0.27191246620454046,0.301248963,0.06268998905912201,0.12576162739427266
WT,0.024983396,0.029212623,Goblet / DCS,0.22172995906983517,0.244543009,0.1131515562123829,0.14504890827613437
WT,0.037141922,0.007395661,Late Enterocyte,0.2150457525354325,0.234857537,0.1899124122989119,0.19345598273218018
WT,-0.021989501,0.000884,proCSC,0.351096696920509,0.3891121675,0.06900886625798297,0.1298016065298475
WT,0.041908917,0.035762469,Late Enterocyte,0.2291601491622314,0.234857537,0.1899124122989119,0.9366615718741687
WT,0.000936,-0.008277474,TA 1,0.2719530091819781,0.301248963,0.06268998905912201,0.13222884457618278
WT,-0.003370238,-0.00800691,TA 1,0.27143213727768,0.301248963,0.06268998905912201,0.04914190962603082
WT,0.007672833,-0.01098213,Early Enterocyte,0.24210700461469906,0.26880396900000003,0.0931566128278711,0.019690766885004096
WT,0.041299081,0.017751731,Late Enterocyte,0.21942293092450155,0.234857537,0.1899124122989119,0.42394004304623745
WT,0.008485492,0.001444799,revCSC,0.31872581440810704,0.348974281,0.054304337184330836,0.8560939602902493
WT,0.029776813,0.000425,Late Enterocyte,0.2115055311360373,0.234857537,0.1899124122989119,0.007042606347750779
WT,0.018188294,-0.006166898,Late Enterocyte,0.21263102834029918,0.234857537,0.1899124122989119,0.06630662130272852
WT,-0.002430519,-0.009770996,TA 1,0.2719338957610776,0.301248963,0.06268998905912201,0.1291799652914143
WT,0.009395586,0.007250815,ER Stress,0.2583349247674837,0.27705173299999997,0.2806624696887638,0.32025532581720867
WT,0.011714182,-0.008761414,Early Enterocyte,0.2419990392895342,0.26880396900000003,0.0931566128278711,0.008101109222766828
WT,0.037958885,0.00882651,Late Enterocyte,0.2157927374298826,0.234857537,0.1899124122989119,0.2327891092723437
WT,0.034160966,0.006815304,Late Enterocyte,0.2140960163468719,0.234857537,0.1899124122989119,0.14344681392304592
WT,0.001052559,0.01975847,ER Stress,0.25451816797189475,0.27705173299999997,0.2806624696887638,0.18426433279910065
WT,0.003500733,-0.001082801,revCSC,0.3169051409311541,0.348974281,0.054304337184330836,0.5208217571192746
WT,0.000663,-0.006845219,TA 1,0.27167489726778743,0.301248963,0.06268998905912201,0.0878657942128479
WT,-0.002410708,-0.010410834,CSC,0.30454317506053974,0.3380425025,0.0431088893442971,0.07073316320083989
WT,0.024954631,0.037641594,Goblet / DCS,0.22532152289336163,0.244543009,0.1131515562123829,0.4624607003671922
WT,-0.014211973,-0.009763429,CSC,0.30547654080725833,0.3380425025,0.0431088893442971,0.28724668533408404
WT,0.01237622,-0.012095216,Goblet / DCS,0.22573101751014618,0.244543009,0.1131515562123829,0.49865062390796433
WT,0.033225658,-0.000254,Late Enterocyte,0.21221009921762052,0.234857537,0.1899124122989119,0.04414223943935991
WT,-0.002936363,-0.010471606,TA 1,0.27227234901019043,0.301248963,0.06268998905912201,0.18316836985048424
WT,-0.000862,-0.005088853,TA 1,0.2716175264410242,0.301248963,0.06268998905912201,0.07871428092909949
WT,0.019258942,0.003381919,Goblet / DCS,0.2221721569731052,0.244543009,0.1131515562123829,0.18412905158764337
WT,-0.025022077,0.00761385,proCSC,0.3503345155662032,0.3891121675,0.06900886625798297,0.019354732724327695
WT,-0.025985829,0.011356687,proCSC,0.35073752702847794,0.3891121675,0.06900886625798297,0.07775468683574155
WT,0.013303123,-0.004233407,ER Stress,0.2548002269935555,0.27705173299999997,0.2806624696887638,0.19431409192697796
WT,-0.007365662,-0.010585882,CSC,0.30426339079065123,0.3380425025,0.0431088893442971,0.005831405316539917
WT,0.041127134,0.017566632,Late Enterocyte,0.2192951217601076,0.234857537,0.1899124122989119,0.4172101425175241
WT,0.026151945,-0.007374118,Early Enterocyte,0.2446820953423887,0.26880396900000003,0.0931566128278711,0.29611673918261516
WT,0.031408365,-0.003664091,Early Enterocyte,0.24624840302242101,0.26880396900000003,0.0931566128278711,0.4642537755652548
WT,0.002774375,0.019556316,ER Stress,0.2538202051225195,0.27705173299999997,0.2806624696887638,0.1593959259134476
WT,0.042027056,0.022215648,Late Enterocyte,0.22185618799749665,0.234857537,0.1899124122989119,0.5520652689617123
WT,-0.002090666,-0.006329104,TA 1,0.27116173228616997,0.301248963,0.06268998905912201,0.006008229820308686
WT,0.026684137,-0.005455475,Late Enterocyte,0.21239017271945576,0.234857537,0.1899124122989119,0.053624163219667176
WT,-0.009809315,-0.006499483,TA 1,0.272953751902842,0.301248963,0.06268998905912201,0.2918624217841934
WT,0.032253436,-0.002414281,Early Enterocyte,0.24664704442359303,0.26880396900000003,0.0931566128278711,0.5070463792324361
WT,0.029499111,-0.003752845,Late Enterocyte,0.21203183967078432,0.234857537,0.1899124122989119,0.034755831006211824
WT,-0.022514745,-0.001751731,proCSC,0.35151338420758715,0.3891121675,0.06900886625798297,0.19018330958817986
WT,-0.002158902,-0.008784958,TA 1,0.2715737554567074,0.301248963,0.06268998905912201,0.07173214790057614
WT,0.039547289,0.01318969,Early Enterocyte,0.2426713880884372,0.26880396900000003,0.0931566128278711,0.0802751372915319
WT,0.002806574,0.007476662,TA 2,0.25766737420848684,0.2807107795,0.0796423739900973,0.6312811141355374
WT,0.002406401,0.007612417,TA 2,0.2576145809612921,0.2807107795,0.0796423739900973,0.6246523253953491
WT,0.020375344,-0.008505682,Late Enterocyte,0.21284130341983934,0.234857537,0.1899124122989119,0.07737883490871517
WT,-0.024867317,0.01002117,proCSC,0.35035410739991896,0.3891121675,0.06900886625798297,0.022193764109433578
WT,0.022470386,0.006680577,Goblet / DCS,0.22261803097649385,0.244543009,0.1131515562123829,0.22353407775906808
WT,0.008215927,-0.011873594,Early Enterocyte,0.24212951532688787,0.26880396900000003,0.0931566128278711,0.022107204269905534
WT,0.008962168,-0.013007504,Early Enterocyte,0.2422451912536062,0.26880396900000003,0.0931566128278711,0.03452456501401746
WT,-0.026195323,0.011422864,proCSC,0.3507652644594891,0.3891121675,0.06900886625798297,0.08177408789465257
WT,0.012687534,0.002894392,ER Stress,0.2673913795689588,0.27705173299999997,0.2806624696887638,0.6429366879358458
WT,0.003959782,-0.009241368,TA 1,0.2739142108185596,0.301248963,0.06268998905912201,0.4450701237047958
WT,0.035774772,0.006129736,Late Enterocyte,0.21433142053652804,0.234857537,0.1899124122989119,0.15584222224873423
WT,0.024614777,0.039161182,Goblet / DCS,0.2259620832990296,0.244543009,0.1131515562123829,0.519071535172294
WT,-0.003828385,-0.008767618,TA 1,0.2716991230004709,0.301248963,0.06268998905912201,0.09173016443320081
WT,0.041836426,0.022908505,Late Enterocyte,0.22218749050132244,0.234857537,0.1899124122989119,0.5695102847885
WT,0.024658179,0.038661696,Goblet / DCS,0.2257431233383982,0.244543009,0.1131515562123829,0.4997205012174094
WT,0.020640889,-0.005728893,Late Enterocyte,0.212154784362084,0.234857537,0.1899124122989119,0.04122958855641273
WT,0.032035495,-0.003153725,Early Enterocyte,0.24647991173322986,0.26880396900000003,0.0931566128278711,0.4891053350821962
WT,-0.006625303,-0.011886332,CSC,0.3043283018553437,0.3380425025,0.0431088893442971,0.02088887157924957
WT,0.039917406,0.016761531,Late Enterocyte,0.21868700810550226,0.234857537,0.1899124122989119,0.3851893995211054
WT,0.035554125,0.002886573,Late Enterocyte,0.21355962027853445,0.234857537,0.1899124122989119,0.11520242158216093
WT,-0.024982037,0.003126552,proCSC,0.3506605180550148,0.3891121675,0.06900886625798297,0.06659539997320624
WT,0.023443126,0.007596566,Goblet / DCS,0.22262899452011584,0.244543009,0.1131515562123829,0.2245030033301324
WT,0.005452678,0.006240431,ER Stress,0.2557168398568303,0.27705173299999997,0.2806624696887638,0.22697299585137082
WT,-0.006662357,-0.007791035,TA 1,0.2718197939968109,0.301248963,0.06268998905912201,0.1109790107244647
WT,0.004199045,0.022102259,ER Stress,0.25840667708002746,0.27705173299999997,0.2806624696887638,0.3228118597429341
WT,0.003286317,0.016414654,ER Stress,0.24981513402481975,0.27705173299999997,0.2806624696887638,0.01669529685744564
WT,0.008192985,-0.006523473,Early Enterocyte,0.24238834738424755,0.26880396900000003,0.0931566128278711,0.04989181874896076
WT,0.009185625,-0.008990239,Late Enterocyte,0.21761985773550777,0.234857537,0.1899124122989119,0.32899768687439046
WT,-0.004122986,-0.011192036,CSC,0.30440952377420133,0.3380425025,0.0431088893442971,0.039729978388773346
WT,0.00327072,0.018128666,ER Stress,0.25113255288806663,0.27705173299999997,0.2806624696887638,0.06363491314129799
WT,0.014623384,-0.013627721,Early Enterocyte,0.24246856646619105,0.26880396900000003,0.0931566128278711,0.058503025136607545
WT,0.001439939,0.020414208,ER Stress,0.25565351352112387,0.27705173299999997,0.2806624696887638,0.22471667936642575
WT,0.028753244,-0.002308046,Late Enterocyte,0.21171941095173172,0.234857537,0.1899124122989119,0.01830463040954794
WT,-0.02218757,0.001656156,proCSC,0.3509764593117999,0.3891121675,0.06900886625798297,0.11237810499606243
WT,0.003011059,0.019089096,ER Stress,0.25286071989273873,0.27705173299999997,0.2806624696887638,0.12520948015015182
WT,0.007512357,-0.009523375,Late Enterocyte,0.2185674826178527,0.234857537,0.1899124122989119,0.3788956830545148
WT,0.011003642,-0.012242011,Early Enterocyte,0.24206645085732703,0.26880396900000003,0.0931566128278711,0.015337478788648357
WT,0.015690112,-0.011194104,Early Enterocyte,0.24242327098135324,0.26880396900000003,0.0931566128278711,0.05364073104252021
WT,0.039864843,0.015072525,Late Enterocyte,0.21822612077376952,0.234857537,0.1899124122989119,0.3609209840892952
WT,0.042419628,0.027225976,Late Enterocyte,0.2245566521297499,0.234857537,0.1899124122989119,0.6942605104187509
WT,-0.000301,-0.010355097,TA 1,0.272374506489748,0.301248963,0.06268998905912201,0.19946403062357154
WT,0.031528033,-0.004033384,Early Enterocyte,0.2462328282542627,0.26880396900000003,0.0931566128278711,0.4625818847906211
WT,-0.013991079,-0.004848987,CSC,0.3059587309984942,0.3380425025,0.0431088893442971,0.39910069005797233
WT,-0.00400982,-0.005687272,TA 1,0.27118690639205423,0.301248963,0.06268998905912201,0.01002387988853548
WT,-0.00520302,-0.000756,TA 1,0.27315213342221933,0.301248963,0.06268998905912201,0.32350727008529234
WT,0.015016425,-0.008416375,Late Enterocyte,0.2146021373475369,0.234857537,0.1899124122989119,0.17009704676135
WT,-0.002735646,-0.006874317,TA 1,0.27120363706615547,0.301248963,0.06268998905912201,0.012692675074553184
WT,0.031067207,-0.003299351,Early Enterocyte,0.2462182271687155,0.26880396900000003,0.0931566128278711,0.46101451505657964
WT,0.031630357,-0.000604,Late Enterocyte,0.2117594665107716,0.234857537,0.1899124122989119,0.02041379002449889
WT,0.030284692,-0.002083075,Late Enterocyte,0.2116468157658359,0.234857537,0.1899124122989119,0.014482068997313247
WT,-0.003010439,-0.003676728,TA 1,0.2716365464834845,0.301248963,0.06268998905912201,0.08174826494246523
WT,0.016718939,-0.00921139,Early Enterocyte,0.24260092868424513,0.26880396900000003,0.0931566128278711,0.072711594344534
WT,0.026319987,-0.003436842,Late Enterocyte,0.21189862366999915,0.234857537,0.1899124122989119,0.027741228897136372
WT,0.042247851,0.030310926,Late Enterocyte,0.22620473554670206,0.234857537,0.1899124122989119,0.7810417479904259
WT,0.032852539,0.001274929,Late Enterocyte,0.21227526755713724,0.234857537,0.1899124122989119,0.04757373392294101
WT,0.016646056,-0.013257749,Early Enterocyte,0.24274457519879478,0.26880396900000003,0.0931566128278711,0.0881314888843946
WT,-0.005956022,-0.00661555,TA 1,0.27146354301193937,0.301248963,0.06268998905912201,0.05415159853022511
WT,0.035936769,0.003704836,Late Enterocyte,0.21383317110404892,0.234857537,0.1899124122989119,0.12960647354501614
WT,-0.008819886,0.011921558,revCSC,0.31671856872845733,0.348974281,0.054304337184330836,0.48646497967378255
WT,-0.003540484,-0.008309563,TA 1,0.27153814485654654,0.301248963,0.06268998905912201,0.06605171938314403
WT,0.012983611,-0.009036548,Early Enterocyte,0.24206316484793453,0.26880396900000003,0.0931566128278711,0.014984738463216518
WT,0.025800483,-0.0004,Late Enterocyte,0.21160097851149642,0.234857537,0.1899124122989119,0.012068469286550587
WT,0.004891455,0.003981058,revCSC,0.3166028411663368,0.348974281,0.054304337184330836,0.46515405533126897
WT,0.018745077,-0.006154114,Late Enterocyte,0.2125195758294896,0.234857537,0.1899124122989119,0.06043799431513974
WT,0.030596784,0.006251396,Late Enterocyte,0.2132336654793444,0.234857537,0.1899124122989119,0.09803899370273317
WT,0.009221885,0.006369719,ER Stress,0.258831952179062,0.27705173299999997,0.2806624696887638,0.3379644057711278
WT,0.031292261,-0.000161,Late Enterocyte,0.2117033234088964,0.234857537,0.1899124122989119,0.017457527124375594
