phateepi_1,phateepi_2,SCENT_ccat,velocity_length,A,K,P,WENR,mac,fib,curatedCLUST,OWNsig_stemO_UCell,OWNsig_stemS_UCell,,,,
-0.00311035,-0.00307985,0.274730201,186.2420966,0,0,0,0,0,0,TA 1,0,0.221648148,,,SCENT_ccat,Metric that measures the potency of a cell 
0.024983396,0.029212623,0.233823546,152.0588365,0,0,0,0,0,0,Goblet / DCS,0,0.122388889,,,velocity_length,Measures rate of change of a cell (in the context of shifting towards neighbouring cell states)
0.037141922,0.007395661,0.195299639,164.7892674,0,0,0,0,0,0,Late Enterocyte,0,0.155777778,,,A,Cells from organoids with first cancer hit (Knock-down of the Apc gene). Cells with just a hit on A should not be considered cancerous just yet.
-0.021989501,8.84E-04,0.359555854,221.6819734,0,0,0,0,0,0,proCSC,0.01337037,0.085037037,,,K,Cells from organoids with second cancer hit (cancer causing mutation of Kras gene). Cells with both K and P hits could be considered cancerous
0.041908917,0.035762469,0.230587856,208.8858372,0,0,0,0,0,0,Late Enterocyte,0,0.058851852,,,P,Cells from organoids with the third cancer hit (disables the cancer inhibiting P53 gene).  Cells with both K and P hits could be considered cancerous. 
9.36E-04,-0.008277474,0.302574412,244.416059,0,0,0,0,0,0,TA 1,0,0.168611111,,,WENR,"Cells from organoids grown with a coctail of growth promoting chemicals, which mimick in some ways both what cancer does but also what the fibroblasts do to the organoids"
-0.003370238,-0.00800691,0.306615664,258.6002229,0,0,0,0,0,0,TA 1,0,0.2005,,,mac,Cells from organoids grown together with macrophages
0.007672833,-0.01098213,0.263266564,239.4635107,0,0,0,0,0,0,Early Enterocyte,0,0.09987037,,,fib,Cells from organoids grown together with fibroblasts (this cell type changes the structure of the growth media and also secretes a lot of chemicals that the organoids pick up)
0.041299081,0.017751731,0.203049996,226.5523899,0,0,0,0,0,0,Late Enterocyte,0,0,,,curatedCLUST,"Annotations on the different cell states of the organoid. They form a sort of developmental continuum, with the Enterocytes and Goblet/DCS states being on one end, and the 3 CSC (stem cells) states being on the other)"
0.008485492,0.001444799,0.250279098,97.48224752,0,0,0,0,0,0,revCSC,0,0.388407407,,,OWNsig_stemO_UCell,"Score that determines how well a cell matches a signature describing the proliferative stem cells (one of the stem cell states of interest, associated with cancer)"
0.029776813,4.25E-04,0.209629431,148.5682345,0,0,0,0,0,0,Late Enterocyte,0,0.1355,,,OWNsig_stemS_UCell,"Score that determines how well a cell matches a signature describing the revival stem cells (one of the stem cell states of interest, associated with signalling from fibroblasts)"
0.018188294,-0.006166898,0.215323092,176.2959342,0,0,0,0,0,0,Late Enterocyte,0,0.152055556,,,,
-0.002430519,-0.009770996,0.322920042,257.2286216,0,0,0,0,0,0,TA 1,0,0.164611111,,,,
0.009395586,0.007250815,0.246864831,158.1119511,0,0,0,0,0,0,ER Stress,0,0.202777778,,,,
