,,phateepi_1,phateepi_2,curatedCLUST,CCATmed,VELOmed,dist,clustDISTmin,Ridge,height,,,
WT,0,-0.00311035,-0.00307985,TA 1,0.301248963,241.106147,0.005836447,0.004755062,,0.302855177,,Condition:,We are building one landscape per condition
WT,1,0.024983396,0.029212623,Goblet / DCS,0.244543009,205.206332,0.017309869,0.0136771,Y,0.261139896,,WT,Normal (Wild Type)organoid monoculture
WT,2,0.024983396,0.029212623,Goblet / DCS,0.244543009,205.206332,0.017309869,0.0136771,Y,0.261139896,,WtFib,Normal organoid + Fibroblast co-culture
WT,3,0.037141922,0.007395661,Late Enterocyte,0.234857537,167.310714,0.015777585,0.009002585,,0.24251713,,AK,Cancer (Apc loss and oncogenic Kras) organoid monoculture
WT,4,-0.021989501,0.000884,proCSC,0.389112168,235.940056,0.007637611,0.005289637,,0.392315876,,,
WT,5,0.041908917,0.035762469,Late Enterocyte,0.234857537,167.310714,0.04172155,0.009002585,,0.271848528,,curatedCLUST:,Type (cluster) of organoid cell
WT,6,0.000936,-0.008277474,TA 1,0.301248963,241.106147,0.005910101,0.004755062,,0.302964577,,,
WT,7,-0.003370238,-0.00800691,TA 1,0.301248963,241.106147,0.005178912,0.004755062,,0.30187852,,CCATmed:,Median CCAT score for a condition and cluster combination
WT,8,0.007672833,-0.01098213,Early Enterocyte,0.268803969,218.0722803,0.007255753,0.006641666,,0.269525974,,VELOmed:,Median velocity score for a condition and cluster combination
WT,9,0.041299081,0.017751731,Late Enterocyte,0.234857537,167.310714,0.023822382,0.009002585,,0.251612315,,,
WT,10,0.008485492,0.001444799,revCSC,0.348974281,248.3255332,0.01312305,0.004813433,Y,0.362689287,,dist:,Median L1 norm distance cells from a cluster. Cells with lower distances are closer to the center of a particular cluster and viceversa.
WT,11,0.029776813,0.000425,Late Enterocyte,0.234857537,167.310714,0.009241008,0.009002585,,0.23512709,,clustDISTmin:,Miminum distance of cells within a particular cluster. Cells with this value as their distance are the cluster centroid (or part of the 1% of distant outliers that have been overwritten)
WT,12,0.018188294,-0.006166898,Late Enterocyte,0.234857537,167.310714,0.011318777,0.009002585,,0.237476148,,,
WT,13,-0.002430519,-0.009770996,TA 1,0.301248963,241.106147,0.00587957,0.004755062,,0.302919229,,Ridge:,Marks cells identified to be at the border/outline of a cluster as per the alphashape algorithm
WT,14,0.009395586,0.007250815,ER Stress,0.277051733,137.3284961,0.010331306,0.005853808,,0.286536435,,,
WT,15,0.011714182,-0.008761414,Early Enterocyte,0.268803969,218.0722803,0.006890919,0.006641666,,0.269097025,,height:,Computed from the metrics above and used to build the landscape
