,batch,genotype,media,replicate,culture,condition,A,K,P
0,B2,AKP,Ctrl,1,AKP_Ctrl,B2_AKP_Ctrl_1,1,1,1
1,B2,AKP,Ctrl,2,AKP_Ctrl,B2_AKP_Ctrl_2,1,1,1
2,B2,AKP,Ctrl,3,AKP_Ctrl,B2_AKP_Ctrl_3,1,1,1
3,B2,AKP,EGF,1,AKP_EGF,B2_AKP_EGF_1,1,1,1
4,B2,AKP,EGF,2,AKP_EGF,B2_AKP_EGF_2,1,1,1
5,B2,AKP,EGF,3,AKP_EGF,B2_AKP_EGF_3,1,1,1
6,B2,AKP,EREG,1,AKP_EREG,B2_AKP_EREG_1,1,1,1
7,B2,AKP,EREG,2,AKP_EREG,B2_AKP_EREG_2,1,1,1
8,B2,AKP,EREG,3,AKP_EREG,B2_AKP_EREG_3,1,1,1
9,B2,AKP,IGF1,1,AKP_IGF1,B2_AKP_IGF1_1,1,1,1
10,B2,AKP,IGF1,2,AKP_IGF1,B2_AKP_IGF1_2,1,1,1
11,B2,AKP,IGF1,3,AKP_IGF1,B2_AKP_IGF1_3,1,1,1
12,B2,AKP,NRG1,1,AKP_NRG1,B2_AKP_NRG1_1,1,1,1
13,B2,AKP,NRG1,2,AKP_NRG1,B2_AKP_NRG1_2,1,1,1
14,B2,AKP,NRG1,3,AKP_NRG1,B2_AKP_NRG1_3,1,1,1
15,B2,AKP,OPN,1,AKP_OPN,B2_AKP_OPN_1,1,1,1
16,B2,AKP,OPN,2,AKP_OPN,B2_AKP_OPN_2,1,1,1
17,B2,AKP,OPN,3,AKP_OPN,B2_AKP_OPN_3,1,1,1
18,B2,AKP,SEMA3A,1,AKP_SEMA3A,B2_AKP_SEMA3A_1,1,1,1
19,B2,AKP,SEMA3A,2,AKP_SEMA3A,B2_AKP_SEMA3A_2,1,1,1
20,B2,AKP,SEMA3A,3,AKP_SEMA3A,B2_AKP_SEMA3A_3,1,1,1
21,B2,AKP,TGFB1,1,AKP_TGFB1,B2_AKP_TGFB1_1,1,1,1
22,B2,AKP,TGFB1,2,AKP_TGFB1,B2_AKP_TGFB1_2,1,1,1
23,B2,AKP,TGFB1,3,AKP_TGFB1,B2_AKP_TGFB1_3,1,1,1
24,B2,AKP,TGFB2,1,AKP_TGFB2,B2_AKP_TGFB2_1,1,1,1
25,B2,AKP,TGFB2,2,AKP_TGFB2,B2_AKP_TGFB2_2,1,1,1
26,B2,AKP,TGFB2,3,AKP_TGFB2,B2_AKP_TGFB2_3,1,1,1
27,B2,AKP,WNT3A,1,AKP_WNT3A,B2_AKP_WNT3A_1,1,1,1
28,B2,AKP,WNT3A,2,AKP_WNT3A,B2_AKP_WNT3A_2,1,1,1
29,B2,AKP,WNT3A,3,AKP_WNT3A,B2_AKP_WNT3A_3,1,1,1
30,B2,AKP,WNT5A,1,AKP_WNT5A,B2_AKP_WNT5A_1,1,1,1
31,B2,AKP,WNT5A,2,AKP_WNT5A,B2_AKP_WNT5A_2,1,1,1
32,B2,AKP,WNT5A,3,AKP_WNT5A,B2_AKP_WNT5A_3,1,1,1
33,B2,AK,Ctrl,1,AK_Ctrl,B2_AK_Ctrl_1,1,1,0
34,B2,AK,Ctrl,2,AK_Ctrl,B2_AK_Ctrl_2,1,1,0
35,B2,AK,Ctrl,3,AK_Ctrl,B2_AK_Ctrl_3,1,1,0
36,B2,AK,EGF,1,AK_EGF,B2_AK_EGF_1,1,1,0
37,B2,AK,EGF,2,AK_EGF,B2_AK_EGF_2,1,1,0
38,B2,AK,EGF,3,AK_EGF,B2_AK_EGF_3,1,1,0
39,B2,AK,EREG,1,AK_EREG,B2_AK_EREG_1,1,1,0
40,B2,AK,EREG,2,AK_EREG,B2_AK_EREG_2,1,1,0
41,B2,AK,EREG,3,AK_EREG,B2_AK_EREG_3,1,1,0
42,B2,AK,IGF1,1,AK_IGF1,B2_AK_IGF1_1,1,1,0
43,B2,AK,IGF1,2,AK_IGF1,B2_AK_IGF1_2,1,1,0
44,B2,AK,IGF1,3,AK_IGF1,B2_AK_IGF1_3,1,1,0
45,B2,AK,NRG1,1,AK_NRG1,B2_AK_NRG1_1,1,1,0
46,B2,AK,NRG1,2,AK_NRG1,B2_AK_NRG1_2,1,1,0
47,B2,AK,NRG1,3,AK_NRG1,B2_AK_NRG1_3,1,1,0
48,B2,AK,OPN,1,AK_OPN,B2_AK_OPN_1,1,1,0
49,B2,AK,OPN,2,AK_OPN,B2_AK_OPN_2,1,1,0
50,B2,AK,OPN,3,AK_OPN,B2_AK_OPN_3,1,1,0
51,B2,AK,SEMA3A,1,AK_SEMA3A,B2_AK_SEMA3A_1,1,1,0
52,B2,AK,SEMA3A,2,AK_SEMA3A,B2_AK_SEMA3A_2,1,1,0
53,B2,AK,SEMA3A,3,AK_SEMA3A,B2_AK_SEMA3A_3,1,1,0
54,B2,AK,TGFB1,1,AK_TGFB1,B2_AK_TGFB1_1,1,1,0
55,B2,AK,TGFB1,2,AK_TGFB1,B2_AK_TGFB1_2,1,1,0
56,B2,AK,TGFB1,3,AK_TGFB1,B2_AK_TGFB1_3,1,1,0
57,B2,AK,TGFB2,1,AK_TGFB2,B2_AK_TGFB2_1,1,1,0
58,B2,AK,TGFB2,2,AK_TGFB2,B2_AK_TGFB2_2,1,1,0
59,B2,AK,TGFB2,3,AK_TGFB2,B2_AK_TGFB2_3,1,1,0
60,B2,AK,WNT3A,1,AK_WNT3A,B2_AK_WNT3A_1,1,1,0
61,B2,AK,WNT3A,2,AK_WNT3A,B2_AK_WNT3A_2,1,1,0
62,B2,AK,WNT3A,3,AK_WNT3A,B2_AK_WNT3A_3,1,1,0
63,B2,AK,WNT5A,1,AK_WNT5A,B2_AK_WNT5A_1,1,1,0
64,B2,AK,WNT5A,2,AK_WNT5A,B2_AK_WNT5A_2,1,1,0
65,B2,AK,WNT5A,3,AK_WNT5A,B2_AK_WNT5A_3,1,1,0
66,B2,A,Ctrl,1,A_Ctrl,B2_A_Ctrl_1,1,0,0
67,B2,A,Ctrl,2,A_Ctrl,B2_A_Ctrl_2,1,0,0
68,B2,A,Ctrl,3,A_Ctrl,B2_A_Ctrl_3,1,0,0
69,B2,A,TGFB1,1,A_TGFB1,B2_A_TGFB1_1,1,0,0
70,B2,A,TGFB1,2,A_TGFB1,B2_A_TGFB1_2,1,0,0
71,B2,A,TGFB1,3,A_TGFB1,B2_A_TGFB1_3,1,0,0
72,B2,A,TGFB2,1,A_TGFB2,B2_A_TGFB2_1,1,0,0
73,B2,A,TGFB2,2,A_TGFB2,B2_A_TGFB2_2,1,0,0
74,B2,A,TGFB2,3,A_TGFB2,B2_A_TGFB2_3,1,0,0
75,B2,A,WNT3A,1,A_WNT3A,B2_A_WNT3A_1,1,0,0
76,B2,A,WNT3A,2,A_WNT3A,B2_A_WNT3A_2,1,0,0
77,B2,A,WNT3A,3,A_WNT3A,B2_A_WNT3A_3,1,0,0
