,batch,replicate,condition,culture,format,cell-type,media,W,E,N,R,genotype,A,K,P
0,B3,1,A-Fib_Ctrl_Org_1,A-Fib_Ctrl,co-culture,Org,Ctrl,0,0,0,0,A,1,0,0
1,B3,2,A-Fib_Ctrl_Org_2,A-Fib_Ctrl,co-culture,Org,Ctrl,0,0,0,0,A,1,0,0
2,B3,3,A-Fib_Ctrl_Org_3,A-Fib_Ctrl,co-culture,Org,Ctrl,0,0,0,0,A,1,0,0
3,B3,1,A-Fib_ENR_Org_1,A-Fib_ENR,co-culture,Org,ENR,0,1,1,1,A,1,0,0
4,B3,2,A-Fib_ENR_Org_2,A-Fib_ENR,co-culture,Org,ENR,0,1,1,1,A,1,0,0
5,B3,3,A-Fib_ENR_Org_3,A-Fib_ENR,co-culture,Org,ENR,0,1,1,1,A,1,0,0
6,B3,1,A-Fib_E_Org_1,A-Fib_E,co-culture,Org,E,0,1,0,0,A,1,0,0
7,B3,2,A-Fib_E_Org_2,A-Fib_E,co-culture,Org,E,0,1,0,0,A,1,0,0
8,B3,3,A-Fib_E_Org_3,A-Fib_E,co-culture,Org,E,0,1,0,0,A,1,0,0
9,B3,1,A-Fib_N_Org_1,A-Fib_N,co-culture,Org,N,0,0,1,0,A,1,0,0
10,B3,2,A-Fib_N_Org_2,A-Fib_N,co-culture,Org,N,0,0,1,0,A,1,0,0
11,B3,3,A-Fib_N_Org_3,A-Fib_N,co-culture,Org,N,0,0,1,0,A,1,0,0
12,B3,1,A-Fib_R_Org_1,A-Fib_R,co-culture,Org,R,0,0,0,1,A,1,0,0
13,B3,2,A-Fib_R_Org_2,A-Fib_R,co-culture,Org,R,0,0,0,1,A,1,0,0
14,B3,3,A-Fib_R_Org_3,A-Fib_R,co-culture,Org,R,0,0,0,1,A,1,0,0
15,B3,1,A-Fib_WENR_Org_1,A-Fib_WENR,co-culture,Org,WENR,1,1,1,1,A,1,0,0
16,B3,2,A-Fib_WENR_Org_2,A-Fib_WENR,co-culture,Org,WENR,1,1,1,1,A,1,0,0
17,B3,3,A-Fib_WENR_Org_3,A-Fib_WENR,co-culture,Org,WENR,1,1,1,1,A,1,0,0
18,B3,1,A-Fib_WEN_Org_1,A-Fib_WEN,co-culture,Org,WEN,1,1,1,0,A,1,0,0
19,B3,2,A-Fib_WEN_Org_2,A-Fib_WEN,co-culture,Org,WEN,1,1,1,0,A,1,0,0
20,B3,3,A-Fib_WEN_Org_3,A-Fib_WEN,co-culture,Org,WEN,1,1,1,0,A,1,0,0
21,B3,1,A-Fib_WER_Org_1,A-Fib_WER,co-culture,Org,WER,1,1,0,1,A,1,0,0
22,B3,2,A-Fib_WER_Org_2,A-Fib_WER,co-culture,Org,WER,1,1,0,1,A,1,0,0
23,B3,3,A-Fib_WER_Org_3,A-Fib_WER,co-culture,Org,WER,1,1,0,1,A,1,0,0
24,B3,1,A-Fib_WNR_Org_1,A-Fib_WNR,co-culture,Org,WNR,1,0,1,1,A,1,0,0
25,B3,2,A-Fib_WNR_Org_2,A-Fib_WNR,co-culture,Org,WNR,1,0,1,1,A,1,0,0
26,B3,3,A-Fib_WNR_Org_3,A-Fib_WNR,co-culture,Org,WNR,1,0,1,1,A,1,0,0
27,B3,1,A-Fib_W_Org_1,A-Fib_W,co-culture,Org,W,1,0,0,0,A,1,0,0
28,B3,2,A-Fib_W_Org_2,A-Fib_W,co-culture,Org,W,1,0,0,0,A,1,0,0
29,B3,3,A-Fib_W_Org_3,A-Fib_W,co-culture,Org,W,1,0,0,0,A,1,0,0
30,B1,1,AK-Fib_Ctrl_Org_1,AK-Fib_Ctrl,co-culture,Org,Ctrl,0,0,0,0,AK,1,1,0
31,B1,2,AK-Fib_Ctrl_Org_2,AK-Fib_Ctrl,co-culture,Org,Ctrl,0,0,0,0,AK,1,1,0
32,B1,3,AK-Fib_Ctrl_Org_3,AK-Fib_Ctrl,co-culture,Org,Ctrl,0,0,0,0,AK,1,1,0
33,B1,1,AK-Fib_ENR_Org_1,AK-Fib_ENR,co-culture,Org,ENR,0,1,1,1,AK,1,1,0
34,B1,2,AK-Fib_ENR_Org_2,AK-Fib_ENR,co-culture,Org,ENR,0,1,1,1,AK,1,1,0
35,B1,3,AK-Fib_ENR_Org_3,AK-Fib_ENR,co-culture,Org,ENR,0,1,1,1,AK,1,1,0
36,B1,1,AK-Fib_E_Org_1,AK-Fib_E,co-culture,Org,E,0,1,0,0,AK,1,1,0
37,B1,2,AK-Fib_E_Org_2,AK-Fib_E,co-culture,Org,E,0,1,0,0,AK,1,1,0
38,B1,3,AK-Fib_E_Org_3,AK-Fib_E,co-culture,Org,E,0,1,0,0,AK,1,1,0
39,B1,1,AK-Fib_N_Org_1,AK-Fib_N,co-culture,Org,N,0,0,1,0,AK,1,1,0
40,B1,2,AK-Fib_N_Org_2,AK-Fib_N,co-culture,Org,N,0,0,1,0,AK,1,1,0
41,B1,3,AK-Fib_N_Org_3,AK-Fib_N,co-culture,Org,N,0,0,1,0,AK,1,1,0
