,batch,treatment_1,reagent_1,concentration_1,treatment_2,reagent_2,concentration_2,replicate,culture,condition,WNT,WNT_Conc,EGF,EGF_Conc,WNT_EGF_Ratio,EGF_WNT_Ratio
0,B1,EGF-10,EGF,10,WNT-0,WNT,0,1,EGF-10_WNT-0,EGF-10_WNT-0_1,WNT-0,0,EGF-10,10,0.0,-
1,B1,EGF-10,EGF,10,WNT-0,WNT,0,2,EGF-10_WNT-0,EGF-10_WNT-0_2,WNT-0,0,EGF-10,10,0.0,-
2,B1,EGF-10,EGF,10,WNT-0,WNT,0,3,EGF-10_WNT-0,EGF-10_WNT-0_3,WNT-0,0,EGF-10,10,0.0,-
3,B1,EGF-25,EGF,25,WNT-0,WNT,0,1,EGF-25_WNT-0,EGF-25_WNT-0_1,WNT-0,0,EGF-25,25,0.0,-
4,B1,EGF-25,EGF,25,WNT-0,WNT,0,2,EGF-25_WNT-0,EGF-25_WNT-0_2,WNT-0,0,EGF-25,25,0.0,-
5,B1,EGF-25,EGF,25,WNT-0,WNT,0,3,EGF-25_WNT-0,EGF-25_WNT-0_3,WNT-0,0,EGF-25,25,0.0,-
6,B1,EGF-40,EGF,40,WNT-0,WNT,0,1,EGF-40_WNT-0,EGF-40_WNT-0_1,WNT-0,0,EGF-40,40,0.0,-
7,B1,EGF-40,EGF,40,WNT-0,WNT,0,2,EGF-40_WNT-0,EGF-40_WNT-0_2,WNT-0,0,EGF-40,40,0.0,-
8,B1,EGF-40,EGF,40,WNT-0,WNT,0,3,EGF-40_WNT-0,EGF-40_WNT-0_3,WNT-0,0,EGF-40,40,0.0,-
9,B1,EGF-50,EGF,50,WNT-0,WNT,0,1,EGF-50_WNT-0,EGF-50_WNT-0_1,WNT-0,0,EGF-50,50,0.0,-
10,B1,EGF-50,EGF,50,WNT-0,WNT,0,2,EGF-50_WNT-0,EGF-50_WNT-0_2,WNT-0,0,EGF-50,50,0.0,-
11,B1,EGF-50,EGF,50,WNT-0,WNT,0,3,EGF-50_WNT-0,EGF-50_WNT-0_3,WNT-0,0,EGF-50,50,0.0,-
12,B1,EGF-50,EGF,50,WNT-10,WNT,10,1,EGF-50_WNT-10,EGF-50_WNT-10_1,WNT-10,10,EGF-50,50,0.2,5.0
13,B1,EGF-50,EGF,50,WNT-10,WNT,10,2,EGF-50_WNT-10,EGF-50_WNT-10_2,WNT-10,10,EGF-50,50,0.2,5.0
14,B1,EGF-50,EGF,50,WNT-10,WNT,10,3,EGF-50_WNT-10,EGF-50_WNT-10_3,WNT-10,10,EGF-50,50,0.2,5.0
15,B1,EGF-50,EGF,50,WNT-20,WNT,20,1,EGF-50_WNT-20,EGF-50_WNT-20_1,WNT-20,20,EGF-50,50,0.4,2.5
16,B1,EGF-50,EGF,50,WNT-20,WNT,20,2,EGF-50_WNT-20,EGF-50_WNT-20_2,WNT-20,20,EGF-50,50,0.4,2.5
17,B1,EGF-50,EGF,50,WNT-20,WNT,20,3,EGF-50_WNT-20,EGF-50_WNT-20_3,WNT-20,20,EGF-50,50,0.4,2.5
18,B1,EGF-50,EGF,50,WNT-50,WNT,50,1,EGF-50_WNT-50,EGF-50_WNT-50_1,WNT-50,50,EGF-50,50,1.0,1.0
19,B1,EGF-50,EGF,50,WNT-50,WNT,50,2,EGF-50_WNT-50,EGF-50_WNT-50_2,WNT-50,50,EGF-50,50,1.0,1.0
20,B1,EGF-50,EGF,50,WNT-50,WNT,50,3,EGF-50_WNT-50,EGF-50_WNT-50_3,WNT-50,50,EGF-50,50,1.0,1.0
21,B1,WNT-0,WNT,0,EGF-0,EGF,0,1,WNT-0_EGF-0,WNT-0_EGF-0_1,WNT-0,0,EGF-0,0,-,-
22,B1,WNT-0,WNT,0,EGF-0,EGF,0,2,WNT-0_EGF-0,WNT-0_EGF-0_2,WNT-0,0,EGF-0,0,-,-
23,B1,WNT-0,WNT,0,EGF-0,EGF,0,3,WNT-0_EGF-0,WNT-0_EGF-0_3,WNT-0,0,EGF-0,0,-,-
24,B1,WNT-100,WNT,100,EGF-0,EGF,0,1,WNT-100_EGF-0,WNT-100_EGF-0_1,WNT-100,100,EGF-0,0,-,0.0
25,B1,WNT-100,WNT,100,EGF-0,EGF,0,2,WNT-100_EGF-0,WNT-100_EGF-0_2,WNT-100,100,EGF-0,0,-,0.0
26,B1,WNT-100,WNT,100,EGF-0,EGF,0,3,WNT-100_EGF-0,WNT-100_EGF-0_3,WNT-100,100,EGF-0,0,-,0.0
27,B1,WNT-100,WNT,100,EGF-10,EGF,10,1,WNT-100_EGF-10,WNT-100_EGF-10_1,WNT-100,100,EGF-10,10,10.0,0.1
28,B1,WNT-100,WNT,100,EGF-10,EGF,10,2,WNT-100_EGF-10,WNT-100_EGF-10_2,WNT-100,100,EGF-10,10,10.0,0.1
29,B1,WNT-100,WNT,100,EGF-10,EGF,10,3,WNT-100_EGF-10,WNT-100_EGF-10_3,WNT-100,100,EGF-10,10,10.0,0.1
30,B1,WNT-100,WNT,100,EGF-25,EGF,25,1,WNT-100_EGF-25,WNT-100_EGF-25_1,WNT-100,100,EGF-25,25,4.0,0.25
31,B1,WNT-100,WNT,100,EGF-25,EGF,25,2,WNT-100_EGF-25,WNT-100_EGF-25_2,WNT-100,100,EGF-25,25,4.0,0.25
32,B1,WNT-100,WNT,100,EGF-25,EGF,25,3,WNT-100_EGF-25,WNT-100_EGF-25_3,WNT-100,100,EGF-25,25,4.0,0.25
33,B1,WNT-100,WNT,100,EGF-40,EGF,40,1,WNT-100_EGF-40,WNT-100_EGF-40_1,WNT-100,100,EGF-40,40,2.5,0.4
34,B1,WNT-100,WNT,100,EGF-40,EGF,40,2,WNT-100_EGF-40,WNT-100_EGF-40_2,WNT-100,100,EGF-40,40,2.5,0.4
35,B1,WNT-100,WNT,100,EGF-40,EGF,40,3,WNT-100_EGF-40,WNT-100_EGF-40_3,WNT-100,100,EGF-40,40,2.5,0.4
36,B1,WNT-100,WNT,100,EGF-50,EGF,50,1,WNT-100_EGF-50,WNT-100_EGF-50_1,WNT-100,100,EGF-50,50,2.0,0.5
37,B1,WNT-100,WNT,100,EGF-50,EGF,50,2,WNT-100_EGF-50,WNT-100_EGF-50_2,WNT-100,100,EGF-50,50,2.0,0.5
38,B1,WNT-100,WNT,100,EGF-50,EGF,50,3,WNT-100_EGF-50,WNT-100_EGF-50_3,WNT-100,100,EGF-50,50,2.0,0.5
39,B1,WNT-10,WNT,10,EGF-0,EGF,0,1,WNT-10_EGF-0,WNT-10_EGF-0_1,WNT-10,10,EGF-0,0,-,0.0
40,B1,WNT-10,WNT,10,EGF-0,EGF,0,2,WNT-10_EGF-0,WNT-10_EGF-0_2,WNT-10,10,EGF-0,0,-,0.0
41,B1,WNT-10,WNT,10,EGF-0,EGF,0,3,WNT-10_EGF-0,WNT-10_EGF-0_3,WNT-10,10,EGF-0,0,-,0.0
42,B1,WNT-20,WNT,20,EGF-0,EGF,0,1,WNT-20_EGF-0,WNT-20_EGF-0_1,WNT-20,20,EGF-0,0,-,0.0
43,B1,WNT-20,WNT,20,EGF-0,EGF,0,2,WNT-20_EGF-0,WNT-20_EGF-0_2,WNT-20,20,EGF-0,0,-,0.0
44,B1,WNT-20,WNT,20,EGF-0,EGF,0,3,WNT-20_EGF-0,WNT-20_EGF-0_3,WNT-20,20,EGF-0,0,-,0.0
45,B1,WNT-20,WNT,20,EGF-10,EGF,10,1,WNT-20_EGF-10,WNT-20_EGF-10_1,WNT-20,20,EGF-10,10,2.0,0.5
46,B1,WNT-20,WNT,20,EGF-10,EGF,10,2,WNT-20_EGF-10,WNT-20_EGF-10_2,WNT-20,20,EGF-10,10,2.0,0.5
47,B1,WNT-20,WNT,20,EGF-10,EGF,10,3,WNT-20_EGF-10,WNT-20_EGF-10_3,WNT-20,20,EGF-10,10,2.0,0.5
48,B1,WNT-50,WNT,50,EGF-0,EGF,0,1,WNT-50_EGF-0,WNT-50_EGF-0_1,WNT-50,50,EGF-0,0,-,0.0
49,B1,WNT-50,WNT,50,EGF-0,EGF,0,2,WNT-50_EGF-0,WNT-50_EGF-0_2,WNT-50,50,EGF-0,0,-,0.0
50,B1,WNT-50,WNT,50,EGF-0,EGF,0,3,WNT-50_EGF-0,WNT-50_EGF-0_3,WNT-50,50,EGF-0,0,-,0.0
51,B1,WNT-50,WNT,50,EGF-25,EGF,25,1,WNT-50_EGF-25,WNT-50_EGF-25_1,WNT-50,50,EGF-25,25,2.0,0.5
52,B1,WNT-50,WNT,50,EGF-25,EGF,25,2,WNT-50_EGF-25,WNT-50_EGF-25_2,WNT-50,50,EGF-25,25,2.0,0.5
53,B1,WNT-50,WNT,50,EGF-25,EGF,25,3,WNT-50_EGF-25,WNT-50_EGF-25_3,WNT-50,50,EGF-25,25,2.0,0.5
