,ID,orig.ident,Epithelia,Genotype,Fibroblasts,CD34fibroblasts,Macrophages,WENR,Run
0,01_WT_1,monoWT,1,WT,0,,0,0,1
1,21_WT_2,WTorg_mono,1,WT,0,,0,0,2
2,02_WT-Mac,cocultWTMac,1,WT,0,,1,0,1
3,03_WT-Fib,cocultWTFib,1,WT,1,unsorted,0,0,1
4,24_WT-CD34hi-lo,WTorg_CD34hilo,1,WT,1,mix,0,0,2
5,22_WT-CD34hi,WTorg_CD34hi,1,WT,1,high,0,0,2
6,23_WT-CD34lo,WTorg_CD34lo,1,WT,1,low,0,0,2
7,04_WT-Mac-Fib,cocultWTMacFib,1,WT,1,unsorted,1,0,1
8,05_A,monoA,1,A,0,,0,0,1
9,06_A-Mac,cocultAMac,1,A,0,,1,0,1
10,07_A-Fib,cocultAFib,1,A,1,unsorted,0,0,1
11,08_A-Mac-Fib,cocultAMacFib,1,A,1,unsorted,1,0,1
12,09_AK,monoAK,1,AK,0,,0,0,1
13,10_AK-Mac,cocultAKMac,1,AK,0,,1,0,1
14,11_AK-Fib,cocultAKFib,1,AK,1,unsorted,0,0,1
15,12_AK-Mac-Fib,cocultAKMacFib,1,AK,1,unsorted,1,0,1
16,13_AKP,monoAKP,1,AKP,0,,0,0,1
17,14_AKP-Mac,cocultAKPMac_REPLICATE,1,AKP,0,,1,0,1
18,15_AKP-Fib,cocultAKPFib,1,AKP,1,unsorted,0,0,1
19,16_AKP-Mac-Fib,cocultAKPMacFib,1,AKP,1,unsorted,1,0,1
20,20_WT-WENR,WTorg_WENR,1,WT,0,,0,1,2
21,17_Mac,,0,,0,,1,0,1
22,18_Fib,,0,,1,unsorted,0,0,1
23,19_Mac-Fib,,0,,1,unsorted,1,0,1
