,DE_fc_tumor_over_normal,DE_p_normal_vs_tumor,p_adjusted_qvalue
chrX:99883666-99894988_TSPAN6_ENSG00000000003.10,0.064570099,0.222093053,0.853836177
chr20:49505584-49575092_DPM1_ENSG00000000419.8,0.054905309,0.37609458,0.940531481
chr1:169631244-169863408_SCYL3_ENSG00000000457.9,0.017066988,0.689768932,0.940531481
chr1:169631244-169863408_C1orf112_ENSG00000000460.12,0.004496094,0.889080598,0.940531481
chr1:27938574-27961788_FGR_ENSG00000000938.8,0.008582568,0.815596547,0.940531481
chr6:143771943-143832827_FUCA2_ENSG00000001036.9,0.008100314,0.691422583,0.940531481
chr6:53362138-53481969_GCLC_ENSG00000001084.6,0.010065233,0.735729029,0.940531481
chr6:40994771-41067715_NFYA_ENSG00000001167.10,0.019551259,0.599094975,0.940531481
chr1:24634045-24799466_STPG1_ENSG00000001460.13,-0.015544244,0.210558558,0.83960666
chr1:24634045-24799466_NIPAL3_ENSG00000001461.12,-0.048762349,0.366100445,0.940531481
chrX:64732461-64754655_LAS1L_ENSG00000001497.12,0.032488562,0.615115111,0.940531481
chr6:46097729-46114436_ENPP4_ENSG00000001561.6,0.026913934,0.390909886,0.940531481
chr7:117105837-117514193_CFTR_ENSG00000001626.10,0.06715681,0.108710697,0.619130745
chr7:91875547-92030698_ANKIB1_ENSG00000001629.5,0.12170085,0.038840927,0.38079503
chr7:91741464-91810039_CYP51A1_ENSG00000001630.11,0.119161583,0.117077595,0.63648878
chr7:91828282-91875480_KRIT1_ENSG00000001631.10,0.129405472,0.082500456,0.54835277
chr12:1021242-1605099_RAD52_ENSG00000002016.12,0.04596374,0.449327679,0.940531481
chr11:64037301-64056972_BAD_ENSG00000002330.9,0.002138853,0.912175721,0.940531481
chr4:17578814-17616194_LAP3_ENSG00000002549.8,-0.105510592,0.189300408,0.80384842
chrX:2609219-2659350_CD99_ENSG00000002586.13,-0.059003232,0.298733427,0.937433854
chr4:11394773-11431389_HS3ST1_ENSG00000002587.5,0.005801798,0.804455197,0.940531481
chr7:150521714-150558592_AOC1_ENSG00000002726.15,-0.160444525,0.001398073,0.043226909
chr7:43152197-43605600_HECW1_ENSG00000002746.10,0.00023658,0.922039028,0.940531481
chr7:1855428-2272878_MAD1L1_ENSG00000002822.11,-0.007322673,0.693449657,0.940531481
chr17:37026111-37078023_LASP1_ENSG00000002834.13,-0.089373012,0.040385716,0.388449895
chr17:46180718-46200436_SNX11_ENSG00000002919.10,0.003926878,0.718479779,0.940531481
chr7:150488372-150502208_TMEM176A_ENSG00000002933.3,-0.23130105,0.017857483,0.24069467
chr12:9066491-9102551_M6PR_ENSG00000003056.3,0.132975062,0.044477325,0.407031427
chrX:117031775-117251303_KLHL13_ENSG00000003096.9,0.010047981,0.745127906,0.940531481
chr7:8152813-8384146_ICA1_ENSG00000003147.13,0.307665153,0.00074836,0.027505989
chr16:90071272-90114181_DBNDD1_ENSG00000003249.9,0.000646203,0.920399982,0.940531481
chr2:202565276-202645912_ALS2_ENSG00000003393.10,0.014135904,0.54435838,0.940531481
chr2:202047603-202094129_CASP10_ENSG00000003400.10,0.040865522,0.461153721,0.940531481
chr2:201980826-202041410_CFLAR_ENSG00000003402.15,-0.000968183,0.91021545,0.940531481
chr2:187866602-188430487_TFPI_ENSG00000003436.10,-0.019236984,0.539326849,0.940531481
chr2:37394962-37551951_NDUFAF7_ENSG00000003509.11,0.012783033,0.66635848,0.940531481
chr3:49977439-50226508_RBM5_ENSG00000003756.12,0.113302703,0.070384126,0.515324419
chr7:127220671-127242198_ARF5_ENSG00000004059.6,-0.058747145,0.399573819,0.940531481
chr17:26662627-26684545_POLDIP2_ENSG00000004142.7,0.07261497,0.149977345,0.720521083
chr1:33452552-33546597_AK2_ENSG00000004455.12,-0.12094371,0.041529455,0.394066946
chr4:15779897-15854853_CD38_ENSG00000004468.8,0.000788323,0.919777265,0.940531481
chr12:2904118-3050306_FKBP4_ENSG00000004478.5,0.014230753,0.624418417,0.940531481
chr1:23345940-23504301_KDM1A_ENSG00000004487.11,-0.153064864,0.014131617,0.207596399
chr3:49977439-50226508_RBM6_ENSG00000004534.10,0.650083879,2.36E-06,0.000311016
chr17:3763608-3798185_CAMKK1_ENSG00000004660.10,0.003965883,0.895625354,0.940531481
chr12:21590548-21654603_RECQL_ENSG00000004700.11,-0.007545073,0.876412308,0.940531481
chr7:92861652-92988338_CCDC132_ENSG00000004766.11,0.045451897,0.226036512,0.860331797
